"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"L" "12-20-1971" 13 "Tennessee" 14 "Liberty Bowl" 1 12 20 1971 "Arkansas" "University of Arkansas"
"W" "01-01-1976" 31 "Georgia" 10 "Cotton Bowl" 1 1 1 1976 "Arkansas" "University of Arkansas"
"W" "01-02-1978" 31 "Oklahoma" 6 "Orange Bowl" 1 1 2 1978 "Arkansas" "University of Arkansas"
"T" "12-25-1978" 10 "UCLA" 10 "Fiesta Bowl" 1 12 25 1978 "Arkansas" "University of Arkansas"
"L" "01-01-1980" 9 "Alabama" 24 "Sugar Bowl" 1 1 1 1980 "Arkansas" "University of Arkansas"
"W" "12-27-1980" 34 "Tulane (LA)" 15 "Hall of Fame Classic" 1 12 27 1980 "Arkansas" "University of Arkansas"
"L" "12-28-1981" 27 "North Carolina" 31 "Gator Bowl" 1 12 28 1981 "Arkansas" "University of Arkansas"
"W" "12-31-1982" 28 "Florida" 24 "Bluebonnet Bowl" 1 12 31 1982 "Arkansas" "University of Arkansas"
"L" "12-27-1984" 15 "Auburn (AL)" 21 "Liberty Bowl" 1 12 27 1984 "Arkansas" "University of Arkansas"
"W" "12-22-1985" 18 "Arizona St." 17 "Holiday Bowl (1)" 1 12 22 1985 "Arkansas" "University of Arkansas"
"L" "01-01-1987" 8 "Oklahoma" 42 "Orange Bowl" 1 1 1 1987 "Arkansas" "University of Arkansas"
"L" "12-29-1987" 17 "Georgia" 20 "Liberty Bowl" 1 12 29 1987 "Arkansas" "University of Arkansas"
"L" "01-02-1989" 3 "UCLA" 17 "Cotton Bowl" 1 1 2 1989 "Arkansas" "University of Arkansas"
"L" "01-01-1990" 27 "Tennessee" 31 "Cotton Bowl" 1 1 1 1990 "Arkansas" "University of Arkansas"
"L" "12-29-1991" 15 "Georgia" 24 "Independence Bowl" 1 12 29 1991 "Arkansas" "University of Arkansas"
"L" "12-30-1995" 10 "North Carolina" 20 "Carquest Bowl" 1 12 30 1995 "Arkansas" "University of Arkansas"
"L" "01-01-1999" 31 "Michigan" 45 "Florida Citrus Bowl" 1 1 1 1999 "Arkansas" "University of Arkansas"
"W" "01-01-2000" 27 "Texas" 6 "Cotton Bowl" 1 1 1 2000 "Arkansas" "University of Arkansas"
"L" "12-21-2000" 14 "Nevada-Las Vegas" 31 "Las Vegas Bowl" 1 12 21 2000 "Arkansas" "University of Arkansas"
"L" "01-01-2002" 3 "Oklahoma" 10 "Cotton Bowl" 1 1 1 2002 "Arkansas" "University of Arkansas"
"L" "12-30-2002" 14 "Minnesota" 29 "Music City Bowl" 1 12 30 2002 "Arkansas" "University of Arkansas"
"W" "12-31-2003" 27 "Missouri" 14 "Independence Bowl" 1 12 31 2003 "Arkansas" "University of Arkansas"
"L" "01-01-2007" 14 "Wisconsin" 17 "Capital One Bowl" 1 1 1 2007 "Arkansas" "University of Arkansas"
"L" "01-01-2008" 7 "Missouri" 38 "Cotton Bowl" 1 1 1 2008 "Arkansas" "University of Arkansas"
"W" "01-02-2010" 20 "East Carolina (NC)" 17 "Liberty Bowl" 1 1 2 2010 "Arkansas" "University of Arkansas"
"L" "01-04-2011" 26 "Ohio St." 31 "Sugar Bowl - Ohio St. Vacated Game" 1 1 4 2011 "Arkansas" "University of Arkansas"
"W" "01-06-2012" 29 "Kansas St." 16 "Cotton Bowl" 1 1 6 2012 "Arkansas" "University of Arkansas"
"L" "12-20-2005" 19 "Southern Mississippi" 31 "New Orleans Bowl" 0 12 20 2005 "Arkansas St." "Arkansas State University"
"L" "01-08-2012" 20 "Northern Illinois" 38 "GoDaddy.com Bowl" 0 1 8 2012 "Arkansas St." "Arkansas State University"
"W" "12-02-1951" 46 "Camp Breckinridge (KY)" 12 "Refrigerator Bowl" 1 12 2 1951 "Arkansas St." "Arkansas State University"
"L" "01-01-1952" 20 "Stetson (FL)" 35 "Tangerine Bowl" 1 1 1 1952 "Arkansas St." "Arkansas State University"
"L" "12-07-1952" 19 "Western Kentucky" 34 "Refrigerator Bowl" 1 12 7 1952 "Arkansas St." "Arkansas State University"
"T" "01-01-1954" 7 "Texas A&M-Commerce" 7 "Tangerine Bowl" 1 1 1 1954 "Arkansas St." "Arkansas State University"
"L" "12-14-1968" 14 "North Dakota St." 23 "Pecan Bowl (2)" 1 12 14 1968 "Arkansas St." "Arkansas State University"
"W" "12-13-1969" 29 "Drake (IA)" 21 "Pecan Bowl (2)" 1 12 13 1969 "Arkansas St." "Arkansas State University"
"W" "12-12-1970" 38 "Central Missouri St." 21 "Pecan Bowl (2)" 1 12 12 1970 "Arkansas St." "Arkansas State University"
"L" "12-20-1986" 21 "Georgia Southern" 48 "Diamond Bowl - Division I-AA Championship Game" 1 12 20 1986 "Arkansas St." "Arkansas State University"
"W" "12-22-1984" 10 "Michigan St." 6 "Cherry Bowl (1)" 0 12 22 1984 "Army (NY)" "United States Military Academy"
"W" "12-31-1985" 31 "Illinois" 29 "Peach Bowl" 0 12 31 1985 "Army (NY)" "United States Military Academy"
"L" "12-24-1988" 28 "Alabama" 29 "Sun Bowl" 0 12 24 1988 "Army (NY)" "United States Military Academy"
"L" "12-31-1996" 29 "Auburn (AL)" 32 "Independence Bowl" 0 12 31 1996 "Army (NY)" "United States Military Academy"
"W" "12-30-2010" 16 "Southern Methodist (TX)" 14 "Armed Forces Bowl" 0 12 30 2010 "Army (NY)" "United States Military Academy"
"W" "11-17-1984" 45 "Montana" 31 "Mirage Bowl" 1 11 17 1984 "Army (NY)" "United States Military Academy"
"L" "11-19-1988" 24 "Boston College (MA)" 38 "Emerald Isle Classic" 1 11 19 1988 "Army (NY)" "United States Military Academy"
"T" "01-01-1937" 7 "Villanova (PA)" 7 "Bacardi Bowl" 1 1 1 1937 "Auburn (AL)" "Auburn University"
"W" "01-01-1938" 6 "Michigan St." 0 "Orange Bowl" 1 1 1 1938 "Auburn (AL)" "Auburn University"
"L" "01-01-1954" 13 "Texas Tech" 35 "Gator Bowl" 1 1 1 1954 "Auburn (AL)" "Auburn University"
"W" "12-31-1954" 33 "Baylor (TX)" 13 "Gator Bowl" 1 12 31 1954 "Auburn (AL)" "Auburn University"
"L" "12-31-1955" 13 "Vanderbilt (TN)" 25 "Gator Bowl" 1 12 31 1955 "Auburn (AL)" "Auburn University"
"L" "01-01-1964" 7 "Nebraska" 13 "Orange Bowl" 1 1 1 1964 "Auburn (AL)" "Auburn University"
"L" "12-18-1965" 7 "Mississippi" 13 "Liberty Bowl" 1 12 18 1965 "Auburn (AL)" "Auburn University"
"W" "12-28-1968" 34 "Arizona" 10 "Sun Bowl" 1 12 28 1968 "Auburn (AL)" "Auburn University"
"L" "12-31-1969" 7 "Houston (TX)" 36 "Bluebonnet Bowl" 1 12 31 1969 "Auburn (AL)" "Auburn University"
"W" "01-02-1971" 35 "Mississippi" 28 "Gator Bowl" 1 1 2 1971 "Auburn (AL)" "Auburn University"
"L" "01-01-1972" 22 "Oklahoma" 40 "Sugar Bowl" 1 1 1 1972 "Auburn (AL)" "Auburn University"
"W" "12-30-1972" 24 "Colorado" 3 "Gator Bowl" 1 12 30 1972 "Auburn (AL)" "Auburn University"
"L" "12-29-1973" 17 "Missouri" 34 "Sun Bowl" 1 12 29 1973 "Auburn (AL)" "Auburn University"
"W" "12-30-1974" 27 "Texas" 3 "Gator Bowl" 1 12 30 1974 "Auburn (AL)" "Auburn University"
"W" "12-18-1982" 33 "Boston College (MA)" 26 "Tangerine Bowl" 1 12 18 1982 "Auburn (AL)" "Auburn University"
"W" "01-02-1984" 9 "Michigan" 7 "Sugar Bowl" 1 1 2 1984 "Auburn (AL)" "Auburn University"
"W" "12-27-1984" 21 "Arkansas" 15 "Liberty Bowl" 1 12 27 1984 "Auburn (AL)" "Auburn University"
