"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"W" "12-28-1963" 35 "Air Force (CO)" 0 "Gator Bowl" 1 12 28 1963 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-30-1970" 26 "Arizona St." 48 "Peach Bowl" 1 12 30 1970 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-31-1971" 3 "Georgia" 7 "Gator Bowl" 1 12 31 1971 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-30-1972" 32 "Texas Tech" 28 "Sun Bowl" 1 12 30 1972 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-28-1974" 24 "Mississippi St." 26 "Sun Bowl" 1 12 28 1974 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-31-1976" 0 "Kentucky" 21 "Peach Bowl" 1 12 31 1976 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-19-1977" 17 "Nebraska" 21 "Liberty Bowl" 1 12 19 1977 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-28-1979" 17 "Michigan" 15 "Gator Bowl" 1 12 28 1979 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-31-1980" 16 "Texas" 7 "Bluebonnet Bowl" 1 12 31 1980 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-28-1981" 31 "Arkansas" 27 "Gator Bowl" 1 12 28 1981 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-25-1982" 26 "Texas" 10 "Sun Bowl" 1 12 25 1982 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-30-1983" 3 "Florida St." 28 "Peach Bowl" 1 12 30 1983 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-27-1986" 21 "Arizona" 30 "Aloha Bowl" 1 12 27 1986 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "01-02-1993" 21 "Mississippi St." 17 "Peach Bowl" 1 1 2 1993 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-31-1993" 10 "Alabama" 24 "Gator Bowl" 1 12 31 1993 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-30-1994" 31 "Texas" 35 "Sun Bowl" 1 12 30 1994 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-30-1995" 20 "Arkansas" 10 "Carquest Bowl" 1 12 30 1995 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "01-01-1997" 20 "West Virginia" 13 "Gator Bowl" 1 1 1 1997 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "01-01-1998" 42 "Virginia Tech" 3 "Gator Bowl" 1 1 1 1998 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-19-1998" 20 "San Diego St. (CA)" 13 "Sam Boyd Stadium - Las Vegas Bowl" 1 12 19 1998 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-31-2001" 16 "Auburn (AL)" 10 "Peach Bowl" 1 12 31 2001 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-30-2004" 24 "Boston College (MA)" 37 "Continental Tire Bowl" 1 12 30 2004 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-27-2008" 30 "West Virginia" 31 "Meineke Car Care Bowl" 1 12 27 2008 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-26-2009" 17 "Pittsburgh (PA)" 19 "Meineke Car Care Bowl" 1 12 26 2009 "North Carolina" "University of North Carolina at Chapel Hill"
"W" "12-30-2010" 30 "Tennessee" 27 "Music City Bowl" 1 12 30 2010 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "12-26-2011" 24 "Missouri" 41 "Independence Bowl" 1 12 26 2011 "North Carolina" "University of North Carolina at Chapel Hill"
"L" "01-01-1947" 13 "Oklahoma" 34 "Gator Bowl" 1 1 1 1947 "North Carolina St." "North Carolina State University"
"L" "12-21-1963" 12 "Mississippi St." 16 "Liberty Bowl" 1 12 21 1963 "North Carolina St." "North Carolina State University"
"W" "12-16-1967" 14 "Georgia" 7 "Liberty Bowl" 1 12 16 1967 "North Carolina St." "North Carolina State University"
"W" "12-29-1972" 49 "West Virginia" 13 "Peach Bowl" 1 12 29 1972 "North Carolina St." "North Carolina State University"
"W" "12-17-1973" 31 "Kansas" 18 "Liberty Bowl" 1 12 17 1973 "North Carolina St." "North Carolina State University"
"T" "12-23-1974" 31 "Houston (TX)" 31 "Bluebonnet Bowl" 1 12 23 1974 "North Carolina St." "North Carolina State University"
"L" "12-31-1975" 10 "West Virginia" 13 "Peach Bowl" 1 12 31 1975 "North Carolina St." "North Carolina State University"
"W" "12-31-1977" 24 "Iowa St." 14 "Peach Bowl" 1 12 31 1977 "North Carolina St." "North Carolina State University"
"W" "12-23-1978" 30 "Pittsburgh (PA)" 17 "Tangerine Bowl" 1 12 23 1978 "North Carolina St." "North Carolina State University"
"L" "12-31-1986" 24 "Virginia Tech" 25 "Peach Bowl" 1 12 31 1986 "North Carolina St." "North Carolina State University"
"W" "12-31-1988" 28 "Iowa" 23 "Peach Bowl" 1 12 31 1988 "North Carolina St." "North Carolina State University"
"L" "12-31-1989" 10 "Arizona" 17 "Copper Bowl" 1 12 31 1989 "North Carolina St." "North Carolina State University"
"W" "12-28-1990" 31 "Southern Mississippi" 27 "All-American Bowl (2)" 1 12 28 1990 "North Carolina St." "North Carolina State University"
"L" "01-01-1992" 34 "East Carolina (NC)" 37 "Peach Bowl" 1 1 1 1992 "North Carolina St." "North Carolina State University"
"L" "12-31-1992" 10 "Florida" 27 "Gator Bowl" 1 12 31 1992 "North Carolina St." "North Carolina State University"
"L" "01-01-1994" 7 "Michigan" 42 "Hall of Fame Bowl" 1 1 1 1994 "North Carolina St." "North Carolina State University"
"W" "01-01-1995" 28 "Mississippi St." 24 "Peach Bowl" 1 1 1 1995 "North Carolina St." "North Carolina State University"
"L" "12-29-1998" 23 "Miami (FL)" 46 "Micron PC Bowl" 1 12 29 1998 "North Carolina St." "North Carolina State University"
"W" "12-28-2000" 38 "Minnesota" 30 "Micron PC Bowl" 1 12 28 2000 "North Carolina St." "North Carolina State University"
"L" "12-20-2001" 19 "Pittsburgh (PA)" 34 "Tangerine Bowl" 1 12 20 2001 "North Carolina St." "North Carolina State University"
"W" "01-01-2003" 28 "Notre Dame (IN)" 6 "Gator Bowl" 1 1 1 2003 "North Carolina St." "North Carolina State University"
"W" "12-22-2003" 56 "Kansas" 26 "Tangerine Bowl" 1 12 22 2003 "North Carolina St." "North Carolina State University"
"W" "12-31-2005" 14 "South Florida" 0 "Meineke Car Care Bowl" 1 12 31 2005 "North Carolina St." "North Carolina State University"
"L" "12-29-2008" 23 "Rutgers (NJ)" 29 "Papajohns.com Bowl" 1 12 29 2008 "North Carolina St." "North Carolina State University"
"W" "12-28-2010" 23 "West Virginia" 7 "Champs Sports Bowl" 1 12 28 2010 "North Carolina St." "North Carolina State University"
"W" "12-27-2011" 31 "Louisville (KY)" 24 "Belk Bowl" 1 12 27 2011 "North Carolina St." "North Carolina State University"
"L" "01-01-1948" 6 "Nevada" 13 "Salad Bowl" 0 1 1 1948 "North Texas" "University of North Texas"
"L" "12-31-1959" 8 "New Mexico St." 28 "Sun Bowl" 0 12 31 1959 "North Texas" "University of North Texas"
"L" "12-18-2001" 20 "Colorado St." 45 "New Orleans Bowl" 0 12 18 2001 "North Texas" "University of North Texas"
"W" "12-17-2002" 24 "Cincinnati (OH)" 19 "New Orleans Bowl" 0 12 17 2002 "North Texas" "University of North Texas"
"L" "12-16-2003" 17 "Memphis (TN)" 27 "New Orleans Bowl" 0 12 16 2003 "North Texas" "University of North Texas"
"L" "12-14-2004" 10 "Southern Mississippi" 31 "New Orleans Bowl" 0 12 14 2004 "North Texas" "University of North Texas"
"W" "12-21-1946" 14 "Pacific (CA)" 13 "Optimist Bowl (2)" 1 12 21 1946 "North Texas" "University of North Texas"
"W" "12-17-1983" 20 "Cal St.-Fullerton" 13 "California Bowl" 0 12 17 1983 "Northern Illinois" "Northern Illinois University"
"W" "12-30-2004" 34 "Troy (AL)" 21 "Silicon Valley Classic" 0 12 30 2004 "Northern Illinois" "Northern Illinois University"
"L" "12-19-2006" 7 "Texas Christian" 37 "Poinsettia Bowl" 0 12 19 2006 "Northern Illinois" "Northern Illinois University"
"L" "12-28-2008" 10 "Louisiana Tech" 17 "Independence Bowl" 0 12 28 2008 "Northern Illinois" "Northern Illinois University"
"L" "01-02-2010" 3 "South Florida" 27 "International Bowl" 0 1 2 2010 "Northern Illinois" "Northern Illinois University"
"W" "12-18-2010" 40 "Fresno St. (CA)" 17 "Humanitarian Bowl" 0 12 18 2010 "Northern Illinois" "Northern Illinois University"
"W" "01-08-2012" 38 "Arkansas St." 20 "GoDaddy.com Bowl" 0 1 8 2012 "Northern Illinois" "Northern Illinois University"
"L" "11-28-1946" 7 "Evansville (IN)" 19 "Turkey Bowl (1)" 1 11 28 1946 "Northern Illinois" "Northern Illinois University"
"L" "11-29-1947" 0 "Evansville (IN)" 20 "Hoosier Bowl" 1 11 29 1947 "Northern Illinois" "Northern Illinois University"
"L" "11-24-1962" 20 "Adams St. (CO)" 23 "Mineral Water Bowl" 1 11 24 1962 "Northern Illinois" "Northern Illinois University"
"W" "11-30-1963" 21 "Missouri St." 14 "Mineral Water Bowl" 1 11 30 1963 "Northern Illinois" "Northern Illinois University"
"L" "11-27-1965" 20 "North Dakota" 37 "Mineral Water Bowl" 1 11 27 1965 "Northern Illinois" "Northern Illinois University"
"W" "01-01-1949" 20 "California" 14 "Rose Bowl" 1 1 1 1949 "Northwestern (IL)" "Northwestern University"
"L" "01-01-1996" 32 "Southern California" 41 "Rose Bowl" 1 1 1 1996 "Northwestern (IL)" "Northwestern University"
"L" "01-01-1997" 28 "Tennessee" 48 "Florida Citrus Bowl" 1 1 1 1997 "Northwestern (IL)" "Northwestern University"
"L" "12-30-2000" 17 "Nebraska" 66 "Alamo Bowl" 1 12 30 2000 "Northwestern (IL)" "Northwestern University"
"L" "12-26-2003" 24 "Bowling Green (OH)" 28 "Motor City Bowl" 1 12 26 2003 "Northwestern (IL)" "Northwestern University"
"L" "12-30-2005" 38 "UCLA" 50 "Sun Bowl" 1 12 30 2005 "Northwestern (IL)" "Northwestern University"
"L" "12-29-2008" 23 "Missouri" 30 "Alamo Bowl" 1 12 29 2008 "Northwestern (IL)" "Northwestern University"
"L" "01-01-2010" 35 "Auburn (AL)" 38 "Outback Bowl" 1 1 1 2010 "Northwestern (IL)" "Northwestern University"
"L" "01-01-2011" 38 "Texas Tech" 45 "TicketCity Bowl" 1 1 1 2011 "Northwestern (IL)" "Northwestern University"
"L" "12-31-2011" 22 "Texas A&M" 33 "Texas Bowl" 1 12 31 2011 "Northwestern (IL)" "Northwestern University"
"W" "01-01-1925" 27 "Stanford (CA)" 10 "Rose Bowl" 0 1 1 1925 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-1970" 17 "Texas" 21 "Cotton Bowl" 0 1 1 1970 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-01-1971" 24 "Texas" 11 "Cotton Bowl" 0 1 1 1971 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-1973" 6 "Nebraska" 40 "Orange Bowl" 0 1 1 1973 "Notre Dame (IN)" "University of Notre Dame"
"W" "12-31-1973" 24 "Alabama" 23 "Sugar Bowl" 0 12 31 1973 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-01-1975" 13 "Alabama" 11 "Orange Bowl" 0 1 1 1975 "Notre Dame (IN)" "University of Notre Dame"
"W" "12-27-1976" 20 "Penn St." 9 "Gator Bowl" 0 12 27 1976 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-02-1978" 38 "Texas" 10 "Cotton Bowl" 0 1 2 1978 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-01-1979" 35 "Houston (TX)" 34 "Cotton Bowl" 0 1 1 1979 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-1981" 10 "Georgia" 17 "Sugar Bowl" 0 1 1 1981 "Notre Dame (IN)" "University of Notre Dame"
"W" "12-29-1983" 19 "Boston College (MA)" 18 "Liberty Bowl" 0 12 29 1983 "Notre Dame (IN)" "University of Notre Dame"
"L" "12-29-1984" 20 "Southern Methodist (TX)" 27 "Aloha Bowl" 0 12 29 1984 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-1988" 10 "Texas A&M" 35 "Cotton Bowl" 0 1 1 1988 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-02-1989" 34 "West Virginia" 21 "Fiesta Bowl" 0 1 2 1989 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-01-1990" 21 "Colorado" 6 "Orange Bowl" 0 1 1 1990 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-1991" 9 "Colorado" 10 "Orange Bowl" 0 1 1 1991 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-01-1992" 39 "Florida" 28 "Sugar Bowl" 0 1 1 1992 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-01-1993" 28 "Texas A&M" 3 "Cotton Bowl" 0 1 1 1993 "Notre Dame (IN)" "University of Notre Dame"
"W" "01-01-1994" 24 "Texas A&M" 21 "Cotton Bowl" 0 1 1 1994 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-02-1995" 24 "Colorado" 41 "Fiesta Bowl" 0 1 2 1995 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-1996" 26 "Florida St." 31 "Orange Bowl" 0 1 1 1996 "Notre Dame (IN)" "University of Notre Dame"
"L" "12-28-1997" 9 "Louisiana St." 27 "Independence Bowl" 0 12 28 1997 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-1999" 28 "Georgia Tech" 35 "Gator Bowl" 0 1 1 1999 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-2001" 9 "Oregon St." 41 "Fiesta Bowl" 0 1 1 2001 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-01-2003" 6 "North Carolina St." 28 "Gator Bowl" 0 1 1 2003 "Notre Dame (IN)" "University of Notre Dame"
"L" "12-28-2004" 21 "Oregon St." 38 "Insight Bowl" 0 12 28 2004 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-02-2006" 20 "Ohio St." 34 "Fiesta Bowl" 0 1 2 2006 "Notre Dame (IN)" "University of Notre Dame"
"L" "01-03-2007" 14 "Louisiana St." 41 "Sugar Bowl" 0 1 3 2007 "Notre Dame (IN)" "University of Notre Dame"
"W" "12-24-2008" 49 "Hawaii" 21 "Hawaii Bowl" 0 12 24 2008 "Notre Dame (IN)" "University of Notre Dame"
"W" "12-31-2010" 33 "Miami (FL)" 17 "Sun Bowl" 0 12 31 2010 "Notre Dame (IN)" "University of Notre Dame"
"L" "12-29-2011" 14 "Florida St." 18 "Champs Sports Bowl" 0 12 29 2011 "Notre Dame (IN)" "University of Notre Dame"
"W" "11-24-1979" 40 "Miami (FL)" 15 "Mirage Bowl" 1 11 24 1979 "Notre Dame (IN)" "University of Notre Dame"
"W" "11-02-1996" 54 "Navy (MD)" 27 "Emerald Isle Classic" 1 11 2 1996 "Notre Dame (IN)" "University of Notre Dame"
"L" "12-31-1962" 14 "West Texas A&M" 15 "Sun Bowl" 1 12 31 1962 "Ohio" "Ohio University"
"L" "12-27-1968" 42 "Richmond (VA)" 49 "Tangerine Bowl" 1 12 27 1968 "Ohio" "Ohio University"
"L" "01-07-2007" 7 "Southern Mississippi" 28 "GMAC Bowl" 1 1 7 2007 "Ohio" "Ohio University"
"L" "12-26-2009" 17 "Marshall (WV)" 21 "Little Caesars Pizza Bowl" 1 12 26 2009 "Ohio" "Ohio University"
"L" "12-18-2010" 21 "Troy (AL)" 48 "New Orleans Bowl" 1 12 18 2010 "Ohio" "Ohio University"
"W" "12-17-2011" 24 "Utah St." 23 "Idaho Potato Bowl" 1 12 17 2011 "Ohio" "Ohio University"
"L" "01-01-1921" 0 "California" 28 "Tournament of Roses Game" 1 1 1 1921 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-02-1950" 17 "California" 14 "Rose Bowl" 1 1 2 1950 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1955" 20 "Southern California" 7 "Rose Bowl" 1 1 1 1955 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1958" 10 "Oregon" 7 "Rose Bowl" 1 1 1 1958 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1969" 27 "Southern California" 16 "Rose Bowl" 1 1 1 1969 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1971" 17 "Stanford (CA)" 27 "Rose Bowl" 1 1 1 1971 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1973" 17 "Southern California" 42 "Rose Bowl" 1 1 1 1973 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1974" 42 "Southern California" 21 "Rose Bowl" 1 1 1 1974 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1975" 17 "Southern California" 18 "Rose Bowl" 1 1 1 1975 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1976" 10 "UCLA" 23 "Rose Bowl" 1 1 1 1976 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1977" 27 "Colorado" 10 "Orange Bowl" 1 1 1 1977 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-02-1978" 6 "Alabama" 35 "Sugar Bowl" 1 1 2 1978 "Ohio St." "Ohio State University: Columbus Campus"
"L" "12-29-1978" 15 "Clemson (SC)" 17 "Gator Bowl" 1 12 29 1978 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1980" 16 "Southern California" 17 "Rose Bowl" 1 1 1 1980 "Ohio St." "Ohio State University: Columbus Campus"
"L" "12-26-1980" 19 "Penn St." 31 "Fiesta Bowl" 1 12 26 1980 "Ohio St." "Ohio State University: Columbus Campus"
"W" "12-30-1981" 31 "Navy (MD)" 28 "Liberty Bowl" 1 12 30 1981 "Ohio St." "Ohio State University: Columbus Campus"
"W" "12-17-1982" 47 "Brigham Young (UT)" 17 "Holiday Bowl (1)" 1 12 17 1982 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-02-1984" 28 "Pittsburgh (PA)" 23 "Fiesta Bowl" 1 1 2 1984 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1985" 17 "Southern California" 20 "Rose Bowl" 1 1 1 1985 "Ohio St." "Ohio State University: Columbus Campus"
"W" "12-28-1985" 10 "Brigham Young (UT)" 7 "Florida Citrus Bowl" 1 12 28 1985 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1987" 28 "Texas A&M" 12 "Cotton Bowl" 1 1 1 1987 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1990" 14 "Auburn (AL)" 31 "Hall of Fame Bowl" 1 1 1 1990 "Ohio St." "Ohio State University: Columbus Campus"
"L" "12-27-1990" 11 "Air Force (CO)" 23 "Liberty Bowl" 1 12 27 1990 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1992" 17 "Syracuse (NY)" 24 "Hall of Fame Bowl" 1 1 1 1992 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1993" 14 "Georgia" 21 "Florida Citrus Bowl" 1 1 1 1993 "Ohio St." "Ohio State University: Columbus Campus"
"W" "12-30-1993" 28 "Brigham Young (UT)" 21 "Holiday Bowl (1)" 1 12 30 1993 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-02-1995" 17 "Alabama" 24 "Florida Citrus Bowl" 1 1 2 1995 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1996" 14 "Tennessee" 20 "Florida Citrus Bowl" 1 1 1 1996 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1997" 20 "Arizona St." 17 "Rose Bowl" 1 1 1 1997 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-1998" 14 "Florida St." 31 "Sugar Bowl" 1 1 1 1998 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-1999" 24 "Texas A&M" 14 "Sugar Bowl" 1 1 1 1999 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-2001" 7 "South Carolina" 24 "Outback Bowl" 1 1 1 2001 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-01-2002" 28 "South Carolina" 31 "Outback Bowl" 1 1 1 2002 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-03-2003" 31 "Miami (FL)" 24 "Fiesta Bowl" 1 1 3 2003 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-02-2004" 35 "Kansas St." 28 "Fiesta Bowl" 1 1 2 2004 "Ohio St." "Ohio State University: Columbus Campus"
"W" "12-29-2004" 33 "Oklahoma St." 7 "Alamo Bowl" 1 12 29 2004 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-02-2006" 34 "Notre Dame (IN)" 20 "Fiesta Bowl" 1 1 2 2006 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-08-2007" 14 "Florida" 41 "BCS Championship Game" 1 1 8 2007 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-07-2008" 24 "Louisiana St." 38 "BCS Championship Game" 1 1 7 2008 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-05-2009" 21 "Texas" 24 "Fiesta Bowl" 1 1 5 2009 "Ohio St." "Ohio State University: Columbus Campus"
"W" "01-01-2010" 26 "Oregon" 17 "Rose Bowl" 1 1 1 2010 "Ohio St." "Ohio State University: Columbus Campus"
"N/A" "01-04-2011" 31 "Arkansas" 26 "Sugar Bowl - Ohio St. Vacated Game" 1 1 4 2011 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-02-2012" 17 "Florida" 24 "Gator Bowl" 1 1 2 2012 "Ohio St." "Ohio State University: Columbus Campus"
"L" "01-02-1939" 0 "Tennessee" 17 "Orange Bowl" 1 1 2 1939 "Oklahoma" "University of Oklahoma"
"W" "01-01-1947" 34 "North Carolina St." 13 "Gator Bowl" 1 1 1 1947 "Oklahoma" "University of Oklahoma"
"W" "01-01-1949" 14 "North Carolina" 6 "Sugar Bowl" 1 1 1 1949 "Oklahoma" "University of Oklahoma"
"W" "01-02-1950" 35 "Louisiana St." 0 "Sugar Bowl" 1 1 2 1950 "Oklahoma" "University of Oklahoma"
"L" "01-01-1951" 7 "Kentucky" 13 "Sugar Bowl" 1 1 1 1951 "Oklahoma" "University of Oklahoma"
"W" "01-01-1954" 7 "Maryland" 0 "Orange Bowl" 1 1 1 1954 "Oklahoma" "University of Oklahoma"
"W" "01-02-1956" 20 "Maryland" 6 "Orange Bowl" 1 1 2 1956 "Oklahoma" "University of Oklahoma"
"W" "01-01-1958" 48 "Duke (NC)" 21 "Orange Bowl" 1 1 1 1958 "Oklahoma" "University of Oklahoma"
"W" "01-01-1959" 21 "Syracuse (NY)" 6 "Orange Bowl" 1 1 1 1959 "Oklahoma" "University of Oklahoma"
"L" "01-01-1963" 0 "Alabama" 17 "Orange Bowl" 1 1 1 1963 "Oklahoma" "University of Oklahoma"
"L" "01-02-1965" 19 "Florida St." 36 "Gator Bowl" 1 1 2 1965 "Oklahoma" "University of Oklahoma"
"W" "01-01-1968" 26 "Tennessee" 24 "Orange Bowl" 1 1 1 1968 "Oklahoma" "University of Oklahoma"
"L" "12-31-1968" 27 "Southern Methodist (TX)" 28 "Bluebonnet Bowl" 1 12 31 1968 "Oklahoma" "University of Oklahoma"
"T" "12-31-1970" 24 "Alabama" 24 "Bluebonnet Bowl" 1 12 31 1970 "Oklahoma" "University of Oklahoma"
"W" "01-01-1972" 40 "Auburn (AL)" 22 "Sugar Bowl" 1 1 1 1972 "Oklahoma" "University of Oklahoma"
"W" "12-31-1972" 14 "Penn St." 0 "Sugar Bowl" 1 12 31 1972 "Oklahoma" "University of Oklahoma"
"W" "01-01-1976" 14 "Michigan" 6 "Orange Bowl" 1 1 1 1976 "Oklahoma" "University of Oklahoma"
"W" "12-25-1976" 41 "Wyoming" 7 "Fiesta Bowl" 1 12 25 1976 "Oklahoma" "University of Oklahoma"
"L" "01-02-1978" 6 "Arkansas" 31 "Orange Bowl" 1 1 2 1978 "Oklahoma" "University of Oklahoma"
"W" "01-01-1979" 31 "Nebraska" 24 "Orange Bowl" 1 1 1 1979 "Oklahoma" "University of Oklahoma"
"W" "01-01-1980" 24 "Florida St." 7 "Orange Bowl" 1 1 1 1980 "Oklahoma" "University of Oklahoma"
"W" "01-01-1981" 18 "Florida St." 17 "Orange Bowl" 1 1 1 1981 "Oklahoma" "University of Oklahoma"
"W" "12-26-1981" 40 "Houston (TX)" 14 "Sun Bowl" 1 12 26 1981 "Oklahoma" "University of Oklahoma"
"L" "01-01-1983" 21 "Arizona St." 32 "Fiesta Bowl" 1 1 1 1983 "Oklahoma" "University of Oklahoma"
"L" "01-01-1985" 17 "Washington" 28 "Orange Bowl" 1 1 1 1985 "Oklahoma" "University of Oklahoma"
"W" "01-01-1986" 25 "Penn St." 10 "Orange Bowl" 1 1 1 1986 "Oklahoma" "University of Oklahoma"
"W" "01-01-1987" 42 "Arkansas" 8 "Orange Bowl" 1 1 1 1987 "Oklahoma" "University of Oklahoma"
"L" "01-01-1988" 14 "Miami (FL)" 20 "Orange Bowl" 1 1 1 1988 "Oklahoma" "University of Oklahoma"
"L" "01-02-1989" 6 "Clemson (SC)" 13 "Florida Citrus Bowl" 1 1 2 1989 "Oklahoma" "University of Oklahoma"
"W" "12-29-1991" 48 "Virginia" 14 "Gator Bowl" 1 12 29 1991 "Oklahoma" "University of Oklahoma"
"W" "12-24-1993" 41 "Texas Tech" 10 "Sun Bowl" 1 12 24 1993 "Oklahoma" "University of Oklahoma"
"L" "12-29-1994" 6 "Brigham Young (UT)" 31 "Copper Bowl" 1 12 29 1994 "Oklahoma" "University of Oklahoma"
"L" "12-31-1999" 25 "Mississippi" 27 "Independence Bowl" 1 12 31 1999 "Oklahoma" "University of Oklahoma"
"W" "01-03-2001" 13 "Florida St." 2 "Orange Bowl" 1 1 3 2001 "Oklahoma" "University of Oklahoma"
"W" "01-01-2002" 10 "Arkansas" 3 "Cotton Bowl" 1 1 1 2002 "Oklahoma" "University of Oklahoma"
"W" "01-01-2003" 34 "Washington St." 14 "Rose Bowl" 1 1 1 2003 "Oklahoma" "University of Oklahoma"
"L" "01-04-2004" 14 "Louisiana St." 21 "Sugar Bowl" 1 1 4 2004 "Oklahoma" "University of Oklahoma"
"L" "01-04-2005" 19 "Southern California" 55 "Orange Bowl - Southern California Vacated Game" 1 1 4 2005 "Oklahoma" "University of Oklahoma"
"W" "12-29-2005" 17 "Oregon" 14 "Holiday Bowl (1)" 1 12 29 2005 "Oklahoma" "University of Oklahoma"
"L" "01-01-2007" 42 "Boise St. (ID)" 43 "Fiesta Bowl" 1 1 1 2007 "Oklahoma" "University of Oklahoma"
"L" "01-02-2008" 28 "West Virginia" 48 "Fiesta Bowl" 1 1 2 2008 "Oklahoma" "University of Oklahoma"
"L" "01-08-2009" 14 "Florida" 24 "BCS Championship Game" 1 1 8 2009 "Oklahoma" "University of Oklahoma"
"W" "12-31-2009" 31 "Stanford (CA)" 27 "Sun Bowl" 1 12 31 2009 "Oklahoma" "University of Oklahoma"
"W" "01-01-2011" 48 "Connecticut" 20 "Fiesta Bowl" 1 1 1 2011 "Oklahoma" "University of Oklahoma"
"W" "12-30-2011" 31 "Iowa" 14 "Insight Bowl" 1 12 30 2011 "Oklahoma" "University of Oklahoma"
"W" "01-01-1945" 34 "Texas Christian" 0 "Cotton Bowl" 0 1 1 1945 "Oklahoma St." "Oklahoma State University"
"W" "01-01-1946" 33 "Saint Mary's (CA)" 13 "Sugar Bowl" 0 1 1 1946 "Oklahoma St." "Oklahoma State University"
