"off.rank" "school" "games" "off.points" "off.pass.cmp" "off.pass.att" "off.pass.pct" "off.pass.yds" "off.pass.td" "off.rush.att" "off.rush.yds" "off.rush.avg" "off.rush.td" "off.toff.plays" "off.toff.yds" "off.toff.avg" "off.fd.pass" "off.fd.rush" "off.fd.pen" "off.fd.tot" "off.pen.num" "off.pen.yds" "off.turn.fum" "off.turn.int" "off.turn.tot" "year" "def.rank" "def.points" "def.pass.cmp" "def.pass.att" "def.pass.pct" "def.pass.yds" "def.pass.td" "def.rush.att" "def.rush.yds" "def.rush.avg" "def.rush.td" "def.toff.plays" "def.toff.yds" "def.toff.avg" "def.fd.pass" "def.fd.rush" "def.fd.pen" "def.fd.tot" "def.pen.num" "def.pen.yds" "def.turn.fum" "def.turn.int" "def.turn.tot" "spec.rank" "kick.xpm" "kick.xpa" "kick.xpp" "kick.fgm" "kick.fga" "kick.fgp" "kick.pts" "punt.num" "punt.yds" "punt.avg" "kr.num" "kr.yds" "kr.avg" "kr.td" "pr.num" "pr.yds" "pr.avg" "pr.td"
38 "Texas-El Paso" 12 27.3 24.2 37.3 64.9 312.8 2.4 24 57.6 2.4 0.7 61.3 370.4 6 12.7 3.2 1.8 17.7 6.1 54.3 0.7 1.4 2.1 2006 107 31.3 21.3 33 64.6 242.5 1.5 36.6 152.4 4.2 2.2 69.6 394.9 5.7 10.8 9.3 1.8 21.8 6.2 53.4 0.8 1.3 2.1 102 2.8 3.1 91.9 1.3 1.7 80 6.8 4.3 151.1 35.5 3.8 69.6 18.6 0.1 1.1 21.7 20 0.2
39 "Ball State" 12 27.2 19.3 31.1 62.2 259.3 2.3 30.5 91.9 3 0.8 61.6 351.3 5.7 10.3 4.8 2 17.1 5 45.7 0.5 0.9 1.4 2006 83 25.8 20.9 32.8 63.7 257.8 1.6 35.5 175.7 4.9 1.3 68.3 433.5 6.3 11.3 8.6 0.8 20.7 8 67.3 0.8 0.8 1.5 11 3.1 3.2 97.4 1.4 1.6 89.5 7.3 5 225.3 45.1 3.8 72.6 19.4 0 2 11.5 5.8 0.1
40 "Southern Methodist" 12 27.1 16.9 26.3 64.2 194.3 2.4 33.7 125.3 3.7 0.6 60 319.5 5.3 8.4 7.1 1.6 17.1 6.5 53.5 1 0.8 1.8 2006 71 24.5 22.3 34.8 64.1 245.8 1.6 33.6 107.5 3.2 1.3 68.4 353.3 5.2 12.3 6.5 1.2 19.9 6.3 49.3 1 0.9 1.9 92 3 3.1 97.3 1.1 1.5 72.2 6.3 4.3 182.6 43 3.7 84.2 23 0.1 1.9 15 7.8 0
41 "Rice" 13 26.9 19.1 33.5 57 214.1 2.2 33.7 131 3.9 1.2 67.2 345.1 5.1 9.6 7.6 2.3 19.5 5.8 42.8 0.5 1.1 1.6 2006 112 33.2 15.5 27.5 56.4 226.6 2.5 35.6 187.8 5.3 1.5 63.2 414.5 6.6 9.8 9.1 0.8 19.7 8.5 71.1 1.4 0.8 2.2 85 2.9 3.1 95 0.9 1.4 66.7 5.7 5.1 194.4 38.3 4.5 84.3 18.9 0 2.2 15.5 7.2 0
42 "Arizona State" 13 26.8 14.6 26.8 54.4 197.6 1.8 38.2 169.7 4.4 1.3 65.1 367.3 5.6 9.1 8.7 1.4 19.2 7.9 64.2 0.8 1.1 1.9 2006 76 25.1 16.3 29.9 54.5 210.9 2.2 32.5 116.9 3.6 0.7 62.4 327.8 5.3 9.2 6.3 1.6 17.2 6.4 58.6 0.7 1.2 1.8 6 3.2 3.2 100 1.1 1.5 73.7 6.5 4.2 175.1 41.4 2.5 67.1 26.4 0.1 2.7 22.8 8.5 0
43 "Kentucky" 13 26.7 21 33.5 62.6 276.7 2.4 31.6 98.6 3.1 0.9 65.2 375.3 5.8 10.9 7.2 1.4 19.5 6.2 52.8 0.8 0.5 1.3 2006 99 28.4 18.1 31.2 57.9 268.9 1.8 36.6 184.5 5 1.8 67.8 453.4 6.7 11.6 9.8 1 22.5 6.4 50.6 1.4 1.1 2.5 46 3.2 3.5 93.3 0.8 1.5 55 5.8 4.3 161.8 37.6 3.3 79.5 24 0.1 1.4 28.3 20.4 0.1
44 "South Carolina" 13 26.6 18.7 29.9 62.5 250.7 1.8 31.8 144.3 4.5 1.5 61.8 395 6.4 10.9 8.4 1.5 20.8 6.6 52.2 0.8 1 1.8 2006 29 18.7 13.1 24.1 54.3 190 1 36.1 146.8 4.1 1.1 60.2 336.8 5.6 8.4 8 1.4 17.8 6.4 51.6 0.5 1.1 1.6 89 3.1 3.2 95.2 1.2 1.6 76.2 6.8 2.3 97.5 42.2 2.9 56 19.2 0 1.5 11.3 7.7 0
45 "Florida State" 13 26.5 18.4 33.8 54.4 233.8 1.5 27.9 96.5 3.5 1.3 61.7 330.3 5.4 10.3 4.7 1.2 16.2 6.8 53.6 0.8 1.2 2.1 2006 37 19.8 17.5 31.8 54.8 198.3 1.3 32.4 92.5 2.9 0.8 64.2 290.8 4.5 8.2 5.8 1.5 15.5 6.3 48.7 0.5 0.9 1.5 32 3 3.1 97.5 1.1 1.5 70 6.2 5.3 213.2 40.2 2.7 50.2 18.7 0 2.7 24.4 9.1 0.1
46 "Boston College" 13 26 21.9 35.3 62.1 241.2 1.2 33.6 113 3.4 1.5 68.9 354.2 5.1 12.2 6.5 1.2 19.8 6 43.5 0.8 0.8 1.7 2006 14 15.7 20.8 34.6 60 202.9 0.8 30.9 107.9 3.5 0.9 65.5 310.8 4.7 9.2 6.2 1.2 16.6 4.9 42.5 1.2 1.6 2.8 14 2.7 3 89.7 1.2 1.7 68.2 6.2 4.6 191 41.4 2.7 69.7 25.9 0.1 2.2 20.5 9.2 0
47 "Purdue" 14 26 23 38.6 59.5 291.6 1.7 28.6 124.1 4.3 1.6 67.2 415.7 6.2 13.9 6.5 1.4 21.8 5.3 39.1 0.6 1.4 2.1 2006 90 26.7 19.9 32.5 61.3 241.2 1.4 38.7 191.2 4.9 1.6 71.2 432.4 6.1 11.4 9.8 0.8 22 5.8 44.1 1.2 0.8 2 84 3.4 3.4 97.9 0.6 1.5 42.9 5.3 4.1 166.4 40.9 3.7 69.6 18.7 0 1.7 10.6 6.2 0
48 "Marshall" 12 25.9 15 24.6 61 187.3 1.3 33.8 167.1 4.9 1.9 58.4 354.3 6.1 8.4 8 1.1 17.5 6.6 55.7 1.3 1.3 2.6 2006 102 29.3 21.2 33.2 63.8 251.7 1.7 33.8 139.3 4.1 1.8 67 390.9 5.8 11.2 8.2 1.9 21.3 5.6 49.2 0.8 1 1.8 52 3 3.4 87.8 0.4 1.1 38.5 4.3 3.3 126.7 38 3.7 74.3 20.3 0 1.3 14.7 11.7 0.1
49 "Virginia Tech" 13 25.8 13.9 24.8 56.2 181.8 1 35 113.4 3.2 1.7 59.8 295.2 4.9 7.6 5.9 1.5 15.1 5.9 51.1 0.8 0.9 1.8 2006 1 11 12.4 24.2 51.3 128.2 0.5 33 91.2 2.8 0.5 57.2 219.5 3.8 5.1 4.7 1.5 11.3 6.3 48.8 0.8 1.3 2.1 112 2.9 3.1 95 1.4 1.5 90 7.1 4.8 198.6 41.6 2.2 46.6 20.9 0 2.2 27.2 12.6 0.1
50 "Northern Illinois" 13 25.5 16.7 29.7 56.2 198.5 1.2 34.1 164.8 4.8 1.5 63.8 363.2 5.7 9.2 7.8 1.6 18.7 4.8 40.1 0.3 1.2 1.5 2006 48 21.2 20.4 31.6 64.5 242.8 1.7 33.9 121.9 3.6 1.1 65.5 364.7 5.6 10.7 7 0.8 18.5 5.8 55.7 1.1 0.5 1.6 73 2.7 2.8 97.2 1.5 2.1 74.1 7.3 4.2 160.4 37.9 3.2 56 17.3 0 1.7 22.4 13.2 0.2
51 "Southern Mississippi" 14 25.4 14.1 25.2 56.1 161.2 1 38.2 169.9 4.4 1.6 63.4 331.1 5.2 7.6 9.5 1.8 18.9 5.4 42.1 0.9 0.5 1.4 2006 28 18.6 14.7 28.1 52.4 180.3 1 32.6 127.8 3.9 1.4 60.6 308.1 5.1 8.2 7.3 0.6 16.1 7.6 60.6 0.6 1.2 1.8 93 3 3.1 97.7 1.1 1.7 66.7 6.4 3.8 145 38.3 3.1 60.4 19.2 0 1.9 17.3 9.3 0.1
52 "Georgia" 13 25.2 14.2 26.3 53.8 184.4 0.9 32.8 127.4 3.9 1.6 59.1 311.8 5.3 8.9 7.2 0.6 16.7 6 47 1.2 1.2 2.4 2006 21 17.6 14 26.3 53.2 150 0.8 33.3 108.2 3.2 1.2 59.6 258.2 4.3 7.1 6.8 1.3 15.2 5.4 40.7 0.8 1.5 2.3 34 2.5 2.8 91.7 1.2 1.6 76.2 6.2 4.1 154.5 37.9 3.2 66.8 21.2 0.1 2.6 38.8 14.9 0.2
53 "Michigan State" 12 25.2 20.7 34.8 59.5 227.6 1.5 32.3 129.2 4 1.3 67 356.8 5.3 9.8 8 0.7 18.4 6.8 56 0.7 1.1 1.8 2006 100 28.4 17.2 29.6 58 230.9 2.7 34.7 132.8 3.8 0.7 64.3 363.8 5.7 10.2 7.1 1.4 18.7 4.7 37.6 1 0.7 1.7 58 2.8 2.8 97.1 1.3 1.6 78.9 6.5 4.8 205.8 42.6 3.8 69.5 18.5 0 1.7 13.2 7.9 0.2
54 "Georgia Tech" 14 24.9 12.4 26.4 47.2 169.6 1.8 37.6 162.4 4.3 1.2 63.9 332.1 5.2 7.3 8.3 1.5 17.1 6.1 50.9 0.4 1.1 1.6 2006 27 18.4 17 32.9 51.6 195.8 0.8 31.8 104.8 3.3 0.9 64.7 300.6 4.6 9 5.4 1.6 15.9 6.9 60.5 0.9 0.9 1.8 35 3.1 3.1 100 0.9 1.3 66.7 5.6 5.6 256.9 45.5 3 58.2 19.4 0 3.2 24 7.5 0
55 "San Jose State" 13 24.9 14.4 22.6 63.6 181.6 1.8 37.6 175.6 4.7 1.5 60.2 357.2 5.9 7.8 7.8 1.7 17.3 4.8 37.8 1 0.6 1.6 2006 47 20.8 18.5 30 61.5 206.2 1.4 36.3 148.4 4.1 1.2 66.3 354.5 5.3 9.5 8.3 0.8 18.7 6.2 61.9 1.1 1.2 2.3 88 2.8 3.2 90.2 0.7 0.9 75 4.9 4.9 215.2 43.7 2.4 42.5 17.8 0 1.3 13.8 10.5 0.1
56 "Auburn" 13 24.8 13.2 21.7 60.6 172.7 1.1 36.2 148.2 4.1 1.6 57.8 320.9 5.5 7.7 8.5 0.6 16.8 5.5 45.8 0.8 0.8 1.5 2006 7 13.9 14.2 26.1 54.6 168.2 1 33.4 124.2 3.7 0.6 59.5 292.3 4.9 8.2 7.2 1.5 16.8 4.5 36.3 1.2 0.8 1.9 10 2.6 2.6 100 1.5 1.8 83.3 7.2 3.6 165.3 45.7 2.8 71.8 25.9 0 2.2 11.8 5.5 0.1
57 "Washington State" 12 24.6 21.7 35.8 60.5 259.8 1.9 32.7 128.3 3.9 1 68.5 388.1 5.7 11.7 6.8 1.8 20.3 5.4 47.3 1 1 2 2006 62 23.1 17.8 31.9 55.9 243.1 1.3 33.3 114.1 3.4 1.2 65.3 357.2 5.5 10.3 6.3 1 17.6 5.8 53.2 1.2 1.3 2.5 115 2.8 2.9 94.3 0.8 1.3 62.5 5.3 4.8 191.7 39.7 2.6 45.3 17.5 0 1.4 7.8 5.5 0
58 "Iowa" 13 23.8 19.1 32.5 58.6 239.8 1.6 33.2 143.5 4.3 1.2 65.8 383.3 5.8 11.1 7.8 1.2 20.1 5 44.7 0.9 1.5 2.4 2006 45 20.7 18.5 32.5 57 210.2 1.5 36.9 133.6 3.6 1.1 69.5 343.8 4.9 10.2 7.5 1.6 19.2 5 44.2 0.5 1.1 1.5 41 2.8 2.9 97.4 1.2 1.7 68.2 6.3 4.3 162.1 37.6 2.2 38.3 17.8 0 2.2 22.5 10.1 0
59 "Baylor" 12 23.6 25.6 42.5 60.2 275 2 19.6 40.2 2.1 0.8 62.1 315.2 5.1 11.9 3.5 2 17.4 6.4 56.5 1.4 1.4 2.8 2006 110 32.6 17.5 30.3 57.7 217.1 2 38.4 191.1 5 1.6 68.8 408.2 5.9 8.7 10.4 1.3 20.3 7.8 67.8 0.9 1.3 2.3 12 2.7 2.8 97 0.9 1.2 78.6 5.4 5.7 259.3 45.8 3.8 85.6 22.8 0 2.5 19 7.6 0
60 "Memphis" 12 23.4 19.5 32.8 59.4 224.6 1.8 31 111.7 3.6 1 63.8 336.3 5.3 9.8 6.8 2 18.5 4.3 37.3 0.5 1.2 1.7 2006 103 30.4 16.7 25.6 65.1 230.7 2 39.8 178 4.5 1.7 65.4 408.7 6.2 9.7 9.6 1.1 20.3 5.6 52.1 0.8 0.8 1.7 54 2.5 2.7 93.8 1.3 1.8 68.2 6.3 3.6 151.4 42.3 3.9 82.8 21.1 0 1.3 12.9 10.3 0
61 "Toledo" 12 23.4 17.9 32.2 55.7 170.7 1.1 39.2 156.3 4 1.8 71.3 326.9 4.6 8.2 8.8 1.3 18.3 6.9 66.8 0.8 0.9 1.8 2006 95 27.7 16.1 28.4 56.6 195.2 1.6 35.7 137.9 3.9 1.4 64.1 333.1 5.2 9.2 6.9 1.8 17.8 6.3 52.3 0.6 0.9 1.5 103 2.5 2.6 96.8 0.6 0.7 87.5 4.3 5.3 215.8 41.1 3.3 67.3 20.2 0 1.7 8.2 4.9 0
62 "Air Force" 12 23.3 7 12.2 57.5 101.3 1 55 229.4 4.2 1.8 67.2 330.7 4.9 4.6 13.9 1.5 20 3.9 34 0.8 0.3 1.2 2006 78 25.2 16.8 25.3 66.7 213.4 1.7 34.6 141.3 4.1 1.3 59.8 354.7 5.9 9.2 9.3 0.8 19.2 5.6 46.3 1.1 0.8 1.8 1 2.7 2.8 94.1 0.8 1.2 64.3 4.9 3.4 137.9 40.4 2.8 50.4 17.8 0 0.9 11.9 13 0.1
63 "Indiana" 12 23.1 19.3 35.8 54 222.1 1.3 32.7 113.8 3.5 1.1 68.5 335.9 4.9 10.3 6.9 2.2 19.4 4.9 42.1 1.2 1 2.2 2006 111 32.8 16.3 26.5 61.6 228.3 2.4 37.8 174.1 4.6 1.8 64.3 402.3 6.3 9.6 8.4 1.3 19.3 5.6 54.8 0.8 1.1 1.8 40 2.4 2.8 87.9 1 1.3 80 5.4 5.5 217.9 39.6 3.9 86.9 22.2 0.3 1.5 18.8 12.6 0.1
64 "Fresno State" 12 23 14.8 26.8 55.3 158.2 1.3 35.8 180 5 1.3 62.7 338.2 5.4 7.3 9 1.2 17.5 5.1 39.5 0.4 1.3 1.7 2006 98 28.3 19.4 30.4 63.8 222.2 2.2 33.7 140.8 4.2 1.5 64.1 362.9 5.7 9.8 7.9 1.2 18.9 4.8 44.4 0.8 0.4 1.2 33 2.6 2.8 93.9 0.9 1.3 68.8 5.3 5.3 193.4 36.8 4 79.5 19.9 0.1 2.4 19.8 8.2 0.1
65 "South Florida" 13 23 17.4 27.4 63.5 217.5 1.2 37.3 144.2 3.9 1.7 64.7 361.6 5.6 9.2 8.2 1 18.4 8 70.5 1.1 1.2 2.2 2006 18 16.9 15.3 29.9 51.2 183.2 0.8 35.4 115.2 3.3 0.7 65.3 298.5 4.6 8.4 6.6 2.5 17.5 7.2 59.5 0.8 1.2 1.9 90 2.6 2.8 94.4 0.5 1.2 46.7 4.2 4.5 164.5 36.3 2.8 48.7 17.6 0 2.6 34.3 13.1 0.1
66 "UCLA" 13 23 17.2 30.8 56 200.3 1.2 33.5 129.8 3.9 0.8 64.3 330.1 5.1 10.1 5.8 1.7 17.5 6.4 60.1 0.7 1.1 1.8 2006 39 19.9 18.2 32.4 56.1 223.4 1.4 32.2 91.1 2.8 0.7 64.6 314.5 4.9 9.9 5.8 1.8 17.5 6.5 53.4 1.1 1 2.1 107 2.2 2.2 100 2.2 2.5 87.5 8.7 4.8 203 41.9 2.3 49.8 21.6 0 1.7 14.3 8.5 0.1
67 "Western Michigan" 13 23 19.4 31.4 61.8 184.8 1.5 36.2 134.7 3.7 0.8 67.6 319.5 4.7 9.2 7.5 0.7 17.4 6.5 55.7 0.7 1 1.7 2006 40 19.9 17.4 29.4 59.2 199.3 1.1 29.2 76.1 2.6 0.8 58.6 275.4 4.7 8.8 4.3 1.9 15.1 6 52.1 0.8 1.8 2.6 117 2.5 2.6 97.1 1.4 1.9 72 6.7 5.2 196.1 37.5 2.5 56.7 22.3 0 1.4 18.8 13.6 0
68 "Alabama" 13 22.9 17.2 30.2 57 212.8 1.4 35 123.1 3.5 0.8 65.2 335.9 5.1 9.8 7.5 1.7 19 6 42.8 0.8 0.8 1.5 2006 30 19.2 14.2 25.5 55.6 173.1 1.2 31.5 124.6 4 0.9 56.9 297.7 5.2 7.5 6.8 0.8 15.1 6.9 56.3 0.8 1.2 2.1 3 2.2 2.4 93.5 1.6 2.3 70 7.1 4.4 167.4 38.2 2.4 43.4 18.2 0 2.6 23.7 9.1 0.2
69 "Kansas State" 13 22.8 16.5 31.9 51.6 200.1 0.8 28.6 115.2 4 1.2 60.5 315.2 5.2 8.4 6.1 1.2 15.6 6.8 57.5 0.8 1.5 2.3 2006 66 23.8 17.2 29.5 58.3 197 1.4 36.4 148.6 4.1 1.2 65.9 345.6 5.2 8.9 7.7 1.8 18.4 4.8 40.4 1.2 0.8 2 44 2.5 2.5 100 1.3 1.8 70.8 6.5 4.8 197.4 40.7 2.8 75.2 27.1 0.2 2.3 30.1 13 0.2
70 "Middle Tennessee State" 13 22.8 13.9 24.1 57.8 154.4 0.7 36.5 131.2 3.6 1.8 60.5 285.5 4.7 7 7.6 1.2 15.8 5.5 42.5 0.8 0.8 1.6 2006 63 23.2 16.5 28.6 57.5 204.3 1.4 33.2 120.2 3.6 1.3 61.8 324.5 5.3 10.3 6.9 1.1 18.3 4.1 35.1 1 1.1 2.1 59 2.9 3 97.4 0.6 1 61.5 4.8 5.4 217.7 40.4 3.5 81.6 23.1 0.2 1.3 10.9 8.4 0
71 "Troy" 13 22.8 19.4 31.4 61.8 191.4 1.7 33.5 128.5 3.8 1.2 64.9 319.9 4.9 8.2 7.5 0.8 16.5 6.1 57.7 1 1.4 2.4 2006 55 22.2 18.8 32.4 58 214.8 1.3 35.2 129.5 3.7 1.4 67.6 344.4 5.1 9 7.9 1.6 18.5 6.8 54.1 0.7 1.2 1.9 104 2.7 2.9 92.1 0.8 1.5 57.9 5.2 4.7 183.5 39.1 3.6 70.7 19.6 0 2.2 24.8 11.1 0.1
72 "Penn State" 13 22.3 17.4 32.6 53.3 199.9 0.9 35.2 150 4.3 1.2 67.8 349.9 5.2 9.3 8.2 1.2 18.7 4.5 33.6 1.2 0.7 1.8 2006 9 14.4 18.8 33.8 55.5 197 0.8 30.8 87.5 2.8 0.6 64.6 284.5 4.4 9.4 5.6 0.7 15.7 5.5 43.5 0.9 1 1.9 82 2.3 2.4 96.8 1.7 2.6 64.7 7.4 4.8 198.8 41.7 2.5 52.2 21.2 0.1 2.8 28.4 10.3 0.1
73 "Vanderbilt" 12 22 15.6 28.1 55.5 201.4 1.3 32.1 149.6 4.7 1.5 60.2 351 5.8 8.4 7.8 1.4 17.7 4 33.3 1.2 1.2 2.3 2006 65 23.7 14.7 24.4 60.1 196.4 1.5 37.8 156 4.1 1.3 62.2 352.4 5.7 8.5 8.5 1.3 18.3 5.8 49.8 1 1.2 2.2 110 2.3 2.5 90 0.8 1.5 50 4.5 4.5 162.1 36 3.4 61 17.9 0 1.8 8.7 4.7 0
74 "Louisiana-Monroe" 12 21.8 14.9 26.1 57.2 192.5 0.8 37.1 155.3 4.2 1.6 63.2 347.8 5.5 7.5 9 0.9 17.4 7.1 53.6 0.8 1.3 2 2006 58 22.3 17.8 30 59.4 196.1 1.3 35.3 150.4 4.3 1.5 65.3 346.5 5.3 8.4 9 1.2 18.6 5.8 46 1.3 1.6 2.8 50 2.1 2.3 89.3 1.3 1.4 88.2 5.8 4.2 167.5 40.2 3 60.1 20 0 1.5 6.8 4.6 0
75 "Maryland" 13 21.8 15.7 25.8 60.9 183.1 1.2 34.6 130.2 3.8 1.1 60.4 313.3 5.2 8.4 7.4 1.2 16.9 4.3 37.2 0.8 0.9 1.8 2006 50 21.8 16.5 28.2 58.7 197.7 1.1 35.5 162.9 4.6 1.2 63.6 360.6 5.7 9.2 7.9 1.1 18.2 5.8 45.9 0.7 0.6 1.3 53 2.5 2.5 100 1.5 1.9 80 7.1 4.3 184.6 42.9 3.6 80.8 22.3 0.1 2.2 18.3 8.5 0
76 "New Mexico" 13 21.8 15.7 30 52.3 205.8 1.4 33.3 111.1 3.3 0.8 63.3 316.9 5 9.5 6.5 0.9 16.8 5 41.8 1.1 0.7 1.8 2006 68 24 19.7 32.8 60 237.4 2.2 34 118.1 3.5 0.8 66.8 355.5 5.3 10.8 6.9 1 18.8 4.4 33.8 0.8 1.1 1.9 68 2.4 2.4 100 1.5 1.8 82.6 6.8 5.5 216.5 39.6 3.5 71 20.5 0 2.2 13.8 6.4 0
77 "Washington" 12 21.8 14.9 31.1 48 193.8 1.6 33.5 127.9 3.8 1 64.6 321.8 5 8 6.8 1 15.8 5 42.3 0.5 1.3 1.8 2006 85 25.9 19.8 32.3 61.3 240.2 1.3 34.9 139.6 4 1.3 67.3 379.8 5.6 10.9 7.5 0.6 19 6.4 49 0.3 0.8 1.2 114 2.7 2.7 100 0.8 1 83.3 5.2 6.2 260 42.2 3.4 66 19.3 0 3.1 20.2 6.5 0.1
78 "Wake Forest" 14 21.6 13.4 20.5 65.5 157.1 0.8 38.7 149.9 3.9 1.4 59.2 307 5.2 6.8 8.6 1.1 16.5 4.8 44.2 0.9 0.4 1.3 2006 12 15.4 18.2 31.9 57.2 216.7 0.9 33.9 105.8 3.1 0.8 65.8 322.5 4.9 10.7 6.4 1.4 18.5 5.7 41.6 0.6 1.6 2.2 113 2.4 2.4 100 1.6 2.2 74.2 7.3 5 206.2 41.2 2.5 50.1 20 0 2.4 26.1 11.1 0.1
79 "East Carolina" 13 21.5 19.1 33.1 57.7 232.6 1 34.6 115.5 3.3 1.2 67.7 348.2 5.1 10.7 8 1.6 20.3 4.5 39.3 0.9 0.8 1.8 2006 46 20.8 17.1 28.9 59 184.2 1.3 36.6 145.2 4 1.3 65.5 329.3 5 9 8.6 1 18.6 4.4 38 0.8 1.2 2.1 27 2.4 2.4 100 1.3 2.2 60.7 6.3 4 171.2 42.8 2.8 54.5 19.7 0.1 1.4 12.5 9 0
80 "Wyoming" 12 21.5 17.5 28.8 60.7 179 1.4 36.8 132.3 3.6 1 65.6 311.3 4.7 8.8 8.1 1.5 18.3 5.7 45.8 1 1.1 2.1 2006 53 22 13.8 26.6 52 156.3 0.8 33.7 106.6 3.2 1.3 60.3 262.9 4.4 5.9 6.8 1 13.7 6.5 52.2 0.8 0.9 1.8 119 2.5 2.7 93.8 1 1.7 60 5.5 5.3 219.5 41.8 3.1 56.6 18.4 0 2.3 20.3 9 0
81 "Connecticut" 12 21.4 13.4 26.1 51.4 141 1.2 40.5 182.9 4.5 1.5 66.6 323.9 4.9 7.1 8.5 1.1 16.7 5.4 42.6 0.8 1 1.8 2006 93 27 13.2 23.3 56.6 178.5 1.3 39.9 179.6 4.5 1.7 63.2 358.1 5.7 7.4 8.4 1.1 16.9 6.4 52.4 0.7 1 1.7 25 2.3 2.6 90.3 0.6 1.3 43.8 4.1 6.2 237.1 38.4 4 81.8 20.5 0 1.8 22 12 0.1
82 "Cincinnati" 13 21.1 15.9 26.5 60 206.8 1.3 39.5 133.6 3.4 0.8 66 340.5 5.2 9.3 7.1 0.8 17.2 6.8 58.1 0.9 1.3 2.2 2006 36 19.6 16.8 32.2 52.3 201.6 1.1 29.2 107.5 3.7 1 61.5 309.2 5 8.2 5.4 1.6 15.2 6.8 50.9 0.7 1.1 1.8 21 2.2 2.2 100 1.4 1.8 78.3 6.3 5.6 216.6 38.6 2.8 60.6 21.9 0 2.6 19.3 7.4 0
83 "Louisiana-Lafayette" 12 20.7 11.8 23 51.4 129.2 0.8 39.8 188.4 4.7 1.7 62.8 317.6 5.1 6.3 9.5 1 16.8 5.8 46.1 0.7 1.2 1.8 2006 73 24.7 16.7 27 61.7 204.2 1.3 32.6 126.9 3.9 1.7 59.6 331.1 5.6 8.7 6.7 1.2 16.5 5.8 50.4 0.8 0.5 1.3 49 2.3 2.4 93.1 0.9 1.2 78.6 5 4.6 175.9 38.4 3.6 67.1 18.7 0 1.5 11.2 7.4 0.1
84 "Nevada-Las Vegas" 12 19.8 20.2 36.8 54.9 227.3 1.3 28.8 89.5 3.1 0.9 65.5 316.8 4.8 10.5 5.3 1.8 17.6 6.1 57.1 1 1.4 2.4 2006 109 31.8 17.6 26.3 67 225.9 1.8 39.8 161.4 4.1 1.9 66 387.3 5.9 10 9.6 1.8 21.3 6.2 58.5 0.8 0.8 1.5 67 1.7 2 83.3 0.8 1.7 50 4.2 3.9 175.9 44.9 4.3 87.9 20.7 0 1.8 17.7 10.1 0.2
85 "Akron" 12 19.7 16.8 32 52.6 226.7 1.5 30.4 83.8 2.8 1.1 62.4 310.4 5 9 6.1 2.1 17.2 9.3 74 0.8 0.9 1.7 2006 59 22.6 15.5 28 55.4 186.2 1.1 40.4 136.3 3.4 1.5 68.4 322.4 4.7 8.9 7.2 1.8 17.9 7.7 66.1 1.2 0.6 1.8 2 1.8 2.3 78.6 0.5 1.2 42.9 3.3 5.4 198.8 36.7 3.4 72.7 21.3 0 1.4 4.9 3.5 0
86 "Ohio" 14 19.7 12.9 23.6 54.4 129 0.6 37.5 147.6 3.9 1.6 61.1 276.6 4.5 5.7 7.4 1.7 14.9 6.6 57.4 1 1.1 2.1 2006 23 18.1 15.5 29.6 52.3 172.3 1 32.5 130.6 4 1.1 62.1 302.9 4.9 7.6 6.6 2.1 16.3 5.7 48.8 0.9 0.9 1.8 76 2.1 2.3 90.6 0.9 1.3 72.2 4.9 5.6 219.6 39.4 2.5 51.9 20.7 0 2.6 34.6 13.1 0.1
87 "Illinois" 12 19.6 11.7 27.7 42.2 156.5 0.9 36.2 188.8 5.2 1.3 63.8 345.3 5.4 7 8.8 0.8 16.5 4.9 38.3 1.8 1.2 2.9 2006 92 26.8 15.5 27.9 55.5 182.3 0.9 38.5 127.9 3.3 1.6 66.4 310.2 4.7 8.8 7.6 1.1 17.4 4.5 34.5 0.8 0.8 1.7 39 2 2 100 1.3 1.6 78.9 5.8 5.6 194.8 34.9 3.4 66.8 19.5 0 1.9 9.7 5 0
88 "Miami (FL)" 13 19.6 16.4 27.7 59.2 197.5 1.2 33.2 116 3.5 1.1 60.8 313.5 5.2 8 6.8 1.1 15.9 6.8 61.9 0.7 1.2 1.8 2006 13 15.5 14.8 27.8 53.3 187.7 0.7 30.1 67.8 2.3 0.9 57.9 255.5 4.4 7.7 4.6 1.9 14.2 5.1 39 0.7 0.9 1.6 55 2.4 2.4 100 0.9 1.5 63.2 5.2 5.2 213.9 40.9 2.4 47.5 19.9 0 3 21.6 7.2 0
89 "Bowling Green State" 12 19.5 16.3 28.9 56.2 169.1 1 42.1 176.7 4.2 1.6 71 345.8 4.9 8 9.8 1.2 18.9 5.5 48.2 0.6 0.9 1.5 2006 97 28.3 15.7 24.5 63.9 174.3 1.3 35 144.3 4.1 1.9 59.5 318.5 5.4 7.6 8.2 1 16.8 6.2 53.9 0.6 1 1.6 15 2.3 2.6 90.3 0.3 0.8 44.4 3.3 5 165.6 33.1 3.8 67.3 17.6 0 1.5 11 7.3 0
