"off.rank" "school" "games" "off.points" "off.pass.cmp" "off.pass.att" "off.pass.pct" "off.pass.yds" "off.pass.td" "off.rush.att" "off.rush.yds" "off.rush.avg" "off.rush.td" "off.toff.plays" "off.toff.yds" "off.toff.avg" "off.fd.pass" "off.fd.rush" "off.fd.pen" "off.fd.tot" "off.pen.num" "off.pen.yds" "off.turn.fum" "off.turn.int" "off.turn.tot" "year" "def.rank" "def.points" "def.pass.cmp" "def.pass.att" "def.pass.pct" "def.pass.yds" "def.pass.td" "def.rush.att" "def.rush.yds" "def.rush.avg" "def.rush.td" "def.toff.plays" "def.toff.yds" "def.toff.avg" "def.fd.pass" "def.fd.rush" "def.fd.pen" "def.fd.tot" "def.pen.num" "def.pen.yds" "def.turn.fum" "def.turn.int" "def.turn.tot" "spec.rank" "kick.xpm" "kick.xpa" "kick.xpp" "kick.fgm" "kick.fga" "kick.fgp" "kick.pts" "punt.num" "punt.yds" "punt.avg" "kr.num" "kr.yds" "kr.avg" "kr.td" "pr.num" "pr.yds" "pr.avg" "pr.td"
28 "Notre Dame" 11 31.3 9.7 18.2 53.5 132.2 1.5 48.9 213.5 4.4 2.2 67.1 345.7 5.2 5.1 11.3 1 17.4 6.4 56.8 0.4 0.4 0.7 2000 36 20.5 14.2 28.2 50.3 206.2 1.4 39.9 147.6 3.7 1.3 68.1 353.8 5.2 8.6 8.6 1.4 18.6 6.2 47.3 0.8 1.2 2 73 4 4.1 97.8 0.7 1.3 57.1 6.2 5.8 237.8 40.9 3.3 81.5 24.9 0.1 2.9 44 15.1 0.2
29 "Ohio" 11 31.2 5.7 12.2 47 95.1 0.9 58.7 323 5.5 2.9 70.9 418.1 5.9 4.3 16.8 1.3 22.4 5.9 48.7 0.9 0.7 1.6 2000 21 18.9 16.3 30.3 53.8 219.9 1.1 35 129.4 3.7 1.2 65.3 349.3 5.4 9.3 7.3 1.3 17.8 4.7 41.9 0.8 1.2 2 74 3.5 3.8 92.9 1.1 1.6 66.7 6.8 4.4 191.7 43.9 3 58.4 19.5 0 3.5 41.3 11.9 0
30 "San Jose State" 12 31.2 15.8 31.4 50.1 228.3 1.3 35.8 189.1 5.3 2.4 67.2 417.3 6.2 9.6 8.4 1.5 19.5 8.3 65.3 0.7 1.1 1.8 2000 82 29.2 17.5 34 51.5 253 1.8 46.5 217.6 4.7 2 80.5 470.6 5.8 11.3 11.8 1.8 25 7.2 56.2 1 1.3 2.3 86 3.1 3.7 84.1 0.4 0.9 45.5 4.3 5 189.8 38 4.2 83.9 20.1 0 2.1 16.3 7.8 0.1
31 "Colorado State" 11 31 19.1 32.4 59 247 2 36.2 137.3 3.8 1.6 68.5 384.3 5.6 11.4 7.7 1.5 20.5 3.9 32.4 1 1.2 2.2 2000 20 18.9 15.5 28.3 54.7 181.6 1.1 39.1 146.5 3.7 1 67.4 328.1 4.9 8.5 8.1 0.6 17.3 5.5 45.7 1 1.2 2.2 24 3.5 3.9 90.7 0.9 1.5 58.8 6.3 4.7 185 39.1 3.2 70.7 22.2 0.1 3.7 58.6 15.7 0.1
32 "North Carolina State" 11 31 22 41.4 53.2 292.5 2.5 31.9 103.8 3.3 1.2 73.3 396.4 5.4 11.8 6.9 2.1 20.8 8.8 75.9 0.8 1 1.8 2000 79 28 16 28.9 55.3 184.5 1.3 46.3 191 4.1 2.2 75.2 375.5 5 7.9 10.4 2.5 20.7 8.7 68.4 1.3 0.9 2.2 69 3.5 3.6 95 1.2 1.6 72.2 7 5.5 202.1 37.1 3.3 75.1 22.9 0 1.7 23.3 13.5 0.1
33 "Indiana" 11 30.6 12.8 27.1 47.3 172.7 1 45.9 266.4 5.8 3.1 73 439.1 6 7.5 13.5 2.4 23.4 6.5 55.6 1.4 1.4 2.7 2000 114 38.8 21.8 33.7 64.7 270.9 2.3 39.3 186.4 4.7 2.2 73 457.3 6.3 11.8 11.2 1.5 24.5 7.8 63.5 0.9 0.4 1.3 38 3.5 3.5 97.4 0.8 1.1 75 5.9 3.7 123 33 5.6 110.5 19.6 0 1.3 10.5 8.3 0
34 "Akron" 11 30.3 13.3 26.2 50.7 210.5 1.5 44.5 206.6 4.6 1.9 70.7 417.2 5.9 8.4 11.1 1.6 21.1 7.3 70.4 0.7 1 1.7 2000 73 26.8 15.5 30.6 50.7 206.3 0.8 43.6 196.8 4.5 2.5 74.3 403.1 5.4 8.5 11.6 2.6 22.7 6 46.5 1.3 1.1 2.4 2 3.5 3.7 92.7 1 1.5 68.8 6.5 4.7 187.6 39.7 3.8 73.3 19.2 0 2 15.1 7.5 0
35 "Central Florida" 11 30.3 22.6 37.7 60 295.2 2.5 28.1 78.7 2.8 1.2 65.8 373.9 5.7 12.8 5.9 1.5 20.3 8.8 72.5 1.2 1.6 2.8 2000 33 20.1 16.1 29.8 54 192.9 1 41.8 130.9 3.1 1.4 71.6 323.8 4.5 8.2 9.4 2.5 20 6.9 61.3 1.2 1.4 2.5 19 3.5 3.6 97.5 1.3 1.6 77.8 7.4 4.4 171 39.2 3 46.2 15.4 0 2.7 28.3 10.4 0.1
36 "UCLA" 11 30.3 17.8 33 54 264 2.1 38.6 98.7 2.6 1.6 71.6 362.7 5.1 10.8 6.4 2.2 19.4 7 62.2 1 1 2 2000 88 31.5 16.8 33.3 50.5 225.7 2 42.2 186 4.4 1.7 75.5 411.7 5.5 9.1 9.3 2.5 20.8 7 65.5 1.5 1.1 2.6 104 3.8 4 95.5 0.8 1.1 75 6.3 6.7 289.5 43 3.9 77 19.7 0 1.7 10.9 6.3 0
37 "East Carolina" 11 30 15.5 30.7 50.3 224.8 1.9 40.5 161.5 4 1.5 71.3 386.3 5.4 9.1 9.4 1.3 19.7 5.1 49 0.5 1.1 1.5 2000 37 20.8 15.3 29 52.7 203.5 1 42.6 142.4 3.3 1.3 71.6 345.9 4.8 8.7 8.5 1.1 18.3 7 58.4 0.8 1.1 1.9 27 3.8 3.9 97.7 0.9 1.5 58.8 6.5 5.5 199.8 36.6 3.5 68.6 19.9 0 2.9 43 14.8 0.2
38 "Tulane" 11 29.9 26.2 46 56.9 324.5 2.5 35.5 129.1 3.6 0.9 81.5 453.5 5.6 15.1 7.5 2.2 24.8 9.2 86.7 0.7 1.5 2.2 2000 87 31.5 20.6 38.4 53.8 256.2 1.6 39.2 180.5 4.6 2.1 77.5 436.7 5.6 11.2 9.1 2 22.3 9.7 81.1 1 1 2 102 3.4 3.5 94.9 1.5 1.9 76.2 7.7 5.4 237.2 44.2 4.4 89.3 20.5 0 3.5 29 8.4 0
39 "Western Michigan" 12 29.9 18.5 31.8 58.1 232.1 1.4 41 168.5 4.1 2.3 72.8 400.6 5.5 11.4 8.8 1.3 21.5 5.7 49.6 0.8 1 1.8 2000 4 11.6 14.9 28.8 51.9 178 0.8 38.2 105.3 2.8 0.3 66.9 283.3 4.2 7.9 6.5 1.1 15.5 5.7 45.4 0.8 0.8 1.5 114 3.9 4 97.9 0.7 1 66.7 5.9 4 147.1 36.8 1.7 33.9 20.4 0 3.1 47.3 15.3 0.2
40 "Ohio State" 11 29.5 14.4 27.7 51.8 208.4 1.3 43.4 161.9 3.7 1.6 71.1 370.3 5.2 9.1 8.5 1.1 18.7 8.1 74.3 0.5 1.1 1.6 2000 13 18 19.5 35.8 54.3 227.7 1.3 36 91.6 2.5 0.9 71.8 319.4 4.4 9.5 6.5 2.4 18.4 6.2 51.5 0.9 1.6 2.5 75 3 3.3 91.7 1.7 2.1 82.6 8.2 5.1 196 38.5 3 73.9 24.6 0 3.4 42.5 12.6 0.1
