"Years" "conference" "offName" "school" "Division" "offName"
1933 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1934 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1935 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1936 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1937 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1938 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1939 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1940 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1941 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1942 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1943 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1944 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1945 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1946 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1947 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1948 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1949 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1950 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1951 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1952 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1953 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1954 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1955 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1956 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1957 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1958 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1959 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1960 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1961 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1962 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1963 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1964 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1965 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1966 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1967 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1968 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1969 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
