"Years" "conference" "offName" "school" "Division" "offName"
2008 "Southeastern Conference" "University of Georgia" "Georgia" "NCAA Division I-A" "University of Georgia"
2009 "Southeastern Conference" "University of Georgia" "Georgia" "NCAA Division I-A" "University of Georgia"
2010 "Southeastern Conference" "University of Georgia" "Georgia" "NCAA Division I-A" "University of Georgia"
2011 "Southeastern Conference" "University of Georgia" "Georgia" "NCAA Division I-A" "University of Georgia"
2012 "Southeastern Conference" "University of Georgia" "Georgia" "NCAA Division I-A" "University of Georgia"
1892 "Independent" "Georgia Institute of Technology" "Georgia Tech" NA NA
1893 "Independent" "Georgia Institute of Technology" "Georgia Tech" NA NA
1894 "Independent" "Georgia Institute of Technology" "Georgia Tech" NA NA
1895 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1896 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1897 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1898 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1899 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1900 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1901 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1902 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1903 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1904 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1905 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1906 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1907 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1908 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1909 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1910 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1911 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1912 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1913 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1914 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1915 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1916 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1917 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1918 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1919 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1920 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1921 "Southern Intercollegiate Athletic Association" "Georgia Institute of Technology" "Georgia Tech" NA NA
1922 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1923 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1924 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1925 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1926 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1927 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1928 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1929 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1930 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1931 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1932 "Southern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1933 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1934 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1935 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1936 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" NA NA
1937 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1938 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1939 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1940 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1941 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1942 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1943 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1944 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1945 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1946 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1947 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1948 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1949 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1950 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1951 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1952 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1953 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1954 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1955 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1956 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1957 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1958 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1959 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1960 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1961 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1962 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1963 "Southeastern Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1964 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1965 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1966 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1967 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1968 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1969 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1970 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1971 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1972 "Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA University Division (Major College)" "Georgia Institute of Technology"
1973 "Division I Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I" "Georgia Institute of Technology"
1974 "Division I Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I" "Georgia Institute of Technology"
1975 "Division I Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I" "Georgia Institute of Technology"
1976 "Division I Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I" "Georgia Institute of Technology"
1977 "Division I Independent" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I" "Georgia Institute of Technology"
1978 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1979 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1980 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1981 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1982 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1983 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1984 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1985 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1986 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1987 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1988 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1989 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1990 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1991 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1992 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1993 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1994 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1995 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1996 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1997 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1998 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1999 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2000 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2001 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2002 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2003 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2004 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2005 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2006 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2007 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2008 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2009 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2010 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2011 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
2012 "Atlantic Coast Conference" "Georgia Institute of Technology" "Georgia Tech" "NCAA Division I-A" "Georgia Institute of Technology"
1909 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1910 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1911 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1912 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1913 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1914 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1915 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1916 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1917 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1918 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1919 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1920 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1921 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1922 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1923 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1924 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1925 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1926 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1927 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1928 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1929 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1930 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1931 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1932 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1933 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1934 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1935 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1936 "Independent" "University of Hawaii at Manoa" "Hawaii" NA NA
1937 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1938 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1939 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1940 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1941 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1942 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1943 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1944 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1945 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1946 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1947 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1948 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1949 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1950 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1951 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1952 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1953 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1954 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1955 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1956 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1957 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1958 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1959 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1960 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1961 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1962 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1963 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1964 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1965 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1966 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1967 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1968 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1969 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1970 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1971 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1972 "Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA College Division (Small College)" "University of Hawaii at Manoa"
1973 "Division I Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA Division II" "University of Hawaii at Manoa"
1974 "Division I Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I" "University of Hawaii at Manoa"
1975 "Division I Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I" "University of Hawaii at Manoa"
1976 "Division I Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I" "University of Hawaii at Manoa"
1977 "Division I Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I" "University of Hawaii at Manoa"
1978 "Division I-A Independent" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1979 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1980 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1981 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1982 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1983 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1984 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1985 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1986 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1987 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1988 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1989 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1990 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1991 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1992 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1993 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1994 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1995 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1996 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1997 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1998 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1999 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2000 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2001 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2002 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2003 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2004 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2005 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2006 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2007 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2008 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2009 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2010 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2011 "Western Athletic Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
2012 "Mountain West Conference" "University of Hawaii at Manoa" "Hawaii" "NCAA Division I-A" "University of Hawaii at Manoa"
1946 "Lone Star Conference" "University of Houston" "Houston (TX)" "NCAA College Division (Small College)" "University of Houston"
1947 "Lone Star Conference" "University of Houston" "Houston (TX)" "NCAA College Division (Small College)" "University of Houston"
1948 "Lone Star Conference" "University of Houston" "Houston (TX)" "NCAA College Division (Small College)" "University of Houston"
1949 "Gulf Coast Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1950 "Gulf Coast Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1951 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1952 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1953 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1954 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1955 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1956 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1957 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1958 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1959 "Missouri Valley Conference" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1960 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1961 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1962 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1963 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1964 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1965 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1966 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1967 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1968 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1969 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1970 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1971 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1972 "Independent" "University of Houston" "Houston (TX)" "NCAA University Division (Major College)" "University of Houston"
1973 "Division I Independent" "University of Houston" "Houston (TX)" "NCAA Division I" "University of Houston"
1974 "Division I Independent" "University of Houston" "Houston (TX)" "NCAA Division I" "University of Houston"
1975 "Division I Independent" "University of Houston" "Houston (TX)" "NCAA Division I" "University of Houston"
1976 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I" "University of Houston"
1977 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I" "University of Houston"
