"Year" "Record" "APRank" "CoachRank" "NCAARank" "SportsNetworkRank" "USA/ESPNRank" "school"
"1969" "8-3-0" "16" "" NA NA NA "Colorado"
"1970" "6-5-0" "" "16" NA NA NA "Colorado"
"1971" "10-2-0" "3" "7" NA NA NA "Colorado"
"1972" "8-4-0" "16" "14" NA NA NA "Colorado"
"1975" "9-3-0" "16" "" NA NA NA "Colorado"
"1976" "8-4-0" "16" "16" NA NA NA "Colorado"
"1989" "11-1-0" "4" "4" NA NA NA "Colorado"
"1990" "11-1-1" "1" "2" NA NA NA "Colorado"
"1991" "8-3-1" "20" "20" NA NA NA "Colorado"
"1992" "9-2-1" "13" "13" NA NA NA "Colorado"
"1993" "8-3-1" "16" "16" NA NA NA "Colorado"
"1994" "11-1-0" "3" "3" NA NA NA "Colorado"
"1995" "10-2-0" "5" "4" NA NA NA "Colorado"
"1996" "10-2-0" "8" "8" NA NA NA "Colorado"
"2001" "10-3-0" "9" "9" NA NA NA "Colorado"
"2002" "9-5-0" "20" "21" NA NA NA "Colorado"
"1994" "10-2-0" "16" "14" NA NA NA "Colorado St."
"1997" "11-2-0" "17" "16" NA NA NA "Colorado St."
"2000" "10-2-0" "14" "15" NA NA NA "Colorado St."
"1980" "7-3-0" NA NA "10" "" "" "Connecticut"
"1986" "8-3-0" NA NA "19" "" "" "Connecticut"
"1988" "7-4-0" NA NA "17" "" "" "Connecticut"
"1989" "8-3-0" NA NA "18" "" "" "Connecticut"
"1995" "8-3-0" NA NA "" "23" "" "Connecticut"
"1998" "10-3-0" NA NA "" "8" "7" "Connecticut"
"1936" "9-1-0" "11" "" NA NA NA "Duke (NC)"
"1937" "7-2-1" "20" "" NA NA NA "Duke (NC)"
"1938" "9-1-0" "3" "" NA NA NA "Duke (NC)"
"1939" "8-1-0" "8" "" NA NA NA "Duke (NC)"
"1940" "7-2-0" "18" "" NA NA NA "Duke (NC)"
"1941" "9-1-0" "2" "" NA NA NA "Duke (NC)"
"1943" "8-1-0" "7" "" NA NA NA "Duke (NC)"
"1944" "6-4-0" "11" "" NA NA NA "Duke (NC)"
"1945" "6-2-0" "13" "" NA NA NA "Duke (NC)"
"1947" "4-3-2" "19" "" NA NA NA "Duke (NC)"
"1952" "8-2-0" "16" "18" NA NA NA "Duke (NC)"
"1953" "7-2-1" "18" "18" NA NA NA "Duke (NC)"
"1954" "8-2-1" "14" "14" NA NA NA "Duke (NC)"
