"Year" "Record" "APRank" "CoachRank" "NCAARank" "SportsNetworkRank" "USA/ESPNRank" "school"
"2010" "0-1-0" "5" "5" NA NA NA "Ohio St."
"1938" "10-1-0" "4" "" NA NA NA "Oklahoma"
"1939" "6-2-1" "19" "" NA NA NA "Oklahoma"
"1946" "8-3-0" "14" "" NA NA NA "Oklahoma"
"1947" "7-2-1" "16" "" NA NA NA "Oklahoma"
"1948" "10-1-0" "5" "" NA NA NA "Oklahoma"
"1949" "11-0-0" "2" "" NA NA NA "Oklahoma"
"1950" "10-1-0" "1" "1" NA NA NA "Oklahoma"
"1951" "8-2-0" "10" "11" NA NA NA "Oklahoma"
"1952" "8-1-1" "4" "4" NA NA NA "Oklahoma"
"1953" "9-1-1" "4" "5" NA NA NA "Oklahoma"
"1954" "10-0-0" "3" "3" NA NA NA "Oklahoma"
"1955" "11-0-0" "1" "1" NA NA NA "Oklahoma"
"1956" "10-0-0" "1" "1" NA NA NA "Oklahoma"
"1957" "10-1-0" "4" "4" NA NA NA "Oklahoma"
"1958" "10-1-0" "5" "5" NA NA NA "Oklahoma"
"1959" "7-3-0" "15" "17" NA NA NA "Oklahoma"
"1962" "8-3-0" "8" "7" NA NA NA "Oklahoma"
"1963" "8-2-0" "9" "8" NA NA NA "Oklahoma"
"1967" "10-1-0" "3" "3" NA NA NA "Oklahoma"
"1968" "7-4-0" "11" "10" NA NA NA "Oklahoma"
"1970" "7-4-1" "20" "15" NA NA NA "Oklahoma"
"1971" "11-1-0" "2" "3" NA NA NA "Oklahoma"
"1972" "8-4-0" "2" "2" NA NA NA "Oklahoma"
"1973" "10-0-1" "3" "2" NA NA NA "Oklahoma"
"1974" "11-0-0" "1" "" NA NA NA "Oklahoma"
"1975" "11-1-0" "1" "1" NA NA NA "Oklahoma"
"1976" "9-2-1" "5" "6" NA NA NA "Oklahoma"
"1977" "10-2-0" "7" "6" NA NA NA "Oklahoma"
"1978" "11-1-0" "3" "3" NA NA NA "Oklahoma"
"1979" "11-1-0" "3" "3" NA NA NA "Oklahoma"
"1980" "10-2-0" "3" "3" NA NA NA "Oklahoma"
"1981" "7-4-1" "20" "14" NA NA NA "Oklahoma"
"1982" "8-4-0" "16" "16" NA NA NA "Oklahoma"
"1984" "9-2-1" "6" "6" NA NA NA "Oklahoma"
"1985" "11-1-0" "1" "1" NA NA NA "Oklahoma"
"1986" "11-1-0" "3" "3" NA NA NA "Oklahoma"
"1987" "11-1-0" "3" "3" NA NA NA "Oklahoma"
"1988" "9-3-0" "14" "14" NA NA NA "Oklahoma"
"1990" "8-3-0" "17" "" NA NA NA "Oklahoma"
"1991" "9-3-0" "16" "14" NA NA NA "Oklahoma"
"1993" "9-3-0" "17" "14" NA NA NA "Oklahoma"
"2000" "13-0-0" "1" "1" NA NA NA "Oklahoma"
"2001" "11-2-0" "6" "6" NA NA NA "Oklahoma"
"2002" "12-2-0" "5" "5" NA NA NA "Oklahoma"
"2003" "12-2-0" "3" "3" NA NA NA "Oklahoma"
"2004" "12-1-0" "3" "3" NA NA NA "Oklahoma"
"2005" "8-4-0" "22" "22" NA NA NA "Oklahoma"
"2006" "11-3-0" "11" "11" NA NA NA "Oklahoma"
"2007" "11-3-0" "8" "8" NA NA NA "Oklahoma"
"2008" "12-2-0" "5" "5" NA NA NA "Oklahoma"
"2010" "12-2-0" "6" "6" NA NA NA "Oklahoma"
"2011" "10-3-0" "16" "15" NA NA NA "Oklahoma"
"1945" "9-0-0" "5" "" NA NA NA "Oklahoma St."
"1958" "8-3-0" "19" "" NA NA NA "Oklahoma St."
"1976" "9-3-0" "14" "14" NA NA NA "Oklahoma St."
"1983" "8-4-0" "" "18" NA NA NA "Oklahoma St."
"1984" "10-2-0" "7" "5" NA NA NA "Oklahoma St."
"1987" "10-2-0" "11" "12" NA NA NA "Oklahoma St."
"1988" "10-2-0" "11" "11" NA NA NA "Oklahoma St."
"1997" "8-4-0" "24" "24" NA NA NA "Oklahoma St."
"2008" "9-4-0" "16" "18" NA NA NA "Oklahoma St."
"2009" "9-4-0" "" "25" NA NA NA "Oklahoma St."
"2010" "11-2-0" "13" "10" NA NA NA "Oklahoma St."
"2011" "12-1-0" "3" "3" NA NA NA "Oklahoma St."
"1948" "9-2-0" "9" "" NA NA NA "Oregon"
"1957" "7-4-0" "" "17" NA NA NA "Oregon"
"1994" "9-4-0" "11" "11" NA NA NA "Oregon"
"1995" "9-3-0" "18" "18" NA NA NA "Oregon"
"1999" "9-3-0" "19" "18" NA NA NA "Oregon"
"2000" "10-2-0" "7" "9" NA NA NA "Oregon"
"2001" "11-1-0" "2" "2" NA NA NA "Oregon"
"2005" "10-2-0" "13" "12" NA NA NA "Oregon"
"2007" "9-4-0" "23" "24" NA NA NA "Oregon"
"2008" "10-3-0" "10" "9" NA NA NA "Oregon"
"2009" "10-3-0" "11" "11" NA NA NA "Oregon"
"2010" "12-1-0" "3" "3" NA NA NA "Oregon"
"2011" "12-2-0" "4" "4" NA NA NA "Oregon"
"1941" "8-2-0" "12" "" NA NA NA "Oregon St."
"1956" "7-3-1" "10" "13" NA NA NA "Oregon St."
"1962" "9-2-0" "" "16" NA NA NA "Oregon St."
"1964" "8-3-0" "8" "8" NA NA NA "Oregon St."
"1966" "7-3-0" "" "19" NA NA NA "Oregon St."
"1967" "7-2-1" "7" "8" NA NA NA "Oregon St."
"1968" "7-3-0" "15" "13" NA NA NA "Oregon St."
"2000" "11-1-0" "4" "5" NA NA NA "Oregon St."
"2006" "10-4-0" "21" "22" NA NA NA "Oregon St."
"2007" "9-4-0" "25" "" NA NA NA "Oregon St."
"2008" "9-4-0" "18" "19" NA NA NA "Oregon St."
"1942" "6-1-1" "19" "" NA NA NA "Penn St."
"1947" "9-0-1" "4" "" NA NA NA "Penn St."
"1948" "7-1-1" "18" "" NA NA NA "Penn St."
"1954" "7-2-0" "20" "16" NA NA NA "Penn St."
"1959" "9-2-0" "12" "10" NA NA NA "Penn St."
"1960" "7-3-0" "16" "" NA NA NA "Penn St."
"1961" "8-3-0" "17" "19" NA NA NA "Penn St."
"1962" "9-2-0" "9" "9" NA NA NA "Penn St."
"1963" "7-3-0" "" "16" NA NA NA "Penn St."
"1964" "6-4-0" "" "14" NA NA NA "Penn St."
"1967" "8-2-1" "10" "11" NA NA NA "Penn St."
"1968" "11-0-0" "2" "3" NA NA NA "Penn St."
"1969" "11-0-0" "2" "2" NA NA NA "Penn St."
"1970" "7-3-0" "18" "19" NA NA NA "Penn St."
"1971" "11-1-0" "5" "11" NA NA NA "Penn St."
"1972" "10-2-0" "10" "8" NA NA NA "Penn St."
"1973" "12-0-0" "5" "5" NA NA NA "Penn St."
"1974" "10-2-0" "7" "7" NA NA NA "Penn St."
"1975" "9-3-0" "10" "10" NA NA NA "Penn St."
"1977" "11-1-0" "5" "4" NA NA NA "Penn St."
"1978" "11-1-0" "4" "4" NA NA NA "Penn St."
"1979" "8-4-0" "20" "18" NA NA NA "Penn St."
"1980" "10-2-0" "8" "8" NA NA NA "Penn St."
"1981" "10-2-0" "3" "3" NA NA NA "Penn St."
"1982" "11-1-0" "1" "1" NA NA NA "Penn St."
"1983" "8-4-1" "" "17" NA NA NA "Penn St."
"1985" "11-1-0" "3" "3" NA NA NA "Penn St."
"1986" "12-0-0" "1" "1" NA NA NA "Penn St."
"1989" "8-3-1" "15" "14" NA NA NA "Penn St."
"1990" "9-3-0" "11" "10" NA NA NA "Penn St."
"1991" "11-2-0" "3" "3" NA NA NA "Penn St."
"1992" "7-5-0" "" "24" NA NA NA "Penn St."
"1993" "10-2-0" "8" "7" NA NA NA "Penn St."
"1994" "12-0-0" "2" "2" NA NA NA "Penn St."
"1995" "9-3-0" "13" "12" NA NA NA "Penn St."
"1996" "11-2-0" "7" "7" NA NA NA "Penn St."
"1997" "9-3-0" "16" "17" NA NA NA "Penn St."
"1998" "0-3-0" "17" "15" NA NA NA "Penn St."
"1999" "0-3-0" "11" "11" NA NA NA "Penn St."
"2002" "0-4-0" "16" "15" NA NA NA "Penn St."
"2005" "0-1-0" "3" "3" NA NA NA "Penn St."
"2006" "0-4-0" "24" "25" NA NA NA "Penn St."
"2007" "0-4-0" "" "25" NA NA NA "Penn St."
"2008" "0-2-0" "8" "8" NA NA NA "Penn St."
"2009" "0-2-0" "9" "8" NA NA NA "Penn St."
"1936" "8-1-1" "3" "" NA NA NA "Pittsburgh (PA)"
"1937" "9-0-1" "1" "" NA NA NA "Pittsburgh (PA)"
"1938" "8-2-0" "8" "" NA NA NA "Pittsburgh (PA)"
"1952" "6-3-0" "" "15" NA NA NA "Pittsburgh (PA)"
"1955" "7-4-0" "11" "11" NA NA NA "Pittsburgh (PA)"
"1956" "7-3-1" "13" "12" NA NA NA "Pittsburgh (PA)"
"1959" "6-4-0" "20" "19" NA NA NA "Pittsburgh (PA)"
"1963" "9-1-0" "4" "3" NA NA NA "Pittsburgh (PA)"
"1975" "8-4-0" "15" "13" NA NA NA "Pittsburgh (PA)"
"1976" "12-0-0" "1" "1" NA NA NA "Pittsburgh (PA)"
"1977" "9-2-1" "8" "7" NA NA NA "Pittsburgh (PA)"
"1979" "11-1-0" "7" "6" NA NA NA "Pittsburgh (PA)"
"1980" "11-1-0" "2" "2" NA NA NA "Pittsburgh (PA)"
"1981" "11-1-0" "4" "2" NA NA NA "Pittsburgh (PA)"
"1982" "9-3-0" "10" "9" NA NA NA "Pittsburgh (PA)"
"1983" "8-3-1" "18" "19" NA NA NA "Pittsburgh (PA)"
"1989" "8-3-1" "17" "19" NA NA NA "Pittsburgh (PA)"
"2002" "9-4-0" "19" "18" NA NA NA "Pittsburgh (PA)"
"2004" "8-4-0" "25" "" NA NA NA "Pittsburgh (PA)"
"2009" "10-3-0" "15" "15" NA NA NA "Pittsburgh (PA)"
"1943" "9-0-0" "5" "" NA NA NA "Purdue (IN)"
"1951" "5-4-0" "" "14" NA NA NA "Purdue (IN)"
"1952" "4-3-2" "18" "12" NA NA NA "Purdue (IN)"
"1958" "6-1-2" "13" "11" NA NA NA "Purdue (IN)"
"1960" "4-4-1" "19" "15" NA NA NA "Purdue (IN)"
"1961" "6-3-0" "12" "11" NA NA NA "Purdue (IN)"
"1965" "7-2-1" "" "13" NA NA NA "Purdue (IN)"
"1966" "9-2-0" "7" "6" NA NA NA "Purdue (IN)"
"1967" "8-2-0" "9" "9" NA NA NA "Purdue (IN)"
"1968" "8-2-0" "10" "11" NA NA NA "Purdue (IN)"
"1969" "8-2-0" "18" "18" NA NA NA "Purdue (IN)"
"1978" "9-2-1" "13" "13" NA NA NA "Purdue (IN)"
"1979" "10-2-0" "10" "10" NA NA NA "Purdue (IN)"
"1980" "9-3-0" "17" "16" NA NA NA "Purdue (IN)"
"1997" "9-3-0" "15" "15" NA NA NA "Purdue (IN)"
"1998" "9-4-0" "24" "23" NA NA NA "Purdue (IN)"
"1999" "7-5-0" "25" "" NA NA NA "Purdue (IN)"
"2000" "8-4-0" "13" "13" NA NA NA "Purdue (IN)"
"2003" "9-4-0" "18" "19" NA NA NA "Purdue (IN)"
"1937" "6-3-2" "18" "" NA NA NA "Rice (TX)"
"1946" "9-2-0" "10" "" NA NA NA "Rice (TX)"
"1947" "6-3-1" "18" "" NA NA NA "Rice (TX)"
"1949" "10-1-0" "5" "" NA NA NA "Rice (TX)"
"1953" "9-2-0" "6" "6" NA NA NA "Rice (TX)"
"1954" "7-3-0" "19" "19" NA NA NA "Rice (TX)"
"1957" "7-4-0" "8" "7" NA NA NA "Rice (TX)"
"1961" "7-4-0" "17" "" NA NA NA "Rice (TX)"
"1969" "11-0-0" "" "18" NA NA NA "San Diego St. (CA)"
"1972" "10-1-0" "" "20" NA NA NA "San Diego St. (CA)"
"1973" "9-1-1" "" "19" NA NA NA "San Diego St. (CA)"
"1977" "10-1-0" "16" "19" NA NA NA "San Diego St. (CA)"
"1990" "9-2-1" "" "20" NA NA NA "San Jose St. (CA)"
"1958" "7-3-0" "15" "" NA NA NA "South Carolina"
"1984" "10-2-0" "11" "13" NA NA NA "South Carolina"
"1987" "8-4-0" "15" "15" NA NA NA "South Carolina"
"2000" "8-4-0" "19" "21" NA NA NA "South Carolina"
"2001" "9-3-0" "13" "13" NA NA NA "South Carolina"
"2010" "9-5-0" "22" "22" NA NA NA "South Carolina"
"2011" "11-2-0" "9" "8" NA NA NA "South Carolina"
"1998" "8-3-0" NA NA "" "19" "17" "South Florida"
"1999" "7-4-0" NA NA "" "23" "23" "South Florida"
"1938" "9-2-0" "7" "" NA NA NA "Southern California"
"1939" "8-0-2" "3" "" NA NA NA "Southern California"
"1944" "8-0-2" "7" "" NA NA NA "Southern California"
"1945" "7-4-0" "11" "" NA NA NA "Southern California"
"1947" "7-2-1" "8" "" NA NA NA "Southern California"
"1952" "10-1-0" "5" "4" NA NA NA "Southern California"
"1954" "8-4-0" "17" "11" NA NA NA "Southern California"
"1955" "6-4-0" "13" "12" NA NA NA "Southern California"
"1956" "8-2-0" "18" "15" NA NA NA "Southern California"
"1959" "8-2-0" "14" "13" NA NA NA "Southern California"
"1962" "11-0-0" "1" "1" NA NA NA "Southern California"
"1963" "7-3-0" "" "16" NA NA NA "Southern California"
"1964" "7-3-0" "10" "10" NA NA NA "Southern California"
"1965" "7-2-1" "10" "9" NA NA NA "Southern California"
"1966" "7-4-0" "" "18" NA NA NA "Southern California"
"1967" "10-1-0" "1" "1" NA NA NA "Southern California"
"1968" "9-1-1" "4" "2" NA NA NA "Southern California"
"1969" "10-0-1" "3" "4" NA NA NA "Southern California"
"1970" "6-4-1" "15" "19" NA NA NA "Southern California"
"1971" "6-4-1" "20" "" NA NA NA "Southern California"
"1972" "12-0-0" "1" "1" NA NA NA "Southern California"
"1973" "9-2-1" "8" "7" NA NA NA "Southern California"
"1974" "10-1-1" "2" "1" NA NA NA "Southern California"
"1975" "8-4-0" "17" "19" NA NA NA "Southern California"
"1976" "11-1-0" "2" "2" NA NA NA "Southern California"
"1977" "8-4-0" "13" "12" NA NA NA "Southern California"
"1978" "12-1-0" "2" "1" NA NA NA "Southern California"
"1979" "11-0-1" "2" "2" NA NA NA "Southern California"
"1980" "8-2-1" "11" "12" NA NA NA "Southern California"
"1981" "9-3-0" "14" "13" NA NA NA "Southern California"
"1982" "8-3-0" "15" "" NA NA NA "Southern California"
"1984" "9-3-0" "10" "9" NA NA NA "Southern California"
"1987" "8-4-0" "18" "17" NA NA NA "Southern California"
"1988" "10-2-0" "7" "9" NA NA NA "Southern California"
"1989" "9-2-1" "8" "9" NA NA NA "Southern California"
"1990" "8-4-1" "20" "22" NA NA NA "Southern California"
"1993" "8-5-0" "" "25" NA NA NA "Southern California"
"1994" "8-3-1" "13" "15" NA NA NA "Southern California"
"1995" "9-2-1" "12" "11" NA NA NA "Southern California"
"2002" "11-2-0" "4" "4" NA NA NA "Southern California"
"2003" "12-1-0" "1" "2" NA NA NA "Southern California"
"2004" "11-0-0" "1" "1" NA NA NA "Southern California"
"2005" "0-1-0" "2" "2" NA NA NA "Southern California"
"2006" "11-2-0" "4" "4" NA NA NA "Southern California"
"2007" "11-2-0" "3" "2" NA NA NA "Southern California"
"2008" "12-1-0" "3" "2" NA NA NA "Southern California"
"2009" "9-4-0" "22" "20" NA NA NA "Southern California"
"2011" "10-2-0" "6" "" NA NA NA "Southern California"
"1940" "8-1-1" "16" "" NA NA NA "Southern Methodist (TX)"
"1947" "9-0-2" "3" "" NA NA NA "Southern Methodist (TX)"
"1948" "9-1-1" "10" "" NA NA NA "Southern Methodist (TX)"
"1954" "6-3-1" "" "17" NA NA NA "Southern Methodist (TX)"
"1958" "6-4-0" "18" "18" NA NA NA "Southern Methodist (TX)"
"1966" "8-3-0" "10" "9" NA NA NA "Southern Methodist (TX)"
"1968" "8-3-0" "14" "16" NA NA NA "Southern Methodist (TX)"
"1980" "8-4-0" "20" "20" NA NA NA "Southern Methodist (TX)"
"1981" "10-1-0" "5" "" NA NA NA "Southern Methodist (TX)"
"1982" "11-0-1" "2" "2" NA NA NA "Southern Methodist (TX)"
"1983" "10-2-0" "12" "11" NA NA NA "Southern Methodist (TX)"
"1984" "10-2-0" "8" "8" NA NA NA "Southern Methodist (TX)"
"1981" "9-2-1" "" "19" NA NA NA "Southern Mississippi"
"1997" "9-3-0" "19" "19" NA NA NA "Southern Mississippi"
"1999" "9-3-0" "14" "13" NA NA NA "Southern Mississippi"
"2011" "12-2-0" "20" "19" NA NA NA "Southern Mississippi"
"1940" "10-0-0" "2" "" NA NA NA "Stanford (CA)"
"1942" "6-4-0" "12" "" NA NA NA "Stanford (CA)"
"1951" "9-2-0" "7" "7" NA NA NA "Stanford (CA)"
"1953" "6-3-1" "19" "17" NA NA NA "Stanford (CA)"
"1955" "6-3-1" "16" "20" NA NA NA "Stanford (CA)"
"1968" "6-3-1" "" "20" NA NA NA "Stanford (CA)"
"1969" "7-2-1" "19" "14" NA NA NA "Stanford (CA)"
"1970" "9-3-0" "8" "10" NA NA NA "Stanford (CA)"
"1971" "9-3-0" "10" "16" NA NA NA "Stanford (CA)"
"1977" "9-3-0" "15" "15" NA NA NA "Stanford (CA)"
"1978" "8-4-0" "17" "16" NA NA NA "Stanford (CA)"
"1991" "8-4-0" "22" "22" NA NA NA "Stanford (CA)"
"1992" "10-3-0" "9" "9" NA NA NA "Stanford (CA)"
"1999" "8-4-0" "" "24" NA NA NA "Stanford (CA)"
"2001" "9-3-0" "16" "17" NA NA NA "Stanford (CA)"
"2010" "12-1-0" "4" "4" NA NA NA "Stanford (CA)"
"2011" "11-2-0" "7" "7" NA NA NA "Stanford (CA)"
"1952" "7-3-0" "14" "" NA NA NA "Syracuse (NY)"
"1956" "7-2-0" "8" "8" NA NA NA "Syracuse (NY)"
"1958" "8-2-0" "9" "10" NA NA NA "Syracuse (NY)"
"1959" "11-0-0" "1" "1" NA NA NA "Syracuse (NY)"
"1960" "7-2-0" "19" "" NA NA NA "Syracuse (NY)"
"1961" "8-3-0" "14" "16" NA NA NA "Syracuse (NY)"
"1963" "8-2-0" "" "12" NA NA NA "Syracuse (NY)"
"1964" "7-4-0" "" "12" NA NA NA "Syracuse (NY)"
"1965" "7-3-0" "" "19" NA NA NA "Syracuse (NY)"
"1966" "8-3-0" "" "16" NA NA NA "Syracuse (NY)"
"1967" "8-2-0" "" "12" NA NA NA "Syracuse (NY)"
"1987" "11-0-1" "4" "4" NA NA NA "Syracuse (NY)"
"1988" "10-2-0" "13" "12" NA NA NA "Syracuse (NY)"
"1990" "7-4-2" "" "21" NA NA NA "Syracuse (NY)"
"1991" "10-2-0" "11" "11" NA NA NA "Syracuse (NY)"
"1992" "10-2-0" "6" "7" NA NA NA "Syracuse (NY)"
"1995" "9-3-0" "19" "16" NA NA NA "Syracuse (NY)"
"1996" "9-3-0" "21" "19" NA NA NA "Syracuse (NY)"
"1997" "9-4-0" "21" "20" NA NA NA "Syracuse (NY)"
"1998" "8-4-0" "25" "24" NA NA NA "Syracuse (NY)"
"2001" "10-3-0" "14" "14" NA NA NA "Syracuse (NY)"
"1979" "10-2-0" "17" "17" NA NA NA "Temple (PA)"
"1936" "6-2-2" "17" "" NA NA NA "Tennessee"
"1938" "11-0-0" "2" "" NA NA NA "Tennessee"
"1939" "10-1-0" "2" "" NA NA NA "Tennessee"
"1940" "10-1-0" "4" "" NA NA NA "Tennessee"
"1941" "8-2-0" "18" "" NA NA NA "Tennessee"
"1942" "9-1-1" "7" "" NA NA NA "Tennessee"
"1944" "7-1-1" "12" "" NA NA NA "Tennessee"
"1945" "8-1-0" "14" "" NA NA NA "Tennessee"
"1946" "9-2-0" "7" "" NA NA NA "Tennessee"
"1949" "7-2-1" "17" "" NA NA NA "Tennessee"
"1950" "11-1-0" "4" "3" NA NA NA "Tennessee"
"1951" "10-1-0" "1" "1" NA NA NA "Tennessee"
"1952" "8-2-1" "8" "8" NA NA NA "Tennessee"
"1956" "10-1-0" "2" "2" NA NA NA "Tennessee"
"1957" "8-3-0" "13" "16" NA NA NA "Tennessee"
"1960" "6-2-2" "" "19" NA NA NA "Tennessee"
"1965" "8-1-2" "7" "7" NA NA NA "Tennessee"
"1966" "8-3-0" "" "14" NA NA NA "Tennessee"
"1967" "9-2-0" "2" "2" NA NA NA "Tennessee"
"1968" "8-2-1" "13" "7" NA NA NA "Tennessee"
"1969" "9-2-0" "15" "11" NA NA NA "Tennessee"
"1970" "11-1-0" "4" "4" NA NA NA "Tennessee"
"1971" "10-2-0" "9" "9" NA NA NA "Tennessee"
"1972" "10-2-0" "8" "11" NA NA NA "Tennessee"
"1973" "8-4-0" "19" "" NA NA NA "Tennessee"
"1974" "7-3-2" "20" "15" NA NA NA "Tennessee"
"1985" "9-1-2" "4" "4" NA NA NA "Tennessee"
"1987" "10-2-1" "14" "13" NA NA NA "Tennessee"
"1989" "11-1-0" "5" "5" NA NA NA "Tennessee"
"1990" "9-2-2" "8" "7" NA NA NA "Tennessee"
"1991" "9-3-0" "14" "15" NA NA NA "Tennessee"
"1992" "9-3-0" "12" "12" NA NA NA "Tennessee"
"1993" "10-2-0" "12" "11" NA NA NA "Tennessee"
"1994" "8-4-0" "22" "18" NA NA NA "Tennessee"
"1995" "11-1-0" "3" "2" NA NA NA "Tennessee"
"1996" "10-2-0" "9" "9" NA NA NA "Tennessee"
"1997" "11-2-0" "7" "8" NA NA NA "Tennessee"
"1998" "13-0-0" "1" "1" NA NA NA "Tennessee"
"1999" "9-3-0" "9" "9" NA NA NA "Tennessee"
"2000" "8-4-0" "" "25" NA NA NA "Tennessee"
"2001" "11-2-0" "4" "4" NA NA NA "Tennessee"
"2003" "10-3-0" "15" "16" NA NA NA "Tennessee"
"2004" "10-3-0" "13" "15" NA NA NA "Tennessee"
"2006" "9-4-0" "25" "23" NA NA NA "Tennessee"
"2007" "10-4-0" "12" "12" NA NA NA "Tennessee"
"1941" "8-1-1" "4" "" NA NA NA "Texas"
"1942" "9-2-0" "11" "" NA NA NA "Texas"
"1943" "7-1-1" "14" "" NA NA NA "Texas"
"1945" "10-1-0" "10" "" NA NA NA "Texas"
"1946" "8-2-0" "15" "" NA NA NA "Texas"
"1947" "10-1-0" "5" "" NA NA NA "Texas"
"1950" "9-2-0" "3" "2" NA NA NA "Texas"
"1952" "9-2-0" "10" "11" NA NA NA "Texas"
"1953" "7-3-0" "11" "8" NA NA NA "Texas"
"1957" "6-4-1" "11" "11" NA NA NA "Texas"
"1959" "9-2-0" "4" "4" NA NA NA "Texas"
"1960" "7-3-1" "" "17" NA NA NA "Texas"
"1961" "10-1-0" "3" "4" NA NA NA "Texas"
"1962" "9-1-1" "4" "4" NA NA NA "Texas"
"1963" "11-0-0" "1" "1" NA NA NA "Texas"
"1964" "10-1-0" "5" "5" NA NA NA "Texas"
"1968" "9-1-1" "3" "5" NA NA NA "Texas"
"1969" "11-0-0" "1" "1" NA NA NA "Texas"
"1970" "10-1-0" "3" "1" NA NA NA "Texas"
"1971" "8-3-0" "18" "12" NA NA NA "Texas"
"1972" "10-1-0" "3" "5" NA NA NA "Texas"
"1973" "8-3-0" "14" "8" NA NA NA "Texas"
"1974" "8-4-0" "17" "" NA NA NA "Texas"
"1975" "10-2-0" "6" "7" NA NA NA "Texas"
"1977" "11-1-0" "4" "5" NA NA NA "Texas"
"1978" "9-3-0" "9" "9" NA NA NA "Texas"
"1979" "9-3-0" "12" "13" NA NA NA "Texas"
"1981" "10-1-1" "2" "4" NA NA NA "Texas"
"1982" "9-3-0" "17" "18" NA NA NA "Texas"
"1983" "11-1-0" "5" "5" NA NA NA "Texas"
"1987" "7-5-0" "" "19" NA NA NA "Texas"
"1990" "10-2-0" "12" "11" NA NA NA "Texas"
"1994" "8-4-0" "25" "23" NA NA NA "Texas"
"1995" "10-2-1" "14" "14" NA NA NA "Texas"
"1996" "8-5-0" "23" "23" NA NA NA "Texas"
"1998" "9-3-0" "15" "16" NA NA NA "Texas"
"1999" "9-5-0" "21" "23" NA NA NA "Texas"
"2000" "9-3-0" "12" "12" NA NA NA "Texas"
"2001" "11-2-0" "5" "5" NA NA NA "Texas"
"2002" "11-2-0" "6" "7" NA NA NA "Texas"
"2003" "10-3-0" "12" "11" NA NA NA "Texas"
"2004" "11-1-0" "5" "4" NA NA NA "Texas"
"2005" "13-0-0" "1" "1" NA NA NA "Texas"
"2006" "10-3-0" "13" "13" NA NA NA "Texas"
"2007" "10-3-0" "10" "10" NA NA NA "Texas"
"2008" "12-1-0" "4" "3" NA NA NA "Texas"
"2009" "13-1-0" "2" "2" NA NA NA "Texas"
"1939" "11-0-0" "1" "" NA NA NA "Texas A&M"
"1940" "9-1-0" "6" "" NA NA NA "Texas A&M"
"1941" "9-2-0" "9" "" NA NA NA "Texas A&M"
"1955" "7-2-1" "17" "14" NA NA NA "Texas A&M"
"1956" "9-0-1" "5" "5" NA NA NA "Texas A&M"
"1957" "8-3-0" "9" "10" NA NA NA "Texas A&M"
"1974" "8-3-0" "16" "15" NA NA NA "Texas A&M"
"1975" "10-2-0" "11" "12" NA NA NA "Texas A&M"
"1976" "10-2-0" "7" "8" NA NA NA "Texas A&M"
"1978" "8-4-0" "19" "18" NA NA NA "Texas A&M"
"1985" "10-2-0" "6" "7" NA NA NA "Texas A&M"
"1986" "9-3-0" "13" "12" NA NA NA "Texas A&M"
"1987" "10-2-0" "10" "9" NA NA NA "Texas A&M"
"1989" "8-4-0" "20" "" NA NA NA "Texas A&M"
"1990" "9-3-1" "15" "13" NA NA NA "Texas A&M"
"1991" "10-2-0" "12" "13" NA NA NA "Texas A&M"
"1992" "12-1-0" "7" "6" NA NA NA "Texas A&M"
"1993" "10-2-0" "9" "8" NA NA NA "Texas A&M"
"1994" "10-0-1" "8" "" NA NA NA "Texas A&M"
"1995" "9-3-0" "15" "15" NA NA NA "Texas A&M"
"1997" "9-4-0" "20" "21" NA NA NA "Texas A&M"
"1998" "11-3-0" "11" "13" NA NA NA "Texas A&M"
"1999" "8-4-0" "23" "20" NA NA NA "Texas A&M"
"2010" "9-4-0" "19" "21" NA NA NA "Texas A&M"
"1936" "9-2-2" "16" "" NA NA NA "Texas Christian"
"1937" "4-4-2" "16" "" NA NA NA "Texas Christian"
"1938" "11-0-0" "1" "" NA NA NA "Texas Christian"
"1951" "6-5-0" "11" "10" NA NA NA "Texas Christian"
"1955" "9-2-0" "6" "6" NA NA NA "Texas Christian"
"1956" "8-3-0" "14" "14" NA NA NA "Texas Christian"
"1958" "8-2-1" "10" "9" NA NA NA "Texas Christian"
"1959" "8-3-0" "7" "8" NA NA NA "Texas Christian"
"2000" "10-2-0" "21" "18" NA NA NA "Texas Christian"
"2002" "10-2-0" "23" "22" NA NA NA "Texas Christian"
"2003" "11-2-0" "25" "24" NA NA NA "Texas Christian"
"2005" "11-1-0" "11" "9" NA NA NA "Texas Christian"
"2006" "11-2-0" "22" "21" NA NA NA "Texas Christian"
"2008" "11-2-0" "7" "7" NA NA NA "Texas Christian"
"2009" "12-1-0" "6" "6" NA NA NA "Texas Christian"
"2010" "13-0-0" "2" "2" NA NA NA "Texas Christian"
"2011" "11-2-0" "14" "13" NA NA NA "Texas Christian"
"2000" "7-4-0" NA NA "" "25" "" "Texas St."
"2005" "11-3-0" NA NA "" "4" "4" "Texas St."
"2008" "8-5-0" NA NA "" "22" "" "Texas St."
"2009" "7-4-0" NA NA "" "25" "" "Texas St."
"1938" "10-1-0" "11" "" NA NA NA "Texas Tech"
"1953" "11-1-0" "12" "12" NA NA NA "Texas Tech"
"1965" "8-3-0" "" "10" NA NA NA "Texas Tech"
"1973" "11-1-0" "11" "11" NA NA NA "Texas Tech"
"1976" "10-2-0" "13" "13" NA NA NA "Texas Tech"
"1989" "9-3-0" "19" "16" NA NA NA "Texas Tech"
