"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"L" "01-01-1953" 0 "Texas A&M-Commerce" 33 "Tangerine Bowl" 1 1 1 1953 "Tennessee Tech" "Tennessee Technological University"
"L" "12-30-1960" 0 "Citadel (SC)" 27 "Tangerine Bowl" 1 12 30 1960 "Tennessee Tech" "Tennessee Technological University"
"L" "12-10-1972" 0 "Louisiana Tech" 35 "Grantland Rice Bowl" 1 12 10 1972 "Tennessee Tech" "Tennessee Technological University"
"W" "12-09-1967" 25 "West Chester (PA)" 8 "Tangerine Bowl" 1 12 9 1967 "Tennessee-Martin" "University of Tennessee: Martin"
"W" "01-01-1948" 13 "Prairie View A&M (TX)" 0 "Prairie View Bowl" 1 1 1 1948 "Texas Southern" "Texas Southern University"
"W" "01-01-1953" 13 "Prairie View A&M (TX)" 12 "Prairie View Bowl" 1 1 1 1953 "Texas Southern" "Texas Southern University"
"L" "01-01-1954" 8 "Prairie View A&M (TX)" 33 "Prairie View Bowl" 1 1 1 1954 "Texas Southern" "Texas Southern University"
"L" "01-01-1955" 12 "Prairie View A&M (TX)" 14 "Prairie View Bowl" 1 1 1 1955 "Texas Southern" "Texas Southern University"
"L" "01-01-1957" 6 "Prairie View A&M (TX)" 27 "Prairie View Bowl" 1 1 1 1957 "Texas Southern" "Texas Southern University"
"T" "01-01-1958" 6 "Prairie View A&M (TX)" 6 "Prairie View Bowl" 1 1 1 1958 "Texas Southern" "Texas Southern University"
"L" "12-04-1976" 28 "Saint John's (MN)" 31 "Amos Alonzo Stagg Bowl - Division III Championship Game" 1 12 4 1976 "Towson (MD)" "Towson University"
"L" "01-01-1951" 14 "Wisconsin-La Crosse" 47 "Cigar Bowl (1)" 1 1 1 1951 "Valparaiso (IN)" "Valparaiso University"
"T" "01-01-1937" 7 "Auburn (AL)" 7 "Bacardi Bowl" 1 1 1 1937 "Villanova (PA)" "Villanova University"
"L" "12-06-1947" 14 "Kentucky" 24 "Great Lakes Bowl" 1 12 6 1947 "Villanova (PA)" "Villanova University"
"W" "01-01-1949" 27 "Nevada" 7 "Harbor Bowl" 1 1 1 1949 "Villanova (PA)" "Villanova University"
"W" "12-30-1961" 17 "Wichita St. (KS)" 9 "Sun Bowl" 1 12 30 1961 "Villanova (PA)" "Villanova University"
"L" "12-15-1962" 0 "Oregon St." 6 "Liberty Bowl" 1 12 15 1962 "Villanova (PA)" "Villanova University"
"W" "12-12-1987" 19 "Dayton (OH)" 3 "Amos Alonzo Stagg Bowl - Division III Championship Game" 1 12 12 1987 "Wagner (NY)" "Wagner College"
"W" "11-20-1993" 32 "Iona (NY)" 0 "Eastern College Athletic Conference Bowl" 1 11 20 1993 "Wagner (NY)" "Wagner College"
"L" "11-19-1994" 14 "Saint John's (NY)" 34 "Eastern College Athletic Conference Bowl" 1 11 19 1994 "Wagner (NY)" "Wagner College"
"L" "11-18-1995" 20 "Duquesne (PA)" 44 "Eastern College Athletic Conference Bowl" 1 11 18 1995 "Wagner (NY)" "Wagner College"
"L" "11-24-1949" 0 "West Liberty St. (WV)" 20 "Smoky Mountain Bowl" 1 11 24 1949 "Western Carolina (NC)" "Western Carolina University"
"W" "11-24-1949" 13 "Wheaton (IL)" 0 "Corn Bowl" 1 11 24 1949 "Western Illinois" "Western Illinois University"
"W" "11-26-1953" 32 "Iowa Wesleyan" 0 "Corn Bowl" 1 11 26 1953 "Western Illinois" "Western Illinois University"
"L" "11-24-1955" 20 "Luther (IA)" 24 "Corn Bowl" 1 11 24 1955 "Western Illinois" "Western Illinois University"
"L" "01-01-1948" 19 "Arkansas" 21 "Dixie Bowl" 0 1 1 1948 "William & Mary (VA)" "College of William and Mary"
"W" "01-01-1949" 20 "Oklahoma St." 0 "Delta Bowl" 0 1 1 1949 "William & Mary (VA)" "College of William and Mary"
"L" "12-28-1970" 12 "Toledo (OH)" 40 "Tangerine Bowl" 0 12 28 1970 "William & Mary (VA)" "College of William and Mary"
"W" "01-08-1989" 73 "Japan All-Stars" 3 "Epson Ivy Bowl - Yokohama Stadium" 1 1 8 1989 "William & Mary (VA)" "College of William and Mary"
"L" "01-02-1950" 6 "Florida St." 19 "Cigar Bowl (1)" 1 1 2 1950 "Wofford (SC)" "Wofford College"
"L" "12-12-1970" 7 "Texas A&M-Kingsville" 38 "Championship Bowl - NAIA Division I Championship Game" 1 12 12 1970 "Wofford (SC)" "Wofford College"
"W" "11-30-1974" 20 "South Carolina St." 0 "Textile Bowl" 1 11 30 1974 "Wofford (SC)" "Wofford College"
"L" "12-08-1979" 21 "Delaware" 38 "Zia Bowl - Division II Championship Game" 1 12 8 1979 "Youngstown St. (OH)" "Youngstown State University"
