"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"W" "12-09-1937" 25 "Hampton (VA)" 20 "Orange Blossom Classic" 1 12 9 1937 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "01-01-1938" 14 "Prairie View A&M (TX)" 27 "Prairie View Bowl" 1 1 1 1938 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-08-1938" 9 "Kentucky St." 7 "Orange Blossom Classic" 1 12 8 1938 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-02-1939" 42 "Wiley (TX)" 0 "Orange Blossom Classic" 1 12 2 1939 "Florida A&M" "Florida Agricultural and Mechanical University"
"T" "12-07-1940" 0 "Wilberforce (OH)" 0 "Orange Blossom Classic" 1 12 7 1940 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-06-1941" 15 "Tuskegee (AL)" 7 "Orange Blossom Classic" 1 12 6 1941 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-12-1942" 12 "Texas College" 6 "Orange Blossom Classic" 1 12 12 1942 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-04-1943" 0 "Hampton (VA)" 39 "Orange Blossom Classic" 1 12 4 1943 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-09-1944" 7 "Virginia St." 15 "Orange Blossom Classic" 1 12 9 1944 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-08-1945" 6 "Wiley (TX)" 32 "Orange Blossom Classic" 1 12 8 1945 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-07-1946" 14 "Lincoln (PA)" 20 "Orange Blossom Classic" 1 12 7 1946 "Florida A&M" "Florida Agricultural and Mechanical University"
"T" "12-28-1946" 6 "Wiley (TX)" 6 "Angel Bowl" 1 12 28 1946 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-06-1947" 7 "Hampton (VA)" 0 "Orange Blossom Classic" 1 12 6 1947 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-04-1948" 18 "Virginia Union" 38 "Orange Blossom Classic" 1 12 4 1948 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-10-1949" 14 "North Carolina A&T" 20 "Orange Blossom Classic" 1 12 10 1949 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-02-1950" 7 "Central St. (OH)" 13 "Orange Blossom Classic" 1 12 2 1950 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-01-1951" 67 "North Carolina Central" 0 "Orange Blossom Classic" 1 12 1 1951 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-06-1952" 29 "Virginia St." 7 "Orange Blossom Classic" 1 12 6 1952 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-05-1953" 27 "Prairie View A&M (TX)" 33 "Orange Blossom Classic" 1 12 5 1953 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-04-1954" 67 "Maryland-Eastern Shore" 19 "Orange Blossom Classic" 1 12 4 1954 "Florida A&M" "Florida Agricultural and Mechanical University"
