"Team","Year","oW","oL","cW","cL","stand","bowl","coachRank","apRank","sportsNetworkRank"
"Virginia Tech",2011,11,3,7,1,1,"L Sugar†",17,21,NA
"Virginia Tech",2012,7,6,4,4,4,"W Russell Athletic",NA,NA,NA
"Virginia Tech",2013,7,3,4,2,NA,"",NA,NA,NA
"Ohio",1995,2,8,1,6,9,"",NA,NA,NA
"Ohio",1996,6,6,5,3,4,"",NA,NA,NA
"Ohio",1997,8,3,6,2,2,"",NA,NA,NA
"Ohio",1998,5,6,5,3,3,"",NA,NA,NA
"Ohio",1999,5,6,5,3,3,"",NA,NA,NA
"Ohio",2000,7,4,5,3,3,"",NA,NA,NA
"Wake Forest",2001,6,5,3,5,7,"",NA,NA,NA
"Wake Forest",2002,7,6,3,5,7,"W Seattle",NA,NA,NA
"Wake Forest",2003,5,7,3,5,7,"",NA,NA,NA
"Wake Forest",2004,4,7,1,7,10,"",NA,NA,NA
"Wake Forest",2005,4,7,3,5,4,"",NA,NA,NA
"Wake Forest",2006,11,3,6,2,1,"L Orange†",17,18,NA
"Wake Forest",2007,9,4,5,3,2,"W Meineke Car Care",NA,NA,NA
"Wake Forest",2008,8,5,4,4,3,"W Eaglebank",NA,NA,NA
"Wake Forest",2009,5,7,3,5,4,"",NA,NA,NA
"Wake Forest",2010,3,9,1,7,6,"",NA,NA,NA
"Wake Forest",2011,6,7,5,3,2,"L Music City",NA,NA,NA
"Wake Forest",2012,5,7,3,5,4,"",NA,NA,NA
"Wake Forest",2013,4,6,2,5,NA,"",NA,NA,NA
"Houston",2003,7,6,4,4,6,"L Hawaiʻi",NA,NA,NA
"Houston",2004,3,8,3,5,5,"",NA,NA,NA
"Houston",2005,6,6,4,4,3,"L Fort Worth",NA,NA,NA
"Houston",2006,10,4,7,1,1,"L Liberty",NA,NA,NA
"Houston",2007,8,4,6,2,1,"Texas*",NA,NA,NA
"Baylor",2008,4,8,2,6,5,"",NA,NA,NA
"Baylor",2009,4,8,1,7,6,"",NA,NA,NA
"Baylor",2010,7,6,4,4,4,"L Texas",NA,NA,NA
"Baylor",2011,10,3,6,3,3,"W Alamo",12,13,NA
"Baylor",2012,8,5,4,5,5,"W Holiday",NA,NA,NA
"Baylor",2013,9,0,6,0,NA,"",NA,NA,NA
"Iowa State",2009,7,6,3,5,4,"W Insight",NA,NA,NA
"Iowa State",2010,5,7,3,5,3,"",NA,NA,NA
"Iowa State",2011,6,7,3,6,8,"L Pinstripe",NA,NA,NA
"Iowa State",2012,6,7,3,6,9,"L Liberty",NA,NA,NA
"Iowa State",2013,1,9,0,7,10,"",NA,NA,NA
"Kansas State",1989,1,10,0,7,8,"",NA,NA,NA
"Kansas State",1990,5,6,2,5,6,"",NA,NA,NA
"Kansas State",1991,7,4,4,3,4,"",NA,NA,NA
"Kansas State",1992,5,6,2,5,6,"",NA,NA,NA
"Kansas State",1993,9,2,4,2,3,"W Copper",18,20,NA
"Kansas State",1994,9,3,5,2,3,"L Aloha",16,19,NA
"Kansas State",1995,10,2,5,2,2,"W Holiday",6,7,NA
"Kansas State",1996,9,3,6,2,3,"L Cotton",17,17,NA
"Kansas State",1997,11,1,7,1,2,"W Fiesta†",7,8,NA
"Kansas State",1998,11,2,8,0,1,"L Alamo",9,10,NA
"Kansas State",1999,11,1,7,1,1,"W Holiday",6,6,NA
"Kansas State",2000,11,3,6,2,1,"W Cotton",8,9,NA
"Kansas State",2001,6,6,3,5,4,"L Insight.com",NA,NA,NA
"Kansas State",2002,11,2,6,2,2,"W Holiday",6,7,NA
"Kansas State",2003,11,4,6,2,1,"L Fiesta†",13,14,NA
"Kansas State",2004,4,7,2,6,5,"",NA,NA,NA
"Kansas State",2005,5,6,2,6,6,"",NA,NA,NA
"Kansas State",2009,6,6,4,4,2,"",NA,NA,NA
"Kansas State",2010,7,6,3,5,3,"L Pinstripe",NA,NA,NA
"Kansas State",2011,10,3,7,2,2,"L Cotton",16,15,NA
"Kansas State",2012,11,2,8,1,1,"L Fiesta†",11,12,NA
"Kansas State",2013,6,4,4,3,NA,"",NA,NA,NA
"Oklahoma",1999,7,5,5,3,2,"L Independence",NA,NA,NA
"Oklahoma",2000,13,0,8,0,1,"W Orange†",1,1,NA
"Oklahoma",2001,11,2,6,2,2,"W Cotton",6,6,NA
"Oklahoma",2002,12,2,6,2,1,"W Rose†",5,5,NA
"Oklahoma",2003,12,2,8,0,1,"L Sugar†",3,3,NA
"Oklahoma",2004,12,1,8,0,1,"L Orange†",3,3,NA
"Oklahoma",2005,8,4,6,2,2,"W Holiday",22,22,NA
"Oklahoma",2006,11,3,7,1,1,"L Fiesta†",11,11,NA
"Oklahoma",2007,11,3,6,2,1,"L Fiesta†",8,8,NA
"Oklahoma",2008,12,2,7,1,1,"L BCS NCG†",5,5,NA
"Oklahoma",2009,8,5,5,3,3,"W Sun",NA,NA,NA
"Oklahoma",2010,12,2,6,2,1,"W Fiesta†",6,6,NA
"Oklahoma",2011,10,3,6,3,3,"W Insight",15,16,NA
"Oklahoma",2012,10,3,8,1,1,"L Cotton",15,15,NA
"Oklahoma",2013,8,2,5,2,NA,"",NA,NA,NA
"Oklahoma State",2005,4,7,1,7,6,"",NA,NA,NA
"Oklahoma State",2006,7,6,3,5,5,"W Independence",NA,NA,NA
"Oklahoma State",2007,7,6,4,4,3,"W Insight",NA,NA,NA
"Oklahoma State",2008,9,4,5,3,4,"L Holiday",18,16,NA
"Oklahoma State",2009,9,4,6,2,2,"L Cotton",25,NA,NA
"Oklahoma State",2010,11,2,6,2,1,"W Alamo",10,13,NA
"Oklahoma State",2011,12,1,8,1,1,"W Fiesta†",3,3,NA
"Oklahoma State",2012,8,5,5,4,3,"W Heart of Dallas",NA,NA,NA
"Oklahoma State",2013,9,1,6,1,NA,"",NA,NA,NA
"TCU",2000,0,1,NA,NA,1,"L Mobile Alabama",18,21,NA
"TCU",2001,NA,NA,NA,1,5,"L Galleryfurniture.com",NA,NA,NA
"TCU",2002,1,6,4,3,1,"W Liberty",22,23,NA
"TCU",2003,6,10,6,2,2,"L Fort Worth",24,25,NA
"TCU",2004,2,11,7,1,6,"",NA,NA,NA
"TCU",2005,2,5,3,5,1,"W Houston",9,11,NA
"TCU",2006,6,11,8,0,2,"W Poinsettia",21,22,NA
"TCU",2007,1,11,6,2,5,"W Texas",NA,NA,NA
"TCU",2008,2,8,4,4,2,"W Poinsettia",7,7,NA
"TCU",2009,5,11,7,1,1,"L Fiesta†",6,6,NA
"TCU",2010,2,12,8,0,1,"W Rose†",2,2,NA
"TCU",2011,1,13,8,0,1,"W Poinsettia",13,14,NA
"TCU",2012,0,11,7,0,5,"L Buffalo Wild Wings",NA,NA,NA
"TCU",2013,2,7,4,5,NA,"",NA,NA,NA
"Appalachian State",1983,6,5,4,3,4,"",NA,NA,NA
"Tulane",1985,1,10,NA,NA,NA,"",NA,NA,NA
"Tulane",1986,4,7,NA,NA,NA,"",NA,NA,NA
"Tulane",1987,6,6,NA,NA,NA,"L Independence",NA,NA,NA
"North Carolina",1988,1,10,1,6,7,"",NA,NA,NA
"North Carolina",1989,1,10,0,7,8,"",NA,NA,NA
"North Carolina",1990,6,4,3,3,5,"",NA,NA,NA
"North Carolina",1991,7,4,3,4,5,"",NA,NA,NA
"North Carolina",1992,9,3,5,3,3,"W Peach",18,19,NA
"North Carolina",1993,10,3,6,2,2,"L Gator",21,19,NA
"North Carolina",1994,8,4,5,3,3,"L Sun",21,NA,NA
"North Carolina",1995,7,5,4,4,5,"W Carquest",NA,NA,NA
"North Carolina",1996,10,2,6,2,2,"W Gator",10,10,NA
"North Carolina",1997,10,1,7,1,2,"Invited to Gator**",6,4,NA
"Texas",1998,9,3,6,2,2,"W Cotton",16,15,NA
"Texas",1999,9,5,6,2,1,"L Cotton",23,21,NA
"Texas",2000,9,3,7,1,2,"L Holiday",12,12,NA
"Texas",2001,11,2,7,1,1,"W Holiday",5,5,NA
"Texas",2002,11,2,6,2,1,"W Cotton",7,6,NA
"Texas",2003,10,3,7,1,2,"L Holiday",11,12,NA
"Texas",2004,11,1,7,1,2,"W Rose†",4,5,NA
"Texas",2005,13,0,8,0,1,"W BCS NCG†",1,1,NA
"Texas",2006,10,3,6,2,2,"W Alamo",13,13,NA
"Texas",2007,10,3,5,3,2,"W Holiday",10,10,NA
"Texas",2008,12,1,7,1,1,"W Fiesta†",3,4,NA
"Texas",2009,13,1,8,0,1,"L BCS NCG†",2,2,NA
"Texas",2010,5,7,2,6,6,"",NA,NA,NA
"Texas",2011,8,5,4,5,6,"W Holiday",NA,NA,NA
"Texas",2012,9,4,5,4,3,"W Alamo",18,19,NA
"Texas",2013,7,2,6,0,NA,"",NA,NA,NA
