"Years" "Conference" "offName" "school" "Division" "school"
1953 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1954 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1955 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1955 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1956 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1956 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1957 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1957 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1958 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1958 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1959 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1959 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1960 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1960 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1961 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1961 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1962 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1962 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1963 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1963 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1964 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1964 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1965 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1965 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1966 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1966 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1967 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1967 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1968 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1968 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1969 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1969 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA" "North Carolina Central"
1970 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1970 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1971 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1971 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1972 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA College Division (Small College)" "North Carolina Central"
1972 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1973 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1973 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1974 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1974 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1975 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1975 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1976 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1976 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1977 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1977 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1978 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1978 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1979 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1979 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1980 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1980 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1981 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1981 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1982 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1982 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1983 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1983 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1984 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1984 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1985 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1985 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1986 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NAIA Division I" "North Carolina Central"
1986 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1987 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1988 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1989 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1990 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1991 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1992 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1993 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1994 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1995 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1996 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1997 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1998 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
1999 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2000 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2001 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2002 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2003 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2004 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2005 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2006 "Central Intercollegiate Athletics Association" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2007 "Division II Independent" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2008 "Division II Independent" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2009 "Division II Independent" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2010 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division II" "North Carolina Central"
2011 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division I-AA" "North Carolina Central"
2012 "Mid-Eastern Athletic Conference" "North Carolina Central University" "North Carolina Central" "NCAA Division I-AA" "North Carolina Central"
1894 "Independent" "University of North Dakota" "North Dakota" NA NA
1895 "Independent" "University of North Dakota" "North Dakota" NA NA
1896 "Independent" "University of North Dakota" "North Dakota" NA NA
1897 "Independent" "University of North Dakota" "North Dakota" NA NA
1898 "Independent" "University of North Dakota" "North Dakota" NA NA
1899 "Independent" "University of North Dakota" "North Dakota" NA NA
1900 "Independent" "University of North Dakota" "North Dakota" NA NA
1901 "Independent" "University of North Dakota" "North Dakota" NA NA
1902 "Independent" "University of North Dakota" "North Dakota" NA NA
1903 "Independent" "University of North Dakota" "North Dakota" NA NA
1904 "Independent" "University of North Dakota" "North Dakota" NA NA
1905 "Independent" "University of North Dakota" "North Dakota" NA NA
1906 "Independent" "University of North Dakota" "North Dakota" NA NA
1907 "Independent" "University of North Dakota" "North Dakota" NA NA
1908 "Independent" "University of North Dakota" "North Dakota" NA NA
1909 "Independent" "University of North Dakota" "North Dakota" NA NA
1910 "Independent" "University of North Dakota" "North Dakota" NA NA
1911 "Independent" "University of North Dakota" "North Dakota" NA NA
1912 "Independent" "University of North Dakota" "North Dakota" NA NA
1913 "Independent" "University of North Dakota" "North Dakota" NA NA
1914 "Independent" "University of North Dakota" "North Dakota" NA NA
1915 "Independent" "University of North Dakota" "North Dakota" NA NA
1916 "Independent" "University of North Dakota" "North Dakota" NA NA
1917 "Independent" "University of North Dakota" "North Dakota" NA NA
1918 "Independent" "University of North Dakota" "North Dakota" NA NA
1919 "Independent" "University of North Dakota" "North Dakota" NA NA
1920 "Independent" "University of North Dakota" "North Dakota" NA NA
1921 "Independent" "University of North Dakota" "North Dakota" NA NA
1922 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1923 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1924 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1925 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1926 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1927 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1928 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1929 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1930 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1931 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1932 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1933 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1934 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1935 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1936 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" NA NA
1937 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1938 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1939 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1940 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1941 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1942 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1943 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1944 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1945 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1946 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1947 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1948 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1949 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1950 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1951 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1952 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1953 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1954 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1955 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1956 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1957 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1958 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1959 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1960 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1961 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1962 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1963 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1964 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1965 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1966 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1967 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1968 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1969 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1970 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1971 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1972 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA College Division (Small College)" "North Dakota"
1973 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1974 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1975 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1976 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1977 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1978 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1979 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1980 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1981 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1982 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1983 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1984 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1985 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1986 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1987 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1988 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1989 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1990 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1991 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1992 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1993 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1994 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1995 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1996 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1997 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1998 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
1999 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2000 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2001 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2002 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2003 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2004 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2005 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2006 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2007 "North Central Intercollegiate Athletic Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2008 "Great West Football Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2009 "Great West Football Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2010 "Great West Football Conference" "University of North Dakota" "North Dakota" "NCAA Division II" "North Dakota"
2011 "Great West Football Conference" "University of North Dakota" "North Dakota" "NCAA Division I-AA" "North Dakota"
2012 "Big Sky Conference" "University of North Dakota" "North Dakota" "NCAA Division I-AA" "North Dakota"
1894 "Independent" "North Dakota State University" "North Dakota St." NA NA
1895 "Independent" "North Dakota State University" "North Dakota St." NA NA
1896 "Independent" "North Dakota State University" "North Dakota St." NA NA
1897 "Independent" "North Dakota State University" "North Dakota St." NA NA
1898 "Independent" "North Dakota State University" "North Dakota St." NA NA
1899 "Independent" "North Dakota State University" "North Dakota St." NA NA
1900 "Independent" "North Dakota State University" "North Dakota St." NA NA
1901 "Independent" "North Dakota State University" "North Dakota St." NA NA
1902 "Independent" "North Dakota State University" "North Dakota St." NA NA
1903 "Independent" "North Dakota State University" "North Dakota St." NA NA
1904 "Independent" "North Dakota State University" "North Dakota St." NA NA
1905 "Independent" "North Dakota State University" "North Dakota St." NA NA
1906 "Independent" "North Dakota State University" "North Dakota St." NA NA
1907 "Independent" "North Dakota State University" "North Dakota St." NA NA
1908 "Independent" "North Dakota State University" "North Dakota St." NA NA
1909 "Independent" "North Dakota State University" "North Dakota St." NA NA
1910 "Independent" "North Dakota State University" "North Dakota St." NA NA
1911 "Independent" "North Dakota State University" "North Dakota St." NA NA
1912 "Independent" "North Dakota State University" "North Dakota St." NA NA
1913 "Independent" "North Dakota State University" "North Dakota St." NA NA
1914 "Independent" "North Dakota State University" "North Dakota St." NA NA
1915 "Independent" "North Dakota State University" "North Dakota St." NA NA
1916 "Independent" "North Dakota State University" "North Dakota St." NA NA
1917 "Independent" "North Dakota State University" "North Dakota St." NA NA
1918 "Independent" "North Dakota State University" "North Dakota St." NA NA
1919 "Independent" "North Dakota State University" "North Dakota St." NA NA
1920 "Independent" "North Dakota State University" "North Dakota St." NA NA
1921 "Independent" "North Dakota State University" "North Dakota St." NA NA
1922 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1923 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1924 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1925 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1926 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1927 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1928 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1929 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1930 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1931 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1932 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1933 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1934 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1935 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1936 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." NA NA
1937 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1938 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1939 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1940 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1941 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1942 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1943 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1944 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1945 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1946 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1947 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1948 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1949 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1950 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1951 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "N/A" "North Dakota St."
1952 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1953 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1954 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1955 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1956 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1956 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1957 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1957 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1958 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
