"Years" "Conference" "offName" "school" "Division" "school"
1916 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1917 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1918 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1919 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1920 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1921 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1922 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1923 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1924 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1925 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1926 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1927 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1928 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1929 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1930 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1931 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1932 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1933 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1934 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1935 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1936 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1937 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1938 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1939 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1940 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1941 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1942 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1943 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1944 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
