"Rank1" "espnNames" "conference" "signed" "espn150" "five" "four" "three" "off" "def" "specTeams" "athletes" "year" "espn300" "Score"
16 "West Virginia" "Big 12" 26 0 2 15 10 11 11 1 2 2013 2 100
16 "Western Michigan" "Mid-American" 29 0 2 2 4 15 13 1 0 2012 NA 30
16 "Liberty" "NCAA Division I-AA" 16 0 1 1 1 7 8 1 0 2008 NA 12
16 "Delaware" "NCAA Division I-AA" 19 0 2 2 2 10 9 0 0 2010 NA 24
16 "Delaware" "NCAA Division I-AA" 12 0 2 2 16 7 3 1 1 2012 NA 66
16 "Northern Iowa" "NCAA Division I-AA" 15 0 2 2 3 7 7 1 0 2011 NA 27
16 "Villanova" "NCAA Division I-AA" 8 0 2 2 2 3 5 0 0 2013 0 24
16 "Georgetown" "NCAA Division I-AA" 1 0 2 2 2 0 1 0 0 2009 NA 24
17 "Georgia" "SEC" 28 12 1 1 1 16 12 0 0 2006 NA 12
17 "Illinois" "Big Ten" 29 1 2 10 12 12 11 1 5 2011 NA 86
17 "Nebraska" "Big Ten" 26 0 2 4 8 9 11 0 3 2013 2 50
17 "Temple" "Big East" 28 0 1 1 1 12 16 0 0 2007 NA 12
17 "Temple" "Big East" 28 0 2 2 2 11 15 1 1 2009 NA 24
17 "Texas" "Big 12" 28 12 2 18 4 8 16 1 3 2012 NA 94
17 "Utah State" "WAC" 28 0 2 2 2 17 8 1 2 2010 NA 24
17 "West Virginia" "Big 12" 27 0 1 1 1 11 13 1 2 2008 NA 12
17 "Harvard" "NCAA Division I-AA" 11 0 2 2 14 8 3 0 0 2012 NA 60
17 "Jacksonville State" "NCAA Division I-AA" 1 0 2 2 2 1 0 0 0 2009 NA 24
17 "Liberty" "NCAA Division I-AA" 19 0 2 2 2 9 9 0 1 2010 NA 24
17 "Massachusetts" "Mid-American" 16 0 1 1 1 7 9 0 0 2008 NA 12
17 "William & Mary" "NCAA Division I-AA" 15 0 2 2 3 8 6 0 1 2011 NA 27
17 "Illinois State" "NCAA Division I-AA" 7 0 2 2 3 5 2 0 0 2013 0 27
18 "Arizona State" "Pac-12" 26 0 2 9 23 8 14 1 2 2013 0 115
18 "Florida" "SEC" 27 14 1 1 1 11 15 1 0 2007 NA 12
18 "Memphis" "Conference USA" 29 0 2 2 17 12 13 0 4 2011 NA 69
18 "Mississippi State" "SEC" 27 2 2 2 2 12 8 2 5 2009 NA 24
18 "Nevada" "Mountain West" 28 0 1 1 1 15 13 0 0 2006 NA 12
18 "Oklahoma State" "Big 12" 27 1 1 1 1 13 13 1 0 2008 NA 12
18 "Utah" "Pac-12" 28 0 2 3 11 14 13 0 1 2012 NA 55
18 "UTEP" "Conference USA" 28 0 2 2 2 14 12 1 1 2010 NA 24
