"no","name","pos","ht","wt","class","hometown","year"
93,"Kris Pauloski","PK","6-3",204,"RS SO","Indianapolis, Ind. (Pike)",2011
93,"Chris Eddins","DE","6-5",265,"RS FR","Detroit, Mich. (Country Day)",2011
94,"Jordan Paskorz","LB","6-3",246,"RS FR","Gibsonia, Pa. (Hampton)",2011
94,"Curt Graman","LS","6-5",200,"RS SO","Cincinnati, Ohio (Elder)",2011
95,"Chris Rock","DE","6-5",267,"FR","Columbus, Ohio (St. Francis DeSales)",2011
96,"Jeremy Ross","PK","5-5",150,"RS FR","Ann Arbor, Mich. (Pioneer)",2011
97,"Brennen Beyer","LB","6-3",225,"FR","Canton, Mich. (Plymouth)",2011
99,"Paul Gyarmati","LB","6-1",216,"RS JR","Bloomfield Hills, Mich. (Brother Rice)",2011
2," Vincent Smith","RB","5-6",180,"SO","Pahokee, Fla. (Pahokee)",2010
3," Marvin Robinson","S","6-2",203,"FR","Winter Haven, Fla. (Lake Region)",2010
4," Cameron Gordon","S","6-3",207,"RS FR","Detroit, Mich. (Inkster)",2010
5," Courtney Avery","CB","5-11",174,"FR","Mansfield, Ohio (Lexington)",2010
5," Tate Forcier","QB","6-1",190,"SO","San Diego, Calif. (Scripps Ranch)",2010
6," Josh Furman","S","6-2",208,"FR","Annapolis, Md. (Old Mill Senior)",2010
6," Je'Ron Stokes","WR","6-0",193,"SO","Philadelphia, Pa. (Northeast)",2010
7," Brandin Hawthorne","S","6-0",205,"SO","Pahokee, Fla. (Pahokee)",2010
7," Devin Gardner","QB","6-4",210,"FR","Detroit, Mich. (Inkster)",2010
8," Jonas Mouton","LB","6-2",240,"SR","Los Angeles, Calif. (Venice)",2010
8," Terrence Robinson","SR","5-9",176,"RS SO","Klein, Texas (Oak)",2010
9," Martavious Odoms","SR","5-8",175,"JR","Pahokee, Fla. (Pahokee)",2010
10," Jordan Barpal","SR","5-10",162,"RS SO","West Bloomfield, Mich. (Seaholm)",2010
10," Jeremy Gallon","SR","5-8",188,"RS FR","Apopka, Fla. (Apopka)",2010
12," J.T. Floyd","CB","6-0",183,"RS SO","Greenville, S.C. (J.L. Mann)",2010
12," Roy Roundtree","SR","6-0",176,"RS SO","Trotwood, Ohio (Trotwood-Madison)",2010
13," Carvin Johnson","S","6-0",198,"FR","Metairie, La. (Archbishop Rummel)",2010
14," Teric Jones","RB","5-9",198,"SO","Detroit, Mich. (Cass Technical)",2010
15," Michael Cox","RB","6-0",211,"RS SO","Dorchester, Mass. (Avon Old Farms)",2010
15," Thomas Gordon","S","5-11",205,"RS FR","Detroit, Mich. (Cass Technical)",2010
16," Denard Robinson","QB",,193,"SO","Deerfield Beach, Fla. (Deerfield Beach)",2010
17," Jeremy Jackson","WR","6-3",203,"FR","Ann Arbor, Mich. (Huron)",2010
17," Tony Anderson","CB","5-11",194,"RS JR","Redondo Beach, Calif. (Redondo Union)",2010
18," James Rogers","CB","6-1",188,"SR","Madison Heights, Mich. (Lamphere)",2010
19," Kelvin Grady","SR","5-10",176,"RS JR","Grand Rapids, Mich. (East Grand Rapids)",2010
20," Michael Shaw","RB","6-1",188,"JR","Trotwood, Ohio (Trotwood-Madison)",2010
20," Ray Vinopal","S","5-10",197,"FR","Youngstown, Ohio (Cardinal Mooney)",2010
21," Junior Hemingway","WR","6-1",225,"RS JR","Conway, S.C. (Conway)",2010
21," Jordan Reilly","S","5-10",185,"RS JR","Taylor, Mich. (Kennedy)",2010
22," Terrence Talbott","CB","5-11",179,"FR","Huber Heights, Ohio (Wayne)",2010
22," Darryl Stonum","WR","6-2",195,"JR","Stafford, Texas (Dulles)",2010
23," Floyd Simmons","S","6-0",200,"RS SO","Detroit, Mich. (Crockett Technical)",2010
24," Cullen Christian","CB","6-0",188,"FR","Verona, Pa. (Penn Hills)",2010
25," Jack Kennedy","QB","5-11",185,"RS SO","Walled Lake, Mich. (Walled Lake Central)",2010
25," Kenny Demens","LB","6-1",246,"RS SO","Oak Park, Mich. (Detroit Country Day)",2010
26," Drew Dileo","SR","5-10",172,"FR","Greenwell Springs, La. (Parkview Baptist)",2010
26," Isaiah Bell","LB","6-1",245,"RS FR","Youngstown, Ohio (Liberty)",2010
27," Mike Jones","LB","6-2",208,"SO","Orlando, Fla. (Edgewater)",2010
28," Fitzgerald Toussaint","RB","5-10",200,"RS FR","Youngstown, Ohio (Liberty)",2010
28," Matthew Cavanaugh","S","5-10",186,"RS SO","Alto, Mich. (Caledonia)",2010
29," Phil Monolo","RB","5-9",186,"FR","Shelby Township, Mich. (Eisenhower)",2010
29," Troy Woolfolk","CB","6-0",195,"SR","Sugar Land, Texas (Dulles)",2010
30," Doug Rogan","WR","6-1",188,"RS JR","Grass Lake, Mich. (Grass Lake)",2010
31," Jared Van Slyke","S","6-2",196,"RS JR","St. Louis, Mo. (John Burroughs)",2010
32," Jordan Kovacs","S","6-0",195,"RS SO","Curtice, Ohio (Clay)",2010
32," O'Neil Swanson","RB","5-10",162,"RS FR","West Bloomfield, Mich. (Detroit Country Day)",2010
33," Stephen Hopkins","RB",,230,"FR","Double Oak, Texas (Marcus)",2010
34," Brendan Gibbons","PK","6-1",227,"RS FR","West Palm Beach, Fla. (Cardinal Newman)",2010
35," Karl Tech","S","5-10",195,"RS JR","Grosse Pointe, Mich. (Grosse Pointe North)",2010
36," Zac Johnson","S","6-2",205,"RS JR","Morenci, Mich. (Morenci)",2010
36," Rasheed Furrha","LB","6-1",211,"RS JR","Ann Arbor, Mich. (Pioneer)",2010
37," Jake Ryan","LB","6-3",225,"FR","Westlake, Ohio (St. Ignatius)",2010
38," Al Backey","CB","5-10",179,"RS FR","Ypsilanti, Mich. (Ypsilanti)",2010
39," Will Heininger","DT","6-6",277,"RS JR","Ann Arbor, Mich. (Pioneer)",2010
40," Mike Williams","S","5-11",200,"RS JR","Santa Yuez, Calif. (St. Bonaventure)",2010
40," Nate Allspach","TE","6-6",231,"FR","Grand Rapids, Mich. (Grandville)",2010
41," John Haarer","TE","6-3",236,"FR","Ann Arbor, Mich. (Huron)",2010
41," Kenny Wilkins","DE","6-3",270,"FR","Washington, Pa. (Trinity)",2010
42," J.B. Fitzgerald","LB","6-3",244,"JR","Princeton Junction, N.J. (West Windsor Plainsboro)",2010
42," Dylan Esterline","TE","6-5",251,"FR","Blissfield, Mich. (Blissfield)",2010
43," Will Hagerup","P","6-4",222,"FR","Milwaukee, Wis. (Whitefish Bay)",2010
44," Mark Moundros","FB/LB","6-1",233,"SR","Farmington Hills, Mich. (North Farmington)",2010
45," Obi Ezeh","LB","6-2",244,"SR","Grand Rapids, Mich. (Catholic Central)",2010
46," Seth Broekhuizen","K","6-1",195,"RS FR","Holland, Mich. (Holland Christian)",2010
46," Jon Bills","TE","6-3",240,"RS JR","Farmington Hills, Mich. (North Farmington)",2010
49," John McColgan","FB","6-1",235,"RS JR","Saginaw, Mich. (Nouvel Catholic)",2010
50," David Molk","OL","6-2",287,"RS JR","Lemont, Ill. (Lemont Township)",2010
52," Stephen Schilling","OL","6-5",308,"SR","Bellevue, Wash. (Bellevue)",2010
52," Kevin Leach","LB","6-1",205,"RS JR","Kentwood, Mich. (Grand Rapids Catholic Central)",2010
53," Ryan Van Bergen","DE","6-6",287,"RS JR","Whitehall, Mich. (Whitehall)",2010
54," Jareth Glanda","LS","6-3",246,"RS FR","Rochester Hills, Mich. (Brother Rice)",2010
54," Richard Ash","DT","6-3",320,"FR","Pahokee, Fla. (Pahokee)",2010
55," Jibreel Black","DE","6-2",265,"FR","Wyoming, Ohio (Wyoming)",2010
56," Ricky Barnum","OL","6-3",286,"RS SO","Lakeland, Fla. (Lake Gibson)",2010
57," Elliott Mealer","OL","6-5",313,"RS SO","Wauseon, Ohio (Wauseon)",2010
58," Brandon Herron","LB","6-2",220,"RS JR","Stafford, Texas (Dulles)",2010
59," Paul Gyarmati","LB","6-1",210,"RS SO","Birmingham, Mich. (Brother Rice)",2010
61," Zac Ciullo","OL","6-1",270,"RS JR","Bloomfield Hills, Mich. (Brother Rice)",2010
62," Dominique Ware","DT","5-7",248,"RS JR","Detroit, Mich. (Inkster)",2010
63," Rocko Khoury","OL","6-4",295,"RS SO","Traverse City, Mich. (Traverse City West)",2010
64," Christian Pace","OL","6-2",280,"FR","Avon Lake, Ohio (Avon Lake)",2010
65," Patrick Omameh","OL","6-4",305,"RS SO","Columbus, Ohio (St. Francis DeSales)",2010
66," George Morales","LS","6-0",236,"RS SO","North Las Vegas, Nev. (Moajve)",2010
67," Nathan Brink","DT","6-5",250,"RS FR","Holland, Mich. (Holland Christian)",2010
68," Mike Martin","DT","6-2",299,"JR","Redford, Mich. (Catholic Central)",2010
68," Alex Schwab","DT","6-0",242,"RS SO","Manassas, Va. (Osbourn Park)",2010
69," Erik Gunderson","OL","6-8",309,"RS FR","Milan, Mich. (Milan)",2010
70," Kristian Mateus","OL","6-7",310,"FR","Ada, Mich. (Forest Hills Central)",2010
72," Mark Huyge","OL","6-6",306,"RS JR","Wyoming, Mich. (Catholic Central)",2010
73," William Campbell","DT","6-5",331,"SO","Detroit, Mich. (Cass Technical)",2010
74," John Ferrara","OL","6-4",286,"SR","Staten Island, N.Y. (Monsignor Farrell)",2010
75," Michael Schofield","OL","6-7",293,"RS FR","Orland Park, Ill. (Carl Sandburg)",2010
76," Quinton Washington","OL","6-4",315,"RS FR","St. Stephen, S.C. (Timberland)",2010
