"no","name","pos","ht","wt","class","hometown","year"
14,"Morgan Trent***","CB ","6-1 ",184,"Sr. ","San Diego, Calif.  (Orchard Lake St. Mary's) ",2007
53,"Ryan Van Bergen","DE ","6-5 ",260,"Fr. ","Whitehall, Mich.  (Whitehall) ",2007
6,"Donovan Warren*","CB ","6-0 ",173,"Fr. ","Long Beach, Calif.  (Polytechnic) ",2007
81,"Steve Watson","TE ","6-4 ",239,"Fr. ","Cherry Hills Village, Colo.  (Mullen) ",2007
80,"Martell Webb*","TE ","6-4 ",227,"Fr. ","Pontiac, Mich.  (Northern) ",2007
40,"Michael Williams","S ","5-11 ",178,"Fr. ","Camarillo, Calif.  (St. Bonaventure) ",2007
29,"Troy Woolfolk*","CB ","6-0 ",174,"Fr. ","Sugar Land, Texas  (Dulles) ",2007
18,"Ben Wright","WR ","5-9 ",203,"Sr. ","Grosse Pointe, Mich.  (Grosse Pointe North) ",2007
43,"Bryan Wright*","K ","6-1 ",218,"So. ","Salem, Ohio  (Salem) ",2007
75,"Cory Zirbel","OL ","6-5 ",295,"Jr. ","Murray, Ky.  (Murray) ",2007
22,"Jamar Adams***","S ","6-2 ",210,"Jr./Jr. ","Charlotte, N.C.  (Butler) ",2006
16,"Adrian Arrington**","WR ","6-3 ",190,"Jr./Jr. ","Cedar Rapids, Iowa  (Washington) ",2006
92,"Greg Banks","DE ","6-4 ",246,"Fr./Fr. ","Denver, Colo.  (Montbello) ",2006
19,"Willis Barringer****","S ","6-0 ",210,"5th/Sr. ","Toledo, Ohio  (Scott) ",2006
18,"Antonio Bass*","WR ","6-0 ",197,"So./So. ","Jackson, Mich.  (Jackson) ",2006
91,"Rondell Biggs****","DE ","6-3 ",278,"5th/Sr. ","Southfield, Mich.  (Southfield Lathrup) ",2006
54,"Mark Bihl****","OL ","6-5 ",299,"5th/Sr. ","Washington Court House, Ohio  (W.C.H.) ",2006
61,"Turner Booth**","LS ","6-2 ",259,"5th/Sr. ","Baltimore, Md.  (Rockville) ",2006
65,"Justin Boren*","OL ","6-3 ",308,"Fr./Fr. ","Pickerington, Ohio  (Pickerington North) ",2006
66,"William Bostic","LB ","5-9 ",207,"Fr./Fr. ","Stafford, Texas  (Thurgood Marshall) ",2006
26,"Alijah Bradley***","WR ","5-6 ",171,"5th/Sr. ","Richmond, Calif.  (DeLaSalle Catholic) ",2006
80,"Alan Branch***","DT ","6-6 ",331,"Jr./Jr. ","Rio Rancho, N.M.  (Cibola) ",2006
15,"Steve Breaston****","WR ","6-1 ",180,"5th/Sr. ","North Braddock, Pa.  (Woodland Hills) ",2006
23,"Carlos Brown*","RB ","6-0 ",200,"Fr./Fr. ","Franklin, Ga.  (Heard County) ",2006
30,"Stevie Brown*","S ","6-0 ",205,"Fr./Fr. ","Columbus, Ind.  (Columbus East) ",2006
99,"Sam Buckman","K ","6-4 ",204,"Fr./Fr. ","Tonka Bay, Minn.  (Minnetonka) ",2006
6,"Prescott Burgess****","OLB ","6-3 ",235,"Sr./Sr. ","Warren, Ohio  (Warren G. Harding) ",2006
85,"Carson Butler*","TE ","6-4 ",247,"So./So. ","Detroit, Mich.  (Renaissance) ",2006
9,"Anton Campbell***","S ","5-11 ",196,"Sr./Sr. ","O'Fallon, Mo.  (Fort Zumwalt West) ",2006
26,"Mike Carl**","S ","6-0 ",202,"5th/Sr. ","Troy, Mich.  (Athens) ",2006
70,"Jeremy Ciulla","OL ","6-4 ",292,"Jr./So. ","Kennesaw, Ga.  (Kennesaw Mountain) ",2006
12,"David Cone","QB ","6-6 ",215,"Fr./Fr. ","Statesboro, Ga.  (Statesboro) ",2006
29,"Jon Conover","DB ","6-2 ",200,"Fr./Fr. ","Northville, Mich.  (Catholic Central) ",2006
2,"Shawn Crable***","OLB ","6-5 ",241,"Sr./Sr. ","Massillon, Ohio  (Washington) ",2006
39,"Andre Criswell*","FB ","6-1 ",258,"So./So. ","Detroit, Mich.  (Renaissance) ",2006
64,"Grant DeBenedictis","OL ","6-5 ",286,"Jr./Jr. ","Boca Raton, Fla.  (St. Andrews) ",2006
79,"Perry Dorrestein","OL ","6-7 ",317,"Fr./Fr. ","Plainfield, Ill.  (Plainfield Central) ",2006
81,"Doug Dutch Jr.*","WR ","5-11 ",201,"Jr./Jr. ","Bowie, Md.  (Gonzaga College) ",2006
89,"Tyler Ecker****","TE ","6-6 ",246,"5th/Sr. ","El Dorado Hills, Calif.  (Oak Ridge) ",2006
27,"Shakir Edwards","DB ","6-0 ",207,"Jr./Jr. ","Detroit, Mich.  (Martin Luther King) ",2006
31,"Brandent Englemon***","S ","5-11 ",205,"Sr./Jr. ","Covington, Ky.  (Holmes) ",2006
44,"Obi Ezeh","LB ","6-2 ",213,"Fr./Fr. ","Grand Rapids, Mich.  (Catholic Central) ",2006
94,"John Ferrara","DT ","6-4 ",285,"Fr./Fr. ","Staten Island, N.Y.  (Monsignor Farrell) ",2006
19,"Jason Forcier","QB ","6-2 ",218,"So./So. ","San Diego, Calif.  (St. Augustine) ",2006
74,"Brett Gallimore","OL ","6-4 ",308,"Jr./Jr. ","Parkville, Mo.  (Park Hill South) ",2006
96,"Eugene Germany","DE ","6-2 ",279,"So./So. ","Pomona, Calif.  (Pomona) ",2006
34,"Jason Gingell","K ","5-9 ",188,"Jr./Jr. ","Northville, Mich.  (Catholic Central) ",2006
3,"Kevin Grady**","RB ","5-9 ",216,"So./So. ","Grand Rapids, Mich.  (East Grand Rapids) ",2006
55,"Brandon Graham*","DE ","6-2 ",274,"Fr./Fr. ","Detroit, Mich.  (Crockett Technical) ",2006
37,"Chris Graham***","ILB ","5-11 ",220,"Jr./Jr. ","Indianapolis, Ind.  (Warren Central) ",2006
59,"Sean Griffin","LS ","6-2 ",229,"Jr./Jr. ","Livonia, Mich.  (Catholic Central) ",2006
29,"Leon Hall****","CB ","5-11 ",193,"Sr./Sr. ","Vista, Calif.  (Vista) ",2006
45,"David Harris***","ILB ","6-2 ",239,"5th/Sr. ","Grand Rapids, Mich.  (Ottawa Hills) ",2006
27,"Brandon Harrison**","CB/S ","5-8 ",206,"So./So. ","Dayton, Ohio  (Chaminade-Julienne) ",2006
20,"Mike Hart***","RB ","5-9 ",196,"Jr./Jr. ","Syracuse, N.Y.  (Onondaga Central) ",2006
7,"Chad Henne***","QB ","6-2 ",224,"Jr./Jr. ","Wyomissing, Pa.  (Wilson) ",2006
4,"Darnell Hood***","CB ","5-11 ",192,"5th/Sr. ","Detroit, Mich.  (Bishop Gallagher) ",2006
12,"Matt Hornaday","S ","5-10 ",188,"So./So. ","Germantown, Md.  (Seneca Valley) ",2006
24,"Jerome Jackson****","RB ","5-11 ",206,"Sr./Sr. ","Saginaw, Mich.  (Saginaw) ",2006
90,"Tim Jamison**","DE ","6-3 ",254,"Jr./Jr. ","Riverdale, Ill.  (Harvey Thornton) ",2006
97,"Will Johnson**","DT ","6-5 ",291,"Jr./Jr. ","Oakland, Mich.  (Lake Orion) ",2006
14,"Tyrone Jordan II*","WR ","5-10 ",193,"Sr./Sr. ","Flushing, Mich.  (Flushing) ",2006
88,"Ankit Kachhal","P/K ","6-1 ",175,"Sr./Jr. ","Canton, Mich.  (Canton) ",2006
13,"Jeff Kastl**","QB ","6-3 ",214,"5th/Sr. ","Clinton Township, Mich.  (Chippewa Valley) ",2006
93,"Jason Kates","DT ","6-3 ",352,"Fr./Fr. ","Harrisburg, Pa.  (Bishop McDevitt) ",2006
63,"Mike Knill","DL ","6-5 ",285,"Sr./Jr. ","Rochester Hills, Mich.  (Adams) ",2006
76,"Mike Kolodziej***","OL ","6-7 ",305,"5th/Sr. ","Joliet, Ill.  (Joliet Catholic Academy) ",2006
57,"Adam Kraus***","OL ","6-6 ",297,"Sr./Sr. ","New Orleans, La.  (Brother Martin) ",2006
46,"Brandon Logan*","LB ","6-0 ",218,"So./So. ","Lexington, Ky.  (Lexington Catholic) ",2006
77,"Jake Long*** (c)","OL ","6-7 ",313,"Sr./Sr. ","Lapeer, Mich.  (Lapeer East) ",2006
84,"K.C. Lopata","PK ","6-2 ",215,"Jr./Jr. ","Farmington, Mich.  (Farmington) ",2006
60,"Patrick Lyall","OL ","6-0 ",279,"Jr./Jr. ","Adrian, Mich.  (Adrian) ",2006
86,"Mario Manningham**","WR ","6-0 ",182,"So./So. ","Warren, Ohio  (Warren G. Harding) ",2006
83,"Mike Massey**","TE ","6-4 ",234,"Jr./So. ","Brecksville, Ohio  (St. Ignatius) ",2006
13,"Greg Mathews*","WR ","6-3 ",207,"Fr./Fr. ","Orlando, Fla.  (Edgewater) ",2006
62,"Tim McAvoy","OL ","6-5 ",290,"So./Fr. ","Bloomington, Ill.  (Bloomington) ",2006
20,"Ian McComb","S ","6-2 ",205,"Fr./Fr. ","Lansing, Mich.  (Waverly) ",2006
44,"James McKinney","DT ","6-2 ",285,"So./Fr. ","Louisville, Ky.  (Central) ",2006
42,"Chris McLaurin*","TE ","6-3 ",234,"So./Fr. ","Rochester Hills, Mich.  (Orchard Lake St. Mary's) ",2006
41,"Zoltan Mesko*","P ","6-4 ",230,"So./Fr. ","Twinsburg, Ohio  (Twinsburg) ",2006
84,"David Middleton","WR ","6-2 ",198,"Fr./Fr. ","Southfield, Mich.  (Country Day) ",2006
4,"Brandon Minor*","RB ","6-0 ",210,"Fr./Fr. ","Richmond, Va.  (Varina) ",2006
73,"Alex Mitchell*","OL ","6-5 ",317,"Jr./So. ","Bay City, Mich.  (Bay City Central) ",2006
33,"Cobrani Mixon","LB ","6-1 ",226,"Fr./Fr. ","Cincinnati, Ohio  (Colerain) ",2006
17,"Lee Mondol","QB ","6-2 ",195,"Fr./Fr. ","Ventura, Calif.  (Ventura) ",2006
28,"Dan Moore*","ILB ","6-0 ",219,"Sr./Jr. ","Canton, Mich.  (Catholic Central) ",2006
60,"David Moosman","OL ","6-4 ",298,"So./Fr. ","Libertyville, Ill.  (Libertyville) ",2006
33,"Mark Moundros","FB ","6-1 ",212,"Fr./Fr. ","Farmington Hills, Mich.  (North Farmington) ",2006
8,"Jonas Mouton","LB ","6-2 ",217,"Fr./Fr. ","Los Angeles, Calif.  (Venice) ",2006
21,"Ryan Mundy***","S ","6-1 ",208,"Sr./Jr. ","Wilkins Township, Pa.  (Woodland Hills) ",2006
58,"Tim North","DE ","6-1 ",255,"So./Fr. ","Linden, Mich.  (Linden) ",2006
68,"Bryant Nowicki","OL ","6-8 ",340,"Fr./Fr. ","Bay City, Mich.  (John Glenn) ",2006
92,"Jason Olesnavage","PK ","6-4 ",205,"So./So. ","Ferndale, Mich.  (Ferndale) ",2006
40,"Obi Oluigbo***","FB ","6-0 ",229,"5th/Sr. ","Laurel, Md.  (Episcopal) ",2006
55,"Ohene Opong-Owusu","LB ","6-1 ",230,"So./Fr. ","West Bloomfield, Mich.  (Walled Lake Western) ",2006
38,"B.J. Opong-Owusu***","S ","5-11 ",201,"5th/Sr. ","West Bloomfield, Mich.  (Walled Lake Western) ",2006
71,"Mark Ortmann","OL ","6-6 ",298,"So./Fr. ","Klein, Texas  (Klein) ",2006
36,"Quintin Patilla","LB ","6-1 ",216,"Fr./Fr. ","Flint, Mich.  (Carman-Ainsworth) ",2006
99,"Adam Patterson*","DE ","6-2 ",250,"Fr./Fr. ","Columbia, S.C.  (Richland Northeast) ",2006
34,"Will Paul***","FB ","6-3 ",251,"Sr./Jr. ","Chesterfield, Mo.  (Parkway West) ",2006
22,"Kyle Plummer","CB ","5-10 ",166,"Sr./Jr. ","Milford, Mich.  (Milford) ",2006
51,"Max Pollock*","ILB ","6-1 ",218,"Sr./Jr. ","Takoma Park, Md.  (Montgomery Blair) ",2006
69,"Michael Ramirez","OL ","6-2 ",203,"Fr./Fr. ","Austin, Texas  (Bowie) ",2006
28,"Chris Richards*","CB ","5-11 ",176,"So./Fr. ","Pacoima, Calif.  (James Monroe) ",2006
72,"Rueben Riley Jr.***","OL ","6-4 ",305,"5th/Sr. ","Grand Rapids, Mich.  (Creston) ",2006
38,"Garrett Rivas****","PK ","5-9 ",211,"Sr./Sr. ","Tampa, Fla.  (Jesuit) ",2006
3,"Ross Ryan**","P ","6-1 ",203,"5th/Sr. ","Franklin, Mich.  (Brother Rice) ",2006
62,"Jon Saigh","OL ","6-4 ",294,"Jr./So. ","Kingsford, Mich.  (Kingsford) ",2006
82,"LaTerryal Savoy*","WR ","6-2 ",205,"So./Fr. ","Mamou, La.  (Mamou) ",2006
78,"Justin Schifano","OL ","6-4 ",300,"So./Fr. ","Webster, N.Y.  (Schroeder) ",2006
52,"Stephen Schilling","OL ","6-5 ",300,"Fr./Fr. ","Bellevue, Wash.  (Bellevue) ",2006
25,"Johnny Sears*","CB ","6-0 ",184,"So./Fr. ","Fresno, Calif.  (Edison) ",2006
8,"Nick Sheridan","QB ","6-1 ",190,"Fr./Fr. ","Saline, Mich.  (Saline) ",2006
2,"Landon Smith*","WR ","5-8 ",174,"Sr./Sr. ","San Jose, Calif.  (Gunderson) ",2006
5,"Charles Stewart**","CB ","6-1 ",196,"Jr./So. ","Farmington Hills, Mich.  (Harrison) ",2006
17,"Carl Tabb****","WR ","6-2 ",204,"5th/Sr. ","Ann Arbor, Mich.  (Huron) ",2006
67,"Terrance Taylor**","DT ","6-0 ",305,"So./So. ","Muskegon, Mich.  (Muskegon) ",2006
49,"John Thompson**","ILB ","6-1 ",234,"Jr./So. ","Detroit, Mich.  (Crockett Technical) ",2006
35,"Brian Thompson****","TE ","6-2 ",240,"5th/Sr. ","Saginaw, Mich.  (Nouvel Catholic) ",2006
25,"Robbie Thornbladh","FB ","6-1 ",225,"Fr./Fr. ","Ann Arbor, Mich.  (Pioneer) ",2006
14,"Morgan Trent**","CB ","6-1 ",184,"Jr./So. ","San Diego, Calif.  (Orchard Lake St. Mary's) ",2006
50,"Jeremy Van Alstyne****","DE ","6-4 ",266,"5th/Sr. ","Greenwood, Ind.  (Center Grove) ",2006
95,"Marques Walton","DT ","6-0 ",292,"Jr./So. ","Chicago, Ill.  (Hubbard) ",2006
56,"LaMarr Woodley**** (c)","DE ","6-2 ",269,"Sr./Sr. ","Saginaw, Mich.  (Saginaw) ",2006
18,"Ben Wright","WR ","5-9 ",196,"Jr./So. ","Grosse Pointe, Mich.  (Grosse Pointe North) ",2006
43,"Bryan Wright","PK ","6-1 ",206,"Fr./Fr. ","Salem, Ohio  (Salem) ",2006
10,"Jeff Ziegler","QB ","6-6 ",205,"Fr./Fr. ","Dexter, Mich.  (Dexter) ",2006
75,"Cory Zirbel","OL ","6-5 ",296,"So./Fr. ","Murray, Ky.  (Murray) ",2006
22,"Jamar Adams**","S ","6-2 ",208,"So./So. ","Charlotte, N.C.  (Butler) ",2005
16,"Adrian Arrington*","WR ","6-3 ",187,"So./So. ","Cedar Rapids, Iowa  (Washington) ",2005
8,"Jason Avant*** (c)","WR ","6-1 ",213,"Sr./Sr. ","Chicago, Ill.  (Carver) ",2005
19,"Willis Barringer***","S ","6-0 ",207,"Sr./Jr. ","Toledo, Ohio  (Scott) ",2005
18,"Antonio Bass*","WR ","6-0 ",197,"Fr./Fr. ","Jackson, Mich.  (Jackson) ",2005
91,"Rondell Biggs***","DE ","6-3 ",270,"Sr./Jr. ","Southfield, Mich.  (Southfield Lathrup) ",2005
54,"Mark Bihl***","OL ","6-5 ",303,"Sr./Jr. ","Washington Court House, Ohio  (W.C.H.) ",2005
17,"James Bloomsburgh","PK ","5-10 ",208,"Sr./Sr. ","Berkeley, Calif.  (DeLaSalle Catholic) ",2005
61,"Turner Booth*","LS ","6-2 ",260,"Sr./Jr. ","Baltimore, Md.  (Rockville) ",2005
26,"Alijah Bradley**","RB ","5-6 ",176,"Sr./Jr. ","Richmond, Calif.  (DeLaSalle Catholic) ",2005
80,"Alan Branch**","DT ","6-6 ",311,"So./So. ","Rio Rancho, N.M.  (Cibola) ",2005
15,"Steve Breaston***","WR ","6-1 ",178,"Sr./Jr. ","North Braddock, Pa.  (Woodland Hills) ",2005
6,"Prescott Burgess***","OLB ","6-3 ",243,"Jr./Jr. ","Warren, Ohio  (Warren G. Harding) ",2005
85,"Carson Butler","TE ","6-4 ",245,"Fr./Fr. ","Detroit, Mich.  (Renaissance) ",2005
9,"Anton Campbell**","S ","5-11 ",198,"Jr./So. ","O'Fallon, Mo.  (Fort Zumwalt West) ",2005
26,"Mike Carl*","S ","6-0 ",206,"Sr./Sr. ","Troy, Mich.  (Athens) ",2005
15,"Chip Cartwright","ILB ","6-0 ",231,"Sr./Sr. ","Hartford, Mich.  (Lawrence) ",2005
45,"Brad Cischke","WR ","6-4 ",209,"Sr./Sr. ","Troy, Mich.  (Troy Athens) ",2005
70,"Jeremy Ciulla","OL ","6-4 ",300,"So./Fr. ","Kennesaw, Ga.  (Kennesaw Mountain) ",2005
2,"Shawn Crable**","OLB ","6-5 ",245,"Jr./So. ","Massillon, Ohio  (Washington) ",2005
39,"Andre Criswell","FB ","6-1 ",248,"Fr./Fr. ","Detroit, Mich.  (Renaissance) ",2005
64,"Grant DeBenedictis","OL ","6-5 ",294,"So./Fr. ","Boca Raton, Fla.  (St. Andrews) ",2005
81,"Doug Dutch Jr.*","WR ","5-11 ",191,"So./Fr. ","Bowie, Md.  (Gonzaga College) ",2005
89,"Tyler Ecker***","TE ","6-6 ",251,"Sr./Jr. ","El Dorado Hills, Calif.  (Oak Ridge) ",2005
27,"Shakir Edwards","DB ","6-0 ",207,"So./So. ","Detroit, Mich.  (Martin Luther King) ",2005
44,"Jason Eldridge","RB ","5-8 ",184,"Sr./Sr. ","Oxford, Mich.  (Oxford) ",2005
31,"Brandent Englemon**","S ","5-11 ",202,"Jr./So. ","Covington, Ky.  (Holmes) ",2005
19,"Jason Forcier","QB ","6-2 ",214,"Fr./Fr. ","San Diego, Calif.  (St. Augustine) ",2005
74,"Brett Gallimore","OL ","6-4 ",309,"So./Fr. ","Parkville, Mo.  (Park Hill South) ",2005
96,"Eugene Germany","DE ","6-2 ",258,"Fr./Fr. ","Pomona, Calif.  (Pomona) ",2005
34,"Jason Gingell","PK ","5-9 ",183,"So./Fr. ","Northville, Mich.  (Catholic Central) ",2005
3,"Kevin Grady*","RB ","5-9 ",227,"Fr./Fr. ","Grand Rapids, Mich.  (East Grand Rapids) ",2005
37,"Chris Graham**","ILB ","5-11 ",224,"So./So. ","Indianapolis, Ind.  (Warren Central) ",2005
71,"Sean Griffin","LS ","6-1 ",227,"So./So. ","Livonia, Mich.  (Catholic Central) ",2005
12,"Matt Gutierrez**","QB ","6-4 ",231,"Sr./Jr. ","Concord, Calif.  (DeLaSalle) ",2005
29,"Leon Hall***","CB ","5-11 ",194,"Jr./Jr. ","Vista, Calif.  (Vista) ",2005
33,"Scott Hamel","RB ","5-10 ",207,"Sr./Sr. ","Rye, N.Y.  (Rye) ",2005
45,"David Harris**","ILB ","6-2 ",251,"Sr./Jr. ","Grand Rapids, Mich.  (Ottawa Hills) ",2005
27,"Brandon Harrison*","S ","5-8 ",199,"Fr./Fr. ","Dayton, Ohio  (Chaminade-Julienne) ",2005
20,"Mike Hart**","RB ","5-9 ",193,"So./So. ","Syracuse, N.Y.  (Onondaga Central) ",2005
65,"Leo Henige Jr.**","OL ","6-4 ",328,"5th/Sr. ","Chesaning, Mich.  (Chesaning) ",2005
7,"Chad Henne**","QB ","6-2 ",226,"So./So. ","Wyomissing, Pa.  (Wilson) ",2005
4,"Darnell Hood***","CB ","5-11 ",193,"Sr./Jr. ","Detroit, Mich.  (Bishop Gallagher) ",2005
24,"Jerome Jackson***","RB ","5-11 ",200,"Jr./Jr. ","Saginaw, Mich.  (Saginaw) ",2005
90,"Tim Jamison*","RLB ","6-3 ",255,"So./So. ","Riverdale, Ill.  (Harvey Thornton) ",2005
97,"Will Johnson*","DT ","6-5 ",291,"So./Fr. ","Oakland, Mich.  (Lake Orion) ",2005
14,"Tyrone Jordan II","WR ","5-10 ",187,"Jr./Jr. ","Flushing, Mich.  (Flushing) ",2005
13,"Jeff Kastl*","QB ","6-3 ",227,"Sr./Sr. ","Clinton Township, Mich.  (Chippewa Valley) ",2005
76,"Mike Kolodziej***","OL ","6-7 ",323,"Sr./Jr. ","Joliet, Ill.  (Joliet Catholic Academy) ",2005
57,"Adam Kraus**","OL ","6-6 ",307,"Jr./So. ","New Orleans, La.  (Brother Martin) ",2005
67,"Matt Lentz**","OL ","6-6 ",311,"5th/Sr. ","Ortonville, Mich.  (Brandon) ",2005
37,"James Logan","DB ","5-9 ",187,"So./So. ","Detroit, Mich.  (Mumford) ",2005
46,"Brandon Logan*","LB ","6-0 ",211,"Fr./Fr. ","Lexington, Ky.  (Lexington Catholic) ",2005
77,"Jake Long**","OL ","6-7 ",330,"Jr./So. ","Lapeer, Mich.  (Lapeer East) ",2005
84,"K.C. Lopata","PK ","6-2 ",190,"So./So. ","Farmington, Mich.  (Farmington) ",2005
60,"Patrick Lyall","OL ","6-0 ",289,"So./So. ","Adrian, Mich.  (Adrian) ",2005
86,"Mario Manningham*","WR ","6-0 ",183,"Fr./Fr. ","Warren, Ohio  (Warren G. Harding) ",2005
23,"Max Martin*","RB ","6-1 ",216,"So./So. ","Madison, Ala.  (Bob Jones) ",2005
13,"Grant Mason*","CB ","6-0 ",192,"5th/Sr. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2005
88,"Tim Massaquoi***","TE ","6-4 ",252,"5th/Sr. ","Allentown, Pa.  (Parkland) ",2005
83,"Mike Massey*","TE ","6-4 ",238,"So./Fr. ","Brecksville, Ohio  (St. Ignatius) ",2005
94,"Pat Massey*** (c)","DT ","6-8 ",283,"5th/Sr. ","Brecksville, Ohio  (Saint Ignatius) ",2005
62,"Tim McAvoy","OL ","6-5 ",278,"Fr./Fr. ","Bloomington, Ill.  (Bloomington) ",2005
36,"Scott McClintock***","ILB ","6-2 ",244,"5th/Sr. ","Belle Vernon, Pa.  (Belle Vernon) ",2005
44,"James McKinney","RLB ","6-2 ",288,"Fr./Fr. ","Louisville, Ky.  (Central) ",2005
42,"Chris McLaurin","LB ","6-3 ",239,"Fr./Fr. ","Rochester Hills, Mich.  (Orchard Lake St. Mary's) ",2005
41,"Zoltan Mesko","P ","6-4 ",227,"Fr./Fr. ","Twinsburg, Ohio  (Twinsburg) ",2005
73,"Alex Mitchell","OL ","6-5 ",314,"So./Fr. ","Bay City, Mich.  (Bay City Central) ",2005
31,"Craig Moore","PK ","5-10 ",181,"Sr./Sr. ","San Diego, Calif.  (The Bishop's School) ",2005
28,"Dan Moore","ILB ","6-0 ",230,"Jr./Jr. ","Canton, Mich.  (Catholic Central) ",2005
60,"David Moosman","OL ","6-4 ",297,"Fr./Fr. ","Libertyville, Ill.  (Libertyville) ",2005
21,"Ryan Mundy**","S ","6-1 ",202,"Jr./Jr. ","Wilkins Township, Pa.  (Woodland Hills) ",2005
53,"Kyle Myers","LB ","6-0 ",228,"Sr./Sr. ","Belleville, Mich.  (Belleville) ",2005
30,"Kevin Norris","WR ","6-1 ",175,"Jr. ","Detroit, Mich.  (Martin Luther King) ",2005
58,"Tim North","DE ","6-1 ",244,"Fr./Fr. ","Linden, Mich.  (Linden) ",2005
40,"Obi Oluigbo**","FB ","6-0 ",230,"Sr./Jr. ","Laurel, Md.  (Episcopal) ",2005
55,"Ohene Opong-Owusu","LB ","6-1 ",227,"Fr./Fr. ","West Bloomfield, Mich.  (Walled Lake Western) ",2005
38,"B.J. Opong-Owusu**","S ","5-11 ",196,"Sr./Jr. ","West Bloomfield, Mich.  (Walled Lake Western) ",2005
71,"Mark Ortmann","OL ","6-6 ",288,"Fr./Fr. ","Klein, Texas  (Klein) ",2005
34,"Will Paul**","DT ","6-3 ",261,"Jr./So. ","Chesterfield, Mo.  (Parkway West) ",2005
22,"Kyle Plummer","CB ","5-10 ",169,"Jr./Jr. ","Milford, Mich.  (Milford) ",2005
97,"Max Pollock","OLB ","6-1 ",227,"Jr./Jr. ","Takoma Park, Md.  (Montgomery Blair) ",2005
28,"Chris Richards","CB ","5-11 ",166,"Fr./Fr. ","Pacoima, Calif.  (James Monroe) ",2005
72,"Rueben Riley Jr.**","OL ","6-4 ",311,"Sr./Jr. ","Grand Rapids, Mich.  (Creston) ",2005
38,"Garrett Rivas***","PK ","5-9 ",216,"Jr./Jr. ","Tampa, Fla.  (Jesuit) ",2005
3,"Ross Ryan*","P ","6-1 ",206,"Sr./Jr. ","Franklin, Mich.  (Brother Rice) ",2005
62,"Jon Saigh","OL ","6-4 ",297,"So./Fr. ","Kingsford, Mich.  (Kingsford) ",2005
66,"Paul Sarantos","DT ","6-3 ",263,"Sr./Jr. ","Portage, Mich.  (Northern) ",2005
82,"LaTerryal Savoy","WR ","6-2 ",207,"Fr./Fr. ","Mamou, La.  (Mamou) ",2005
78,"Justin Schifano","OL ","6-4 ",325,"Fr./Fr. ","Webster, N.Y.  (Schroeder) ",2005
69,"David Schoonover*","OL ","6-4 ",290,"5th/Sr. ","DeWitt, Mich.  (DeWitt) ",2005
25,"Johnny Sears","CB ","6-0 ",180,"Fr./Fr. ","Fresno, Calif.  (Edison) ",2005
68,"Pat Sharrow","OL ","6-5 ",298,"Jr./So. ","Monroe, Mich.  (Monroe) ",2005
32,"Mister Simpson","RB ","5-10 ",207,"Fr./Fr. ","Cincinnati, Ohio  (Colerain) ",2005
12,"Landon Smith","WR ","5-8 ",171,"Jr./Jr. ","San Jose, Calif.  (Gunderson) ",2005
43,"Mark Spencer","P ","6-0 ",219,"Sr./Jr. ","Ann Arbor, Mich.  (Pioneer) ",2005
79,"Adam Stenavich***","OL ","6-5 ",321,"5th/Sr. ","Marshfield, Wis.  (Marshfield) ",2005
5,"Charles Stewart*","CB ","6-1 ",193,"So./Fr. ","Farmington Hills, Mich.  (Harrison) ",2005
17,"Carl Tabb***","WR ","6-2 ",196,"Sr./Jr. ","Ann Arbor, Mich.  (Huron) ",2005
67,"Terrance Taylor*","DT ","6-0 ",301,"Fr./Fr. ","Muskegon, Mich.  (Muskegon) ",2005
49,"John Thompson*","ILB ","6-1 ",229,"So./Fr. ","Detroit, Mich.  (Crockett Technical) ",2005
35,"Brian Thompson***","FB ","6-2 ",237,"Sr./Jr. ","Saginaw, Mich.  (Nouvel Catholic) ",2005
14,"Morgan Trent*","CB ","6-1 ",190,"So./Fr. ","San Diego, Calif.  (Orchard Lake St. Mary's) ",2005
50,"Jeremy Van Alstyne***","DE ","6-4 ",270,"Sr./Jr. ","Greenwood, Ind.  (Center Grove) ",2005
49,"Eric Van Beek","FB ","5-11 ",229,"So./So. ","Edwardsville, Ill.  (Edwardsville) ",2005
95,"Marques Walton","DT ","6-0 ",280,"So./Fr. ","Chicago, Ill.  (Hubbard) ",2005
78,"Gabe Watson***","DT ","6-4 ",331,"Sr./Sr. ","Novi, Mich.  (Southfield) ",2005
8,"Matt Wilde","QB ","6-2 ",200,"Sr./Sr. ","Troy, Mich.  (Seaholm) ",2005
56,"LaMarr Woodley***","RLB ","6-2 ",274,"Jr./Jr. ","Saginaw, Mich.  (Saginaw) ",2005
99,"Pierre Woods***","OLB ","6-5 ",249,"5th/Sr. ","Cleveland, Ohio  (Glenville) ",2005
18,"Ben Wright","WR ","5-9 ",182,"So./So. ","Grosse Pointe, Mich.  (Grosse Pointe North) ",2005
75,"Cory Zirbel","OL ","6-5 ",291,"Fr./Fr. ","Murray, Ky.  (Murray) ",2005
22,"Jamar Adams*","S ","6-2 ",201,"Fr./Fr. ","Charlotte, N.C.  (Butler) ",2004
43,"Roger Allison","FB ","6-1 ",228,"Fr./Fr. ","Lake Orion, Mich.  (Lake Orion) ",2004
16,"Adrian Arrington*","WR ","6-3 ",176,"Fr./Fr. ","Cedar Rapids, Iowa  (Washington) ",2004
