Brigham Young,#001E4C,#d1d1b5
Colorado State,#00A550,#FFFFFF
New Mexico,#CCCCCC,#E8112D
San Diego State,#A81933,#000000
TCU,#342A7B,#FFFFFF
UNLV,,
Utah,#CC0000,#FFFFFF
Wyoming,#492f24,#ffc425
Bryant University,#000000,#BDB76B
Central Connecticut State,#00539B,#FFFFFF
Fairleigh Dickinson,,
Long Island,#ccccff,#ccccff
Monmouth,#186ed1,#186ed1
Mount St. Marys,,
Quinnipiac,#003664,#C2980B
Robert Morris,#000064,#646464
Sacred Heart,#B22222,#FFFFFF
St. Francis (NY),#191970,#AE2029
St. Francis (PA),,
Wagner,#186ed1,#186ed1
Austin Peay,#D2DDFC,#D2DDFC
Eastern Illinois,#0000FF,#808080
Eastern Kentucky,#7A0019,#FFFFFF
Jacksonville State,#a02643,#a02643
Morehead State,#edd5a6,#edd5a6
Murray State,#000033,#FFCC00
Southeast Missouri State,#FF0000,#000000
Tennessee State,#D2DDFC,#D2DDFC
Tennessee Tech,#D2DDFC,#D2DDFC
Tennessee-Martin,#a02643,#a02643
Arizona,#C41E3A,#000060
Arizona State,#800000,#FFD700
California,#191970,#FCD116
Oregon,#006666,#FFCC00
Oregon State,#CC5500,#000000
Stanford,#990000,#FFFFFF
UCLA,,
USC,,
Washington,#363c74,#e8d3a2
Washington State,#9e1b34,#606a74
American University,#b5013b,#3600a0
Army,#000000,#FFD700
Bucknell,#FF9900,#003399
Colgate,#ca030a,#ca030a
Holy Cross,#660066,#C0C0C0
Lafayette,#800000,#ca030a
Lehigh,,
Navy,#000080,#D4AF37
Alabama,#990000,#ffffff
Arkansas,#C41E3A,#FFFFFF
Auburn,#dd550c,#03244d
Florida,#FF4A00,#0021A5
Georgia,#FF0000,#000000
Kentucky,#00407a,#ffffff
LSU,#461D7C,#FDD023
Mississippi,,
Mississippi State,#74302E,#FFFFFF
South Carolina,#8C2633,#000000
Tennessee,#f77f00,#FFFFFF
Vanderbilt,#000000,#997F3D
Appalachian State,#000000,#ffcf00
Charleston,,
Chattanooga,,
Citadel,#B0C4DE,#B0C4DE
Davidson,#FF0000,#000000
Elon,#660000,#C99F05
Furman,#6B3FA0,#120a8f
Georgia Southern,#000080,#FFFFFF
Samford,#ca1009,#14295e
UNC Greensboro,#FFCC00,#FFFFFF
Western Carolina,#592c87,#c0a878
Wofford,#CFB53B,#000000
Central Arkansas,,
Lamar,#FF2222,#FFFFFF
McNeese State,#081C90,#081C90
Nicholls State,#081C90,#081C90
Northwestern State,#660099,#FFFFFF
Sam Houston State,#5858FA,#5858FA
Southeastern Louisiana,#006643,#EAAB00
Stephen F. Austin,,
Texas A&M-CC,,
Texas State,,
Texas-Arlington,,
Texas-San Antonio,,
Alabama A&M,,
Alabama State,#000000,#000000
Alcorn State,#4b0082,#daa520
Arkansas-Pine Bluff,#C41E3A,#C41E3A
Grambling State,#000000,#FFD700
