OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
 155,UNLV,A,51.47 ,2,10,69.16,66,0,2,0,3
 156,Citadel,AA,51.02 ,4,7,53.03,162,0,1,0,1
 157,Holy Cross,AA,50.79 ,6,5,49.07,178,0,0,0,0
 158,Norfolk State,AA,50.43 ,9,3,41.54,209,0,0,0,1
 159,Georgetown,AA,49.97 ,8,3,41.51,210,0,0,0,0
 160,Missouri State,AA,49.93 ,2,9,63.74,108,0,2,0,2
 161,Tennessee Tech,AA,49.71 ,7,4,47.82,185,0,0,0,0
 162,Bethune-Cookman,AA,49.64 ,8,3,40.05,219,0,0,0,0
 163,Murray State,AA,49.63 ,7,4,43.45,200,0,0,0,0
 164,Jacksonville State,AA,49.63 ,7,4,46.6,190,0,0,0,0
