OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
  55,Washington,A,73.81 ,4,9,78.44,2,0,2,1,5
  56,Colorado,A,73.81 ,6,7,75.86,14,1,2,2,3
  57,Purdue,A,73.76 ,8,5,67.8,71,0,0,0,3
  58,New Mexico,A,73.48 ,9,4,65.17,85,0,0,0,1
  59,Georgia Tech,A,73.07 ,7,6,70,62,0,2,1,3
  60,Fresno State,A,72.71 ,9,4,64.32,95,0,1,0,1
  61,Nebraska,A,72.69 ,5,7,77.45,4,0,3,1,5
  62,Northern Iowa,AA,72.33 ,12,1,53.39,146,0,0,0,0
  63,Washington State,A,72.29 ,5,7,76.04,12,0,2,0,5
  64,East Carolina,A,71.37 ,8,5,67.31,76,0,2,0,2
  65,Tulsa,A,70.69 ,10,4,63.46,99,0,1,1,1
  66,Pittsburgh,A,70.43 ,5,7,72.39,46,1,0,2,1
  67,Richmond,AA,70.13 ,11,3,58.62,131,0,0,0,0
  68,NC State,A,69.69 ,5,7,74.33,31,0,0,0,3
  69,North Carolina,A,69.61 ,4,8,74.11,34,0,1,0,3
  70,Stanford,A,69.05 ,4,8,76.29,10,1,1,2,3
  71,North Dakota State,AA,68.80 ,10,1,50.03,160,0,0,0,0
  72,Indiana,A,68.70 ,7,6,65.69,82,0,0,0,3
  73,Delaware,AA,68.64 ,11,4,60.12,121,0,0,0,0
  74,Navy,A,68.40 ,8,5,64.99,89,0,0,0,1
  75,Miami-Florida,A,68.18 ,5,7,71.87,50,0,2,0,3
  76,Southern Illinois,AA,68.14 ,12,2,51.09,158,0,0,0,0
  77,Massachusetts,AA,67.97 ,10,3,57.46,134,0,0,0,1
  78,Florida Atlantic,A,67.78 ,8,5,66.21,80,0,1,0,4
  79,Iowa,A,67.70 ,6,6,67.61,75,0,0,1,1
  80,Mississippi,A,67.64 ,3,9,75.93,13,0,4,0,6
  81,James Madison,AA,66.66 ,8,4,57.12,135,0,0,0,0
  82,Central Michigan,A,66.44 ,8,6,65.09,86,0,1,0,2
  83,Ball State,A,65.90 ,7,6,64.55,94,0,0,0,1
  84,Houston,A,65.76 ,8,5,60.04,122,0,1,0,1
  85,Wyoming,A,65.40 ,5,7,69.66,64,0,0,0,1
  86,Northwestern,A,65.30 ,6,6,67.92,70,0,0,0,3
  87,Wofford,AA,65.24 ,9,4,57.68,133,0,0,0,0
  88,Southern Miss,A,64.80 ,7,6,62.03,109,0,0,0,2
  89,San Diego State,A,64.66 ,4,8,71.11,55,0,0,0,3
  90,Notre Dame,A,64.55 ,3,9,75.27,24,0,1,0,4
  91,Colorado State,A,64.02 ,3,9,71.02,56,0,0,0,2
  92,Iowa State,A,63.88 ,3,9,75.62,20,0,3,0,5
  93,Villanova,AA,63.55 ,7,4,59.37,125,0,0,0,0
  94,Elon,AA,62.81 ,7,4,60.33,120,0,0,0,1
  95,Louisiana-Monroe,A,62.59 ,6,6,64.61,93,0,0,0,1
  96,New Hampshire,AA,62.48 ,7,5,57.09,136,0,0,0,0
  97,Georgia Southern,AA,62.35 ,7,4,58.79,128,0,0,0,0
  98,South Dakota State,AA,62.30 ,7,4,53.2,147,0,0,0,0
  99,Bowling Green,A,62.27 ,8,5,61.85,111,0,0,0,1
 100,McNeese State,AA,61.81 ,11,1,44.69,185,0,0,0,0
 101,Middle Tennessee,A,61.78 ,5,7,64.97,90,0,1,0,1
 102,Nevada,A,61.58 ,6,7,62.58,106,0,0,0,0
 103,Citadel,AA,60.94 ,7,4,55.92,140,0,0,0,0
 104,Montana,AA,60.86 ,11,1,44.8,184,0,0,0,0
 105,Youngstown State,AA,60.83 ,7,4,55,141,0,0,0,1
 106,Western Michigan,A,60.23 ,5,7,63.4,101,0,2,0,2
 107,Furman,AA,60.11 ,6,5,58.66,130,0,0,0,1
 108,Hofstra,AA,59.94 ,7,4,54.77,142,0,0,0,0
 109,Duke,A,59.70 ,1,11,74.54,28,0,1,0,3
 110,Eastern Washington,AA,59.67 ,9,4,52.16,152,0,0,0,1
 111,Louisiana Tech,A,59.47 ,5,7,65.86,81,0,1,0,2
 112,San Jose State,A,59.23 ,5,7,65.06,87,0,0,0,1
 113,Syracuse,A,59.12 ,2,10,74.26,32,0,1,0,4
 114,Ohio University,A,59.11 ,6,6,58.94,127,0,1,0,1
 115,Buffalo,A,58.88 ,5,7,62.4,107,0,0,0,1
 116,Miami-Ohio,A,58.78 ,6,7,63.83,97,0,0,0,1
 117,Baylor,A,58.75 ,3,9,73.62,39,0,2,0,5
 118,Western Kentucky,A,58.71 ,7,5,54.08,145,0,1,0,1
 119,Arkansas State,A,58.71 ,5,7,62.89,104,0,0,0,2
 120,UNLV,A,58.63 ,2,10,70.75,58,0,0,0,1
 121,Yale,AA,58.15 ,9,1,42.48,199,0,0,0,0
 122,Western Illinois,AA,57.83 ,6,5,56.25,139,0,0,0,1
 123,Minnesota,A,57.72 ,1,11,71.12,54,0,0,0,3
 124,Memphis,A,57.69 ,7,6,58.74,129,0,0,0,0
 125,Marshall,A,57.60 ,3,9,67.71,73,0,1,0,2
 126,Toledo,A,57.49 ,5,7,63.44,100,0,1,0,1
 127,Akron,A,56.67 ,4,8,64.05,96,0,0,0,1
 128,Eastern Michigan,A,56.25 ,4,8,62.87,105,0,0,0,1
 129,Liberty,AA,56.10 ,8,3,42.73,197,0,0,0,0
 130,UTEP,A,55.94 ,4,8,60.4,119,0,0,0,1
 131,Army,A,55.51 ,3,9,67.21,77,0,0,0,2
 132,Harvard,AA,54.77 ,8,2,45.04,180,0,0,0,0
 133,Holy Cross,AA,54.72 ,7,4,47.22,171,0,0,0,0
 134,Dayton,AA,54.44 ,11,1,35.77,227,0,0,0,0
 135,Temple,A,54.31 ,4,8,61.81,112,0,0,0,1
 136,Eastern Kentucky,AA,54.07 ,9,3,44.91,182,0,0,0,1
 137,Louisiana-Lafayette,A,53.98 ,3,9,65,88,0,0,0,1
 138,Cal Poly-SLO,AA,53.74 ,7,4,45.72,177,0,0,0,0
 139,Kent State,A,53.41 ,3,9,63.27,102,0,0,0,2
 140,William & Mary,AA,53.40 ,4,7,60.82,118,0,1,0,1
 141,Tulane,A,52.97 ,4,8,60.9,117,0,1,0,1
 142,Utah State,A,52.55 ,2,10,66.77,79,0,1,0,1
 143,Delaware State,AA,52.43 ,10,2,42.82,196,0,0,0,0
 144,Sam Houston State,AA,51.77 ,7,4,52.02,153,0,0,0,1
 145,Northeastern,AA,51.75 ,3,8,59.51,124,0,0,0,0
 146,UC Davis,AA,51.35 ,5,6,52.89,149,0,0,0,0
 147,Illinois State,AA,51.03 ,4,7,54.72,143,0,1,0,1
 148,Fordham,AA,51.03 ,8,4,44.43,188,0,0,0,0
 149,Missouri State,AA,50.98 ,6,5,51.76,154,0,0,0,0
 150,Northern Illinois,A,50.86 ,2,10,61.94,110,0,0,0,0
 151,SC State,AA,50.81 ,7,4,45.74,176,0,0,0,0
 152,Rice,A,50.78 ,3,9,62.1,108,0,0,0,2
 153,New Mexico State,A,50.73 ,4,9,61.04,116,0,0,0,1
 154,Grambling,AA,50.46 ,8,4,43.99,191,0,0,0,0
 155,Colgate,AA,50.41 ,7,4,46.05,174,0,0,0,0
 156,Albany-NY,AA,50.24 ,8,4,42.03,203,0,0,0,0
 157,UAB,A,50.23 ,2,10,65.2,84,0,0,0,0
 158,Northern Arizona,AA,50.03 ,6,5,51.56,156,0,0,0,0
 159,Chattanooga,AA,49.66 ,2,9,61.08,114,0,0,0,1
 160,Rhode Island,AA,49.38 ,3,8,59.15,126,0,0,0,0
 161,Maine,AA,49.29 ,4,7,56.45,138,0,0,0,0
 162,Central Arkansas,AA,48.76 ,6,5,48.12,167,0,0,0,0
 163,Towson,AA,48.73 ,3,8,56.71,137,0,0,0,0
 164,San Diego,AA,48.72 ,9,2,33.47,235,0,0,0,0
 165,Jackson State,AA,48.70 ,8,4,38.84,218,0,0,0,0
 166,Stony Brook,AA,48.15 ,6,5,48.74,164,0,0,0,0
 167,Lafayette,AA,48.11 ,7,4,41.01,206,0,0,0,0
 168,North Texas,A,47.45 ,2,10,64.86,91,0,1,0,2
 169,SMU,A,47.44 ,1,11,63.04,103,0,0,0,1
 170,Fla. International,A,47.42 ,1,11,69.12,66,0,1,0,3
 171,Lehigh,AA,47.05 ,5,6,46,175,0,0,0,0
 172,Nicholls State,AA,47.01 ,6,5,48.55,165,0,0,0,0
 173,Eastern Illinois,AA,46.54 ,8,4,42.22,202,0,0,0,0
 174,Norfolk State,AA,46.19 ,8,3,42.57,198,0,0,0,0
 175,Idaho,A,45.97 ,1,11,64.78,92,0,1,0,1
 176,Alabama A&M,AA,45.78 ,8,3,38.49,219,0,0,0,0
 177,Montana State,AA,45.33 ,6,5,47.7,169,0,0,0,0
 178,Southern University,AA,45.26 ,8,3,37.22,222,0,0,0,0
 179,Hampton,AA,44.86 ,6,5,41.94,204,0,0,0,0
 180,Brown,AA,44.71 ,5,5,43.91,192,0,0,0,0
 181,Texas State,AA,44.60 ,4,7,49.4,163,0,0,0,0
 182,Prairie View A&M,AA,44.57 ,7,3,37.03,223,0,0,0,0
 183,Coastal Carolina,AA,44.51 ,5,6,48.1,168,0,0,0,0
 184,Weber State,AA,43.96 ,5,6,49.84,161,0,0,0,0
 185,Pennsylvania,AA,43.94 ,4,6,44.89,183,0,0,0,0
 186,Western Carolina,AA,42.55 ,1,10,63.6,98,0,1,0,1
 187,Jacksonville State,AA,42.22 ,6,5,40.02,213,0,0,0,0
 188,Gardner-Webb,AA,41.96 ,5,6,46.55,173,0,0,0,0
 189,Winston-Salem State,AA,41.51 ,6,5,39.07,216,0,0,0,0
 190,Cornell,AA,41.50 ,5,5,42.36,201,0,0,0,0
 191,Sacramento State,AA,41.07 ,3,8,51.58,155,0,0,0,0
 192,Portland State,AA,40.92 ,3,8,49.8,162,0,0,0,0
 193,Princeton,AA,40.88 ,4,6,45.44,178,0,0,0,0
 194,Northwestern State,AA,40.86 ,4,7,52.9,148,0,0,0,1
 195,Dartmouth,AA,40.39 ,3,7,48.25,166,0,0,0,0
 196,SE Louisiana,AA,39.49 ,3,8,52.6,151,0,1,0,1
 197,Tennessee-Martin,AA,38.86 ,4,7,40.59,208,0,0,0,0
 198,Alabama State,AA,38.13 ,5,6,39.29,215,0,0,0,0
 199,Davidson,AA,38.06 ,6,4,35.12,231,0,0,0,0
 200,Ark.-Pine Bluff,AA,38.03 ,4,7,43.64,193,0,0,0,0
 201,Tennessee State,AA,37.95 ,5,6,40.14,212,0,0,0,0
 202,Morehead State,AA,37.77 ,7,4,35.38,230,0,0,0,0
 203,Drake,AA,37.65 ,6,5,40.5,209,0,0,0,0
 204,Southern Utah,AA,37.58 ,0,11,61.06,115,0,0,0,0
 205,Morgan State,AA,37.56 ,5,6,37,224,0,0,0,0
 206,Presbyterian College,AA,36.98 ,6,5,43.23,194,0,0,0,0
 207,Austin Peay,AA,36.55 ,7,4,35.56,228,0,0,0,0
 208,Idaho State,AA,36.24 ,3,8,50.9,159,0,0,0,1
 209,Monmouth-NJ,AA,35.94 ,4,6,38.43,220,0,0,0,0
 210,Charleston Southern,AA,35.33 ,5,6,47,172,0,0,0,0
 211,Bethune-Cookman,AA,35.13 ,5,6,35.55,229,0,0,0,0
 212,Central Connecticut,AA,33.66 ,6,5,38.39,221,0,0,0,0
 213,Howard,AA,33.54 ,4,7,41.73,205,0,0,0,0
 214,Bucknell,AA,33.50 ,3,8,44.04,190,0,0,0,0
 215,Florida A&M,AA,32.99 ,3,8,40.2,211,0,0,0,0
 216,Samford,AA,32.02 ,4,7,42.39,200,0,0,0,0
 217,Tennessee Tech,AA,31.77 ,4,7,44.63,186,0,0,0,1
 218,Iona,AA,30.97 ,7,4,30.39,238,0,0,0,0
 219,Columbia,AA,30.95 ,1,9,44.39,189,0,0,0,0
 220,Alcorn State,AA,30.92 ,2,8,40.95,207,0,0,0,0
 221,Northern Colorado,AA,30.26 ,1,11,51.49,157,0,0,0,0
 222,Wagner,AA,29.91 ,7,4,25.94,242,0,0,0,0
 223,Robert Morris,AA,29.57 ,4,6,33.93,234,0,0,0,0
 224,Duquesne,AA,29.54 ,6,4,27.11,240,0,0,0,0
 225,Stephen F. Austin,AA,29.54 ,0,11,52.84,150,0,0,0,0
 226,Miss. Valley State,AA,28.42 ,3,8,39.96,214,0,0,0,0
 227,VMI,AA,27.58 ,2,9,47.25,170,0,0,0,0
 228,NC Central,AA,27.03 ,6,4,34.7,232,0,0,0,0
 229,Murray State,AA,26.42 ,2,9,44.57,187,0,0,0,0
 230,Valparaiso,AA,26.30 ,5,6,36.07,226,0,0,0,0
 231,SE Missouri State,AA,25.93 ,3,8,42.98,195,0,0,0,1
 232,Georgetown,AA,25.92 ,1,10,45.42,179,0,0,0,0
 233,Jacksonville,AA,22.64 ,3,8,36.57,225,0,0,0,0
 234,St. Francis-Pa.,AA,21.92 ,3,7,32.19,237,0,0,0,0
 235,Marist,AA,20.46 ,3,8,32.32,236,0,0,0,0
 236,Texas Southern,AA,19.87 ,0,11,44.96,181,0,0,0,0
 237,NC A&T,AA,19.59 ,0,11,40.37,210,0,0,0,0
 238,Indiana State,AA,19.30 ,0,11,54.09,144,0,0,0,0
 239,Sacred Heart,AA,18.27 ,3,8,28.31,239,0,0,0,0
 240,Butler,AA,15.78 ,4,7,39.04,217,0,0,0,0
 241,Savannah State,AA,8.98 ,1,9,34.24,233,0,0,0,0
 242,La Salle,AA,0.89 ,0,10,26.04,241,0,0,0,0
