team,official,nickname,color1,color2,color3,color4,conference,subdivision,address,lat,lon
Middle Tennessee State,Middle Tennessee State University,Blue Raiders,#0079C2,#FFFFFF,#231F20,,Conference USA,FBS,"1301 East Main Street, Murfreesboro, TN, 37132",35.843317,-86.370542
Minnesota,University of Minnesota: Twin Cities,Golden Gophers,#7F011B,#FFF63E,#FFFFFF,,Big 10,FBS,"100 Church Street SE, Minneapolis, MN, 55455-0213",44.975895,-93.234615
Mississippi,University of Mississippi,Rebels,#002C91,#FF002C,#FFFFFF,,SEC,FBS,"1848 University Circle, University, MS, 38677-1848",34.3650835,-89.5356695
Mississippi State,Mississippi State University,Bulldogs,#762123,#D1D5D8,#FFFFFF,,SEC,FBS,"PO Box 6018, Mississippi State, MS, 39762",33.45622,-88.795708
Mississippi Valley State,Mississippi Valley State University,Delta Devils,#054105,#FFFFFF,,,SWAC,FCS,,,
Missouri,University of Missouri: Columbia,Tigers,#231F20,#E8AF11,#FFFFFF,,SEC,FBS,"105 Jesse Hall, Columbia, MO, 65211",38.9451576,-92.328749
Missouri State,Missouri State University,Bears,#5F0000,#FFFFFF,#000000,,Missouri Valley,FCS,,,
Monmouth,Monmouth University,Hawks,#051844,#FFFFFF,#D7D8D8,,Independent,FCS,,,
Montana,University of Montana-Missoula,Grizzlies,#751D4A,#FFFFFF,#181829,,Big Sky,FCS,,,
Montana State,Montana State University: Bozeman,Bobcats,#003875,#D3AF7E,#FFFFFF,,Big Sky,FCS,,,
Morehead State,Morehead State University,Eagles,#094FA3,#FFFFFF,#FFD51D,#040204,Pioneer Football,FCS,,,
Morgan State,Morgan State University,Bears,#014786,#F47937,#FFFFFF,#231F20,MEAC,FCS,,,
Murray State,Murray State University,Racers,#002148,#FFE000,#FFFFFF,,Ohio Valley,FCS,,,
Navy,United States Naval Academy,Midshipmen,#131630,#FCBA29,#FFFFFF,,Independent,FBS,"52 King George Street, Annapolis, MD, 21402-1318",38.984232,-76.485615
NDSU,North Dakota State University,Bison,#01402A,#FEBB1C,#FFFFFF,#221E1F,Missouri Valley,FCS,,,
Nebraska,University of Nebraska - Lincoln,Cornhuskers,#F20017,#FFFFFF,,,Big 10,FBS,"14th and R St, Lincoln, NE, 68588",40.8169285,-96.701134
Nevada,University of Nevada: Reno,Wolf Pack,#153E5F,#FFFFFF,,,Mountain West,FBS,"1664 North Virginia St, Reno, NV, 89557",39.5454191,-119.8156929
New Hampshire,University of New Hampshire,Wildcats,#004990,#FFFFFF,#C3C4C6,,Colonial Athletic Association,FCS,,,
New Mexico,University of New Mexico,Lobos,#000000,#D41045,#FFFFFF,#C4C4C4,Mountain West,FBS,"1700 Lomas Blvd NE, Albuquerque, NM, 87106",35.089776,-106.625018
New Mexico State,New Mexico State University,Aggies,#891216,#221E1F,#FFFFFF,,Independent,FBS,"2850 Weddell Street, Las Cruces, NM, 88003-8001",32.2824557,-106.7533096
Nicholls State,Nicholls State University,Colonels,#C41230,#FFFFFF,#231F20,,Southland,FCS,,,
Norfolk State,Norfolk State University,Spartans,#046546,#FFFFFF,#F1C409,,MEAC,FCS,,,
North Carolina,University of North Carolina at Chapel Hill,Tar Heels,#98BFE5,#FFFFFF,#00275D,,ACC,FBS,"103 South Bldg Cb 9100, Chapel Hill, NC, 27599",35.908807,-79.131619
North Carolina A&T,North Carolina Agricultural and Technical State University,Aggies,#0505AA,#FFFFFF,#FFFF63,,MEAC,FCS,,,
North Carolina Central,North Carolina Central University,Eagles,#880023,#1A1818,#FFFFFF,#8E9093,MEAC,FCS,,,
North Carolina State,North Carolina State University,Wolfpack,#EF1216,#FFFFFF,#221E1F,,ACC,FBS,"2101 Hillsborough Street, Raleigh, NC, 27695-7001",35.7863799,-78.6631452
North Dakota,University of North Dakota,Fighting Sioux,#702D07,#FFFFFF,#E22D33,#00A26B,Big Sky,FCS,,,
North Texas,University of North Texas,Mean Green,#00853D,#FFFFFF,#2D2327,,Conference USA,FBS,"Chestnut Ave., Denton, TX, 76203-1277",33.2115618,-97.1519679
Northern Arizona,Northern Arizona University,Lumberjacks,#003976,#FFFFFF,#629181,#FFD51F,Big Sky,FCS,,,
Northern Colorado,University of Northern Colorado,Bears,#13558D,#F9D245,#FFFFFF,,Big Sky,FCS,,,
Northern Illinois,Northern Illinois University,Huskies,#F1122C,#0F0D0D,#FFFFFF,,Mid-American,FBS,"1425 W. Lincoln Hwy., Dekalb, IL, 60115-2828",41.9307639,-88.7799761
Northern Iowa,University of Northern Iowa,Panthers,#473282,#E4AE2F,#FFFFFF,,Missouri Valley,FCS,,,
Northwestern,Northwestern University,Wildcats,#393996,#FFFFFF,#000000,,Big 10,FBS,"633 Clark St, Evanston, IL, 60208",42.049972,-87.6798976
Northwestern State,Northwestern State University,Demons,#492F91,#F68428,#FFFFFF,,Southland,FCS,,,
Notre Dame,University of Notre Dame,Fighting Irish,#00122B,#BAA008,#FFFFFF,,Independent,FBS,"400 Main Bldg, Notre Dame, IN, 46556",41.6808617,-86.2520306
Ohio,Ohio University,Bobcats,#295A29,#FFFFFF,#E7CEAD,#313139,Mid-American,FBS,"Cutler Hall, Athens, OH, 45701-2979",39.3261847,-82.1003267
Ohio State,Ohio State University: Columbus Campus,Buckeyes,#DE3121,#FFFFFF,#080808,#C5CCCF,Big 10,FBS,"190 N. Oval Mall, Columbus, OH, 43210",40.0007307,-83.0117318
Oklahoma,University of Oklahoma,Sooners,#BA0034,#FFFFFF,#000000,,Big 12,FBS,"660 Parrington Oval, Norman, OK, 73019-3072",35.20909,-97.445683
Oklahoma State,Oklahoma State University,Cowboys,#FF6500,#000000,#FFFFFF,,Big 12,FBS,"107 Whitehurst, Stillwater, OK, 74078-1015",36.1220367,-97.0705587
Old Dominion,Old Dominion University,Monarchs,#00507D,#FFFFFF,#999DA0,,Independent,FCS,,,
Oregon,University of Oregon,Ducks,#044520,#F4E600,#FFFFFF,,Pac-12,FBS,"110 Johnson Hall, Eugene, OR, 97403",44.0447612,-123.0745968
Oregon State,Oregon State University,Beavers,#000203,#AE3800,#FFFFFF,,Pac-12,FBS,"Kerr Administration Building, Corvallis, OR, 97331",44.5640676,-123.2745382
Penn State,The Pennsylvania State University,Nittany Lions,#00265D,#FFFFFF,,,Big 10,FBS,,,
Pennsylvania,University of Pennsylvania,Quakers,#082A74,#FFFFFF,#AC0218,,Ivy League,FCS,,,
Pittsburgh,University of Pittsburgh,Panthers,#003263,#FFFFFF,#242021,,ACC,FBS,"4200 Fifth Avenue, Pittsburgh, PA, 15260",40.4444326,-79.954759
Portland State,Portland State University,Vikings,#005E60,#BFCFD8,#FFFFFF,,Big Sky,FCS,,,
Prairie View A&M,Prairie View A&M University,Panthers,#5A185C,#FFBD29,#181821,#FFFFFF,SWAC,FCS,,,
Presbyterian,Presbyterian College,Blue Hose,#194896,#FFFFFF,#AA153B,,Big South,FCS,,,
Princeton,Princeton University,Tigers,#F9A13A,#231F20,#FFFFFF,,Ivy League,FCS,,,
Purdue,Purdue University,Boilermakers,#000000,#B89D29,#FFFFFF,#9FA3A6,Big 10,FBS,"Hovde Hall of Administration, West Lafayette, IN, 47907-2040",40.4282164,-86.9143966
Rhode Island,University of Rhode Island,Rams,#3691C6,#003559,#FFFFFF,,Colonial Athletic Association,FCS,,,
Rice,Rice University,Owls,#003D7D,#FFFFFF,,,Conference USA,FBS,"6100 S Main, Houston, TX, 77005",29.7126665,-95.4041068
Richmond,University of Richmond,Spiders,#9E0712,#003256,#FFFFFF,,Colonial Athletic Association,FCS,,,
Robert Morris,Robert Morris College,Colonials,#00214D,#AF1C2E,#FFFFFF,#BEB9B4,NEC,FCS,,,
Rutgers,Rutgers,Scarlet Knights,#EE363D,#FFFFFF,#0E1112,,American Athletic,FBS,"83 Somerset St, New Brunswick, NJ, 08901-1281",40.4978792,-74.4463361
Sacramento State,California State University: Sacramento,Hornets,#00573C,#FFFFFF,#B4985A,,Big Sky,FCS,,,
Sacred Heart,Sacred Heart University,Pioneers,#CE1040,#FFFFFF,#B1B3B6,,NEC,FCS,,,
Saint Francis,Saint Francis University,Red Flash,#F41650,#1E1719,#FFFFFF,,NEC,FCS,,,
Sam Houston State,Sam Houston State University,Bearkats,#F78F1E,#231F20,#FFFFFF,,Southland,FCS,,,
Samford,Samford University,Bulldogs,#005485,#D2D4D5,#C72D30,#FFFFFF,Southern,FCS,,,
San Diego,University of San Diego,Toreros,#2f99d4,#00275d,#FFFFFF,,Pioneer Football,FCS,,,
San Diego State,San Diego State University,Aztecs,#231F20,#BF2C37,#7C6642,#FFFFFF,Mountain West,FBS,"5500 Campanile Dr, San Diego, CA, 92182",32.7727078,-117.0765114
San Jose State,San Jose State University,Spartans,#005893,#FFC021,#FFFFFF,,Mountain West,FBS,"1 Washington Sq, San Jose, CA, 95192-0001",37.3348412,-121.8849198
Savannah State,Savannah State University,Tigers,#280298,#FF0000,#FFFFFF,,MEAC,FCS,,,
SMU,Southern Methodist University,Mustangs,#E32F38,#FFFFFF,,,American Athletic,FBS,"6425 Boaz St, Dallas, TX, 75275-0221",32.844918,-96.785785
South Alabama,University of South Alabama,Jaguars,#003E7E,#FFFFFF,#D11241,,Sun Belt,FBS,,,
South Carolina,University of South Carolina-Columbia,Gamecocks,#CD0000,#000000,#FFFFFF,,SEC,FBS,"1300 Rosewood Drive, Columbia, SC, 29208",33.9808047,-81.0227005
South Carolina State,South Carolina State University,Bulldogs,#7E1812,#080D35,#050305,#FFFFFF,MEAC,FCS,,,
South Dakota,University of South Dakota,Coyotes,#CD1241,#231F20,#B3B5B8,#FFFFFF,Missouri Valley,FCS,,,
South Dakota State,South Dakota State University,Jackrabbits,#005DAB,#FFDE00,#FFFFFF,,Missouri Valley,FCS,,,
South Florida,University of South Florida,Bulls,#004A36,#FFFFFF,#A08B4D,,American Athletic,FBS,"4202 East Fowler Ave, Tampa, FL, 33620-9951",28.0545918,-82.4136143
Southeast Missouri State,Southeast Missouri State University,Redhawks,#E2373E,#231F20,#FFFFFF,,Ohio Valley,FCS,,,
Southeastern Louisiana,Southeastern Louisiana University,Lions,#007550,#F0B510,#231F20,#FFFFFF,Southland,FCS,,,
Southern Illinois,Southern Illinois University Carbondale,Salukis,#85283D,#000000,#FFFFFF,,Missouri Valley,FCS,,,
