"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"1241","23","W","12-19-1998","20","San Diego St. (CA)","13","Sam Boyd Stadium - Las Vegas Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1242","24","W","12-31-2001","16","Auburn (AL)","10","Peach Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1243","25","L","12-30-2004","24","Boston College (MA)","37","Continental Tire Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1244","26","L","12-27-2008","30","West Virginia","31","Meineke Car Care Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1245","27","L","12-26-2009","17","Pittsburgh (PA)","19","Meineke Car Care Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1246","28","W","12-30-2010","30","Tennessee","27","Music City Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1247","29","L","12-26-2011","24","Missouri","41","Independence Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1248","30","W","12-28-2013","39","Cincinnati (OH)","17","Belk Bowl","North Carolina","University of North Carolina at Chapel Hill"
"1249","1","L","01-01-1947","13","Oklahoma","34","Gator Bowl","North Carolina St.","North Carolina State University"
"1250","2","L","12-21-1963","12","Mississippi St.","16","Liberty Bowl","North Carolina St.","North Carolina State University"
"1251","3","W","12-16-1967","14","Georgia","7","Liberty Bowl","North Carolina St.","North Carolina State University"
"1252","4","W","12-29-1972","49","West Virginia","13","Peach Bowl","North Carolina St.","North Carolina State University"
"1253","5","W","12-17-1973","31","Kansas","18","Liberty Bowl","North Carolina St.","North Carolina State University"
"1254","6","T","12-23-1974","31","Houston (TX)","31","Bluebonnet Bowl","North Carolina St.","North Carolina State University"
"1255","7","L","12-31-1975","10","West Virginia","13","Peach Bowl","North Carolina St.","North Carolina State University"
"1256","8","W","12-31-1977","24","Iowa St.","14","Peach Bowl","North Carolina St.","North Carolina State University"
"1257","9","W","12-23-1978","30","Pittsburgh (PA)","17","Tangerine Bowl","North Carolina St.","North Carolina State University"
"1258","10","L","12-31-1986","24","Virginia Tech","25","Peach Bowl","North Carolina St.","North Carolina State University"
"1259","11","W","12-31-1988","28","Iowa","23","Peach Bowl","North Carolina St.","North Carolina State University"
"1260","12","L","12-31-1989","10","Arizona","17","Copper Bowl","North Carolina St.","North Carolina State University"
"1261","13","W","12-28-1990","31","Southern Mississippi","27","All-American Bowl (2)","North Carolina St.","North Carolina State University"
"1262","14","L","01-01-1992","34","East Carolina (NC)","37","Peach Bowl","North Carolina St.","North Carolina State University"
"1263","15","L","12-31-1992","10","Florida","27","Gator Bowl","North Carolina St.","North Carolina State University"
"1264","16","L","01-01-1994","7","Michigan","42","Hall of Fame Bowl","North Carolina St.","North Carolina State University"
"1265","17","W","01-01-1995","28","Mississippi St.","24","Peach Bowl","North Carolina St.","North Carolina State University"
"1266","18","L","12-29-1998","23","Miami (FL)","46","Micron PC Bowl","North Carolina St.","North Carolina State University"
"1267","19","W","12-28-2000","38","Minnesota","30","Micron PC Bowl","North Carolina St.","North Carolina State University"
"1268","20","L","12-20-2001","19","Pittsburgh (PA)","34","Tangerine Bowl","North Carolina St.","North Carolina State University"
"1269","21","W","01-01-2003","28","Notre Dame (IN)","6","Gator Bowl","North Carolina St.","North Carolina State University"
"1270","22","W","12-22-2003","56","Kansas","26","Tangerine Bowl","North Carolina St.","North Carolina State University"
"1271","23","W","12-31-2005","14","South Florida","0","Meineke Car Care Bowl","North Carolina St.","North Carolina State University"
"1272","24","L","12-29-2008","23","Rutgers (NJ)","29","Papajohns.com Bowl","North Carolina St.","North Carolina State University"
"1273","25","W","12-28-2010","23","West Virginia","7","Champs Sports Bowl","North Carolina St.","North Carolina State University"
"1274","26","W","12-27-2011","31","Louisville (KY)","24","Belk Bowl","North Carolina St.","North Carolina State University"
"1275","27","L","12-31-2012","24","Vanderbilt (TN)","38","Music City Bowl","North Carolina St.","North Carolina State University"
"1276","1","L","01-01-1948","6","Nevada","13","Salad Bowl","North Texas","University of North Texas"
"1277","2","L","12-31-1959","8","New Mexico St.","28","Sun Bowl","North Texas","University of North Texas"
"1278","3","L","12-18-2001","20","Colorado St.","45","New Orleans Bowl","North Texas","University of North Texas"
"1279","4","W","12-17-2002","24","Cincinnati (OH)","19","New Orleans Bowl","North Texas","University of North Texas"
"1280","5","L","12-16-2003","17","Memphis (TN)","27","New Orleans Bowl","North Texas","University of North Texas"
"1281","6","L","12-14-2004","10","Southern Mississippi","31","New Orleans Bowl","North Texas","University of North Texas"
"1282","7","W","01-01-2014","36","Nevada-Las Vegas","14","Heart of Dallas Bowl","North Texas","University of North Texas"
"1283","1","W","12-17-1983","20","Cal St.-Fullerton","13","California Bowl","Northern Illinois","Northern Illinois University"
"1284","2","W","12-30-2004","34","Troy (AL)","21","Silicon Valley Classic","Northern Illinois","Northern Illinois University"
"1285","3","L","12-19-2006","7","Texas Christian","37","Poinsettia Bowl","Northern Illinois","Northern Illinois University"
"1286","4","L","12-28-2008","10","Louisiana Tech","17","Independence Bowl","Northern Illinois","Northern Illinois University"
"1287","5","L","01-02-2010","3","South Florida","27","International Bowl","Northern Illinois","Northern Illinois University"
"1288","6","W","12-18-2010","40","Fresno St. (CA)","17","Humanitarian Bowl","Northern Illinois","Northern Illinois University"
"1289","7","W","01-08-2012","38","Arkansas St.","20","GoDaddy.com Bowl","Northern Illinois","Northern Illinois University"
"1290","8","L","01-01-2013","10","Florida St.","31","Orange Bowl","Northern Illinois","Northern Illinois University"
"1291","9","L","12-26-2013","14","Utah St.","21","Poinsettia Bowl","Northern Illinois","Northern Illinois University"
"1292","1","W","01-01-1949","20","California","14","Rose Bowl","Northwestern (IL)","Northwestern University"
"1293","2","L","01-01-1996","32","Southern California","41","Rose Bowl","Northwestern (IL)","Northwestern University"
"1294","3","L","01-01-1997","28","Tennessee","48","Florida Citrus Bowl","Northwestern (IL)","Northwestern University"
"1295","4","L","12-30-2000","17","Nebraska","66","Alamo Bowl","Northwestern (IL)","Northwestern University"
"1296","5","L","12-26-2003","24","Bowling Green (OH)","28","Motor City Bowl","Northwestern (IL)","Northwestern University"
"1297","6","L","12-30-2005","38","UCLA","50","Sun Bowl","Northwestern (IL)","Northwestern University"
"1298","7","L","12-29-2008","23","Missouri","30","Alamo Bowl","Northwestern (IL)","Northwestern University"
"1299","8","L","01-01-2010","35","Auburn (AL)","38","Outback Bowl","Northwestern (IL)","Northwestern University"
"1300","9","L","01-01-2011","38","Texas Tech","45","TicketCity Bowl","Northwestern (IL)","Northwestern University"
"1301","10","L","12-31-2011","22","Texas A&M","33","Meineke Car Care Bowl of Texas","Northwestern (IL)","Northwestern University"
"1302","11","W","01-01-2013","34","Mississippi St.","20","Gator Bowl","Northwestern (IL)","Northwestern University"
"1303","1","W","01-01-1925","27","Stanford (CA)","10","Rose Bowl","Notre Dame (IN)","University of Notre Dame"
"1304","2","L","01-01-1970","17","Texas","21","Cotton Bowl","Notre Dame (IN)","University of Notre Dame"
"1305","3","W","01-01-1971","24","Texas","11","Cotton Bowl","Notre Dame (IN)","University of Notre Dame"
"1306","4","L","01-01-1973","6","Nebraska","40","Orange Bowl","Notre Dame (IN)","University of Notre Dame"
"1307","5","W","12-31-1973","24","Alabama","23","Sugar Bowl","Notre Dame (IN)","University of Notre Dame"
"1308","6","W","01-01-1975","13","Alabama","11","Orange Bowl","Notre Dame (IN)","University of Notre Dame"
"1309","7","W","12-27-1976","20","Penn St.","9","Gator Bowl","Notre Dame (IN)","University of Notre Dame"
"1310","8","W","01-02-1978","38","Texas","10","Cotton Bowl","Notre Dame (IN)","University of Notre Dame"
"1311","9","W","01-01-1979","35","Houston (TX)","34","Cotton Bowl","Notre Dame (IN)","University of Notre Dame"
"1312","10","L","01-01-1981","10","Georgia","17","Sugar Bowl","Notre Dame (IN)","University of Notre Dame"
"1313","11","W","12-29-1983","19","Boston College (MA)","18","Liberty Bowl","Notre Dame (IN)","University of Notre Dame"
"1314","12","L","12-29-1984","20","Southern Methodist (TX)","27","Aloha Bowl","Notre Dame (IN)","University of Notre Dame"
"1315","13","L","01-01-1988","10","Texas A&M","35","Cotton Bowl","Notre Dame (IN)","University of Notre Dame"
"1316","14","W","01-02-1989","34","West Virginia","21","Fiesta Bowl","Notre Dame (IN)","University of Notre Dame"
"1317","15","W","01-01-1990","21","Colorado","6","Orange Bowl","Notre Dame (IN)","University of Notre Dame"
"1318","16","L","01-01-1991","9","Colorado","10","Orange Bowl","Notre Dame (IN)","University of Notre Dame"
"1319","17","W","01-01-1992","39","Florida","28","Sugar Bowl","Notre Dame (IN)","University of Notre Dame"
"1320","18","W","01-01-1993","28","Texas A&M","3","Cotton Bowl","Notre Dame (IN)","University of Notre Dame"
"1321","19","W","01-01-1994","24","Texas A&M","21","Cotton Bowl","Notre Dame (IN)","University of Notre Dame"
"1322","20","L","01-02-1995","24","Colorado","41","Fiesta Bowl","Notre Dame (IN)","University of Notre Dame"
"1323","21","L","01-01-1996","26","Florida St.","31","Orange Bowl","Notre Dame (IN)","University of Notre Dame"
"1324","22","L","12-28-1997","9","Louisiana St.","27","Independence Bowl","Notre Dame (IN)","University of Notre Dame"
"1325","23","L","01-01-1999","28","Georgia Tech","35","Gator Bowl","Notre Dame (IN)","University of Notre Dame"
"1326","24","L","01-01-2001","9","Oregon St.","41","Fiesta Bowl","Notre Dame (IN)","University of Notre Dame"
"1327","25","L","01-01-2003","6","North Carolina St.","28","Gator Bowl","Notre Dame (IN)","University of Notre Dame"
"1328","26","L","12-28-2004","21","Oregon St.","38","Insight Bowl","Notre Dame (IN)","University of Notre Dame"
"1329","27","L","01-02-2006","20","Ohio St.","34","Fiesta Bowl","Notre Dame (IN)","University of Notre Dame"
"1330","28","L","01-03-2007","14","Louisiana St.","41","Sugar Bowl","Notre Dame (IN)","University of Notre Dame"
"1331","29","W","12-24-2008","49","Hawaii","21","Hawaii Bowl","Notre Dame (IN)","University of Notre Dame"
"1332","30","W","12-31-2010","33","Miami (FL)","17","Sun Bowl","Notre Dame (IN)","University of Notre Dame"
"1333","31","L","12-29-2011","14","Florida St.","18","Champs Sports Bowl","Notre Dame (IN)","University of Notre Dame"
"1334","32","L","01-07-2013","14","Alabama","42","BCS Championship Game","Notre Dame (IN)","University of Notre Dame"
"1335","33","W","12-28-2013","29","Rutgers (NJ)","16","Pinstripe Bowl","Notre Dame (IN)","University of Notre Dame"
"1336","1","L","12-31-1962","14","West Texas A&M","15","Sun Bowl","Ohio","Ohio University"
"1337","2","L","12-27-1968","42","Richmond (VA)","49","Tangerine Bowl","Ohio","Ohio University"
"1338","3","L","01-07-2007","7","Southern Mississippi","28","GMAC Bowl","Ohio","Ohio University"
"1339","4","L","12-26-2009","17","Marshall (WV)","21","Little Caesars Pizza Bowl","Ohio","Ohio University"
"1340","5","L","12-18-2010","21","Troy (AL)","48","New Orleans Bowl","Ohio","Ohio University"
"1341","6","W","12-17-2011","24","Utah St.","23","Idaho Potato Bowl","Ohio","Ohio University"
"1342","7","W","12-28-2012","45","Louisiana-Monroe","14","Independence Bowl","Ohio","Ohio University"
"1343","8","L","12-23-2013","20","East Carolina (NC)","37","Saint Petersburg Bowl","Ohio","Ohio University"
"1344","1","L","01-01-1921","0","California","28","Tournament of Roses Game","Ohio St.","Ohio State University: Columbus Campus"
"1345","2","W","01-02-1950","17","California","14","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1346","3","W","01-01-1955","20","Southern California","7","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1347","4","W","01-01-1958","10","Oregon","7","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1348","5","W","01-01-1969","27","Southern California","16","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1349","6","L","01-01-1971","17","Stanford (CA)","27","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1350","7","L","01-01-1973","17","Southern California","42","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1351","8","W","01-01-1974","42","Southern California","21","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1352","9","L","01-01-1975","17","Southern California","18","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1353","10","L","01-01-1976","10","UCLA","23","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1354","11","W","01-01-1977","27","Colorado","10","Orange Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1355","12","L","01-02-1978","6","Alabama","35","Sugar Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1356","13","L","12-29-1978","15","Clemson (SC)","17","Gator Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1357","14","L","01-01-1980","16","Southern California","17","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1358","15","L","12-26-1980","19","Penn St.","31","Fiesta Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1359","16","W","12-30-1981","31","Navy (MD)","28","Liberty Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1360","17","W","12-17-1982","47","Brigham Young (UT)","17","Holiday Bowl (1)","Ohio St.","Ohio State University: Columbus Campus"
"1361","18","W","01-02-1984","28","Pittsburgh (PA)","23","Fiesta Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1362","19","L","01-01-1985","17","Southern California","20","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1363","20","W","12-28-1985","10","Brigham Young (UT)","7","Florida Citrus Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1364","21","W","01-01-1987","28","Texas A&M","12","Cotton Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1365","22","L","01-01-1990","14","Auburn (AL)","31","Hall of Fame Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1366","23","L","12-27-1990","11","Air Force (CO)","23","Liberty Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1367","24","L","01-01-1992","17","Syracuse (NY)","24","Hall of Fame Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1368","25","L","01-01-1993","14","Georgia","21","Florida Citrus Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1369","26","W","12-30-1993","28","Brigham Young (UT)","21","Holiday Bowl (1)","Ohio St.","Ohio State University: Columbus Campus"
"1370","27","L","01-02-1995","17","Alabama","24","Florida Citrus Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1371","28","L","01-01-1996","14","Tennessee","20","Florida Citrus Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1372","29","W","01-01-1997","20","Arizona St.","17","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1373","30","L","01-01-1998","14","Florida St.","31","Sugar Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1374","31","W","01-01-1999","24","Texas A&M","14","Sugar Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1375","32","L","01-01-2001","7","South Carolina","24","Outback Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1376","33","L","01-01-2002","28","South Carolina","31","Outback Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1377","34","W","01-03-2003","31","Miami (FL)","24","Fiesta Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1378","35","W","01-02-2004","35","Kansas St.","28","Fiesta Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1379","36","W","12-29-2004","33","Oklahoma St.","7","Alamo Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1380","37","W","01-02-2006","34","Notre Dame (IN)","20","Fiesta Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1381","38","L","01-08-2007","14","Florida","41","BCS Championship Game","Ohio St.","Ohio State University: Columbus Campus"
"1382","39","L","01-07-2008","24","Louisiana St.","38","BCS Championship Game","Ohio St.","Ohio State University: Columbus Campus"
"1383","40","L","01-05-2009","21","Texas","24","Fiesta Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1384","41","W","01-01-2010","26","Oregon","17","Rose Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1385","42","N/A","01-04-2011","31","Arkansas","26","Sugar Bowl - Ohio St. Vacated Game","Ohio St.","Ohio State University: Columbus Campus"
"1386","43","L","01-02-2012","17","Florida","24","Gator Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1387","44","L","01-03-2014","35","Clemson (SC)","40","Orange Bowl","Ohio St.","Ohio State University: Columbus Campus"
"1388","1","L","01-02-1939","0","Tennessee","17","Orange Bowl","Oklahoma","University of Oklahoma"
"1389","2","W","01-01-1947","34","North Carolina St.","13","Gator Bowl","Oklahoma","University of Oklahoma"
"1390","3","W","01-01-1949","14","North Carolina","6","Sugar Bowl","Oklahoma","University of Oklahoma"
"1391","4","W","01-02-1950","35","Louisiana St.","0","Sugar Bowl","Oklahoma","University of Oklahoma"
"1392","5","L","01-01-1951","7","Kentucky","13","Sugar Bowl","Oklahoma","University of Oklahoma"
"1393","6","W","01-01-1954","7","Maryland","0","Orange Bowl","Oklahoma","University of Oklahoma"
"1394","7","W","01-02-1956","20","Maryland","6","Orange Bowl","Oklahoma","University of Oklahoma"
"1395","8","W","01-01-1958","48","Duke (NC)","21","Orange Bowl","Oklahoma","University of Oklahoma"
"1396","9","W","01-01-1959","21","Syracuse (NY)","6","Orange Bowl","Oklahoma","University of Oklahoma"
"1397","10","L","01-01-1963","0","Alabama","17","Orange Bowl","Oklahoma","University of Oklahoma"
"1398","11","L","01-02-1965","19","Florida St.","36","Gator Bowl","Oklahoma","University of Oklahoma"
"1399","12","W","01-01-1968","26","Tennessee","24","Orange Bowl","Oklahoma","University of Oklahoma"
"1400","13","L","12-31-1968","27","Southern Methodist (TX)","28","Bluebonnet Bowl","Oklahoma","University of Oklahoma"
"1401","14","T","12-31-1970","24","Alabama","24","Bluebonnet Bowl","Oklahoma","University of Oklahoma"
"1402","15","W","01-01-1972","40","Auburn (AL)","22","Sugar Bowl","Oklahoma","University of Oklahoma"
"1403","16","W","12-31-1972","14","Penn St.","0","Sugar Bowl","Oklahoma","University of Oklahoma"
"1404","17","W","01-01-1976","14","Michigan","6","Orange Bowl","Oklahoma","University of Oklahoma"
"1405","18","W","12-25-1976","41","Wyoming","7","Fiesta Bowl","Oklahoma","University of Oklahoma"
"1406","19","L","01-02-1978","6","Arkansas","31","Orange Bowl","Oklahoma","University of Oklahoma"
"1407","20","W","01-01-1979","31","Nebraska","24","Orange Bowl","Oklahoma","University of Oklahoma"
"1408","21","W","01-01-1980","24","Florida St.","7","Orange Bowl","Oklahoma","University of Oklahoma"
"1409","22","W","01-01-1981","18","Florida St.","17","Orange Bowl","Oklahoma","University of Oklahoma"
"1410","23","W","12-26-1981","40","Houston (TX)","14","Sun Bowl","Oklahoma","University of Oklahoma"
"1411","24","L","01-01-1983","21","Arizona St.","32","Fiesta Bowl","Oklahoma","University of Oklahoma"
"1412","25","L","01-01-1985","17","Washington","28","Orange Bowl","Oklahoma","University of Oklahoma"
"1413","26","W","01-01-1986","25","Penn St.","10","Orange Bowl","Oklahoma","University of Oklahoma"
"1414","27","W","01-01-1987","42","Arkansas","8","Orange Bowl","Oklahoma","University of Oklahoma"
"1415","28","L","01-01-1988","14","Miami (FL)","20","Orange Bowl","Oklahoma","University of Oklahoma"
"1416","29","L","01-02-1989","6","Clemson (SC)","13","Florida Citrus Bowl","Oklahoma","University of Oklahoma"
"1417","30","W","12-29-1991","48","Virginia","14","Gator Bowl","Oklahoma","University of Oklahoma"
"1418","31","W","12-24-1993","41","Texas Tech","10","Sun Bowl","Oklahoma","University of Oklahoma"
"1419","32","L","12-29-1994","6","Brigham Young (UT)","31","Copper Bowl","Oklahoma","University of Oklahoma"
"1420","33","L","12-31-1999","25","Mississippi","27","Independence Bowl","Oklahoma","University of Oklahoma"
"1421","34","W","01-03-2001","13","Florida St.","2","Orange Bowl","Oklahoma","University of Oklahoma"
"1422","35","W","01-01-2002","10","Arkansas","3","Cotton Bowl","Oklahoma","University of Oklahoma"
"1423","36","W","01-01-2003","34","Washington St.","14","Rose Bowl","Oklahoma","University of Oklahoma"
"1424","37","L","01-04-2004","14","Louisiana St.","21","Sugar Bowl","Oklahoma","University of Oklahoma"
"1425","38","L","01-04-2005","19","Southern California","55","Orange Bowl - Southern California Vacated Game","Oklahoma","University of Oklahoma"
"1426","39","W","12-29-2005","17","Oregon","14","Holiday Bowl (1)","Oklahoma","University of Oklahoma"
"1427","40","L","01-01-2007","42","Boise St. (ID)","43","Fiesta Bowl","Oklahoma","University of Oklahoma"
"1428","41","L","01-02-2008","28","West Virginia","48","Fiesta Bowl","Oklahoma","University of Oklahoma"
"1429","42","L","01-08-2009","14","Florida","24","BCS Championship Game","Oklahoma","University of Oklahoma"
"1430","43","W","12-31-2009","31","Stanford (CA)","27","Sun Bowl","Oklahoma","University of Oklahoma"
"1431","44","W","01-01-2011","48","Connecticut","20","Fiesta Bowl","Oklahoma","University of Oklahoma"
"1432","45","W","12-30-2011","31","Iowa","14","Insight Bowl","Oklahoma","University of Oklahoma"
"1433","46","L","01-04-2013","13","Texas A&M","41","Cotton Bowl","Oklahoma","University of Oklahoma"
"1434","47","W","01-02-2014","45","Alabama","31","Sugar Bowl","Oklahoma","University of Oklahoma"
"1435","1","W","01-01-1945","34","Texas Christian","0","Cotton Bowl","Oklahoma St.","Oklahoma State University"
"1436","2","W","01-01-1946","33","Saint Mary's (CA)","13","Sugar Bowl","Oklahoma St.","Oklahoma State University"
"1437","3","L","01-01-1949","0","William & Mary (VA)","20","Delta Bowl","Oklahoma St.","Oklahoma State University"
"1438","4","W","12-13-1958","15","Florida St.","6","Bluegrass Bowl","Oklahoma St.","Oklahoma State University"
"1439","5","W","12-28-1974","16","Brigham Young (UT)","6","Fiesta Bowl","Oklahoma St.","Oklahoma State University"
"1440","6","W","12-18-1976","49","Brigham Young (UT)","21","Tangerine Bowl","Oklahoma St.","Oklahoma State University"
"1441","7","L","12-12-1981","16","Texas A&M","33","Independence Bowl","Oklahoma St.","Oklahoma State University"
"1442","8","W","12-31-1983","24","Baylor (TX)","14","Bluebonnet Bowl","Oklahoma St.","Oklahoma State University"
"1443","9","W","12-28-1984","21","South Carolina","14","Gator Bowl","Oklahoma St.","Oklahoma State University"
"1444","10","L","12-30-1985","23","Florida St.","34","Gator Bowl","Oklahoma St.","Oklahoma State University"
"1445","11","W","12-25-1987","35","West Virginia","33","Sun Bowl","Oklahoma St.","Oklahoma State University"
"1446","12","W","12-30-1988","62","Wyoming","14","Holiday Bowl (1)","Oklahoma St.","Oklahoma State University"
"1447","13","L","12-30-1997","20","Purdue (IN)","33","Alamo Bowl","Oklahoma St.","Oklahoma State University"
"1448","14","W","12-27-2002","33","Southern Mississippi","23","Houston Bowl","Oklahoma St.","Oklahoma State University"
"1449","15","L","01-02-2004","28","Mississippi","31","Cotton Bowl","Oklahoma St.","Oklahoma State University"
"1450","16","L","12-29-2004","7","Ohio St.","33","Alamo Bowl","Oklahoma St.","Oklahoma State University"
"1451","17","W","12-28-2006","34","Alabama","31","Independence Bowl","Oklahoma St.","Oklahoma State University"
"1452","18","W","12-31-2007","49","Indiana","33","Insight Bowl","Oklahoma St.","Oklahoma State University"
"1453","19","L","12-30-2008","31","Oregon","42","Holiday Bowl (1)","Oklahoma St.","Oklahoma State University"
"1454","20","L","01-02-2010","7","Mississippi","21","Cotton Bowl","Oklahoma St.","Oklahoma State University"
"1455","21","W","12-29-2010","36","Arizona","10","Alamo Bowl","Oklahoma St.","Oklahoma State University"
"1456","22","W","01-02-2012","41","Stanford (CA)","38","Fiesta Bowl","Oklahoma St.","Oklahoma State University"
"1457","23","W","01-01-2013","58","Purdue (IN)","14","Heart of Dallas Bowl","Oklahoma St.","Oklahoma State University"
"1458","24","L","01-03-2014","31","Missouri","41","Cotton Bowl","Oklahoma St.","Oklahoma State University"
"1459","1","W","01-01-1917","14","Pennsylvania","0","Tournament of Roses Game","Oregon","University of Oregon"
"1460","2","L","01-01-1920","6","Harvard (MA)","7","Tournament of Roses Game","Oregon","University of Oregon"
"1461","3","L","01-01-1949","13","Southern Methodist (TX)","21","Cotton Bowl","Oregon","University of Oregon"
"1462","4","L","01-01-1958","7","Ohio St.","10","Rose Bowl","Oregon","University of Oregon"
"1463","5","L","12-17-1960","12","Penn St.","41","Liberty Bowl","Oregon","University of Oregon"
"1464","6","W","12-31-1963","21","Southern Methodist (TX)","14","Sun Bowl","Oregon","University of Oregon"
"1465","7","W","12-16-1989","27","Tulsa (OK)","24","Independence Bowl","Oregon","University of Oregon"
"1466","8","L","12-29-1990","31","Colorado St.","32","Freedom Bowl","Oregon","University of Oregon"
"1467","9","L","12-31-1992","35","Wake Forest (NC)","39","Independence Bowl","Oregon","University of Oregon"
"1468","10","L","01-02-1995","20","Penn St.","38","Rose Bowl","Oregon","University of Oregon"
"1469","11","L","01-01-1996","6","Colorado","38","Cotton Bowl","Oregon","University of Oregon"
"1470","12","W","12-20-1997","41","Air Force (CO)","13","Las Vegas Bowl","Oregon","University of Oregon"
"1471","13","L","12-25-1998","43","Colorado","51","Aloha Classic","Oregon","University of Oregon"
"1472","14","W","12-31-1999","24","Minnesota","20","Sun Bowl","Oregon","University of Oregon"
"1473","15","W","12-29-2000","35","Texas","30","Holiday Bowl (1)","Oregon","University of Oregon"
"1474","16","W","01-01-2002","38","Colorado","16","Fiesta Bowl","Oregon","University of Oregon"
"1475","17","L","12-30-2002","17","Wake Forest (NC)","38","Seattle Bowl","Oregon","University of Oregon"
"1476","18","L","12-31-2003","30","Minnesota","31","Sun Bowl","Oregon","University of Oregon"
"1477","19","L","12-29-2005","14","Oklahoma","17","Holiday Bowl (1)","Oregon","University of Oregon"
"1478","20","L","12-21-2006","8","Brigham Young (UT)","38","Las Vegas Bowl","Oregon","University of Oregon"
"1479","21","W","12-31-2007","56","South Florida","21","Sun Bowl","Oregon","University of Oregon"
"1480","22","W","12-30-2008","42","Oklahoma St.","31","Holiday Bowl (1)","Oregon","University of Oregon"
"1481","23","L","01-01-2010","17","Ohio St.","26","Rose Bowl","Oregon","University of Oregon"
"1482","24","L","01-10-2011","19","Auburn (AL)","22","BCS Championship Game","Oregon","University of Oregon"
"1483","25","W","01-02-2012","45","Wisconsin","38","Rose Bowl","Oregon","University of Oregon"
"1484","26","W","01-03-2013","35","Kansas St.","17","Fiesta Bowl","Oregon","University of Oregon"
"1485","27","W","12-30-2013","30","Texas","7","Alamo Bowl","Oregon","University of Oregon"
"1486","1","W","01-01-1942","20","Duke (NC)","16","Rose Bowl","Oregon St.","Oregon State University"
"1487","2","L","01-01-1957","19","Iowa","35","Rose Bowl","Oregon St.","Oregon State University"
"1488","3","W","12-15-1962","6","Villanova (PA)","0","Liberty Bowl","Oregon St.","Oregon State University"
"1489","4","L","01-01-1965","7","Michigan","34","Rose Bowl","Oregon St.","Oregon State University"
"1490","5","L","12-25-1999","17","Hawaii","23","Oahu Classic","Oregon St.","Oregon State University"
"1491","6","W","01-01-2001","41","Notre Dame (IN)","9","Fiesta Bowl","Oregon St.","Oregon State University"
"1492","7","L","12-26-2002","13","Pittsburgh (PA)","38","Insight Bowl","Oregon St.","Oregon State University"
"1493","8","W","12-24-2003","55","New Mexico","14","Las Vegas Bowl","Oregon St.","Oregon State University"
"1494","9","W","12-28-2004","38","Notre Dame (IN)","21","Insight Bowl","Oregon St.","Oregon State University"
"1495","10","W","12-29-2006","39","Missouri","38","Sun Bowl","Oregon St.","Oregon State University"
"1496","11","W","12-28-2007","21","Maryland","14","Emerald Bowl","Oregon St.","Oregon State University"
"1497","12","W","12-31-2008","3","Pittsburgh (PA)","0","Sun Bowl","Oregon St.","Oregon State University"
"1498","13","L","12-22-2009","20","Brigham Young (UT)","44","Las Vegas Bowl","Oregon St.","Oregon State University"
"1499","14","L","12-29-2012","27","Texas","31","Alamo Bowl","Oregon St.","Oregon State University"
