OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
 131,Northern Iowa,AA,51.87,7,4,46.55,172,0,0,0,1
 132,Elon College,AA,51.87,7,4,46.51,174,0,0,0,0
 133,Arkansas St.,A,51.8,1,10,70,64,0,1,0,3
 134,Northern Arizona,AA,51.66,3,8,59.02,116,0,0,0,0
 135,Yale,AA,51.49,7,3,43.66,187,0,0,0,0
 136,SW Texas St.,AA,51.47,7,4,48.26,162,0,0,0,0
 137,Bowling Green,A,51.45,2,9,64.44,90,0,0,0,2
 138,Eastern Michigan,A,51.2,3,8,63.78,96,0,0,0,2
 139,William & Mary,AA,50.85,5,6,53.91,134,0,0,0,0
 140,Harvard,AA,50.73,5,5,46.79,171,0,0,0,0
 141,Army,A,50.7,1,10,66.98,81,0,0,0,0
 142,Brown,AA,50.56,7,3,41.25,189,0,0,0,0
 143,Louisiana Tech,A,50.25,3,9,61.48,105,0,2,0,3
 144,Sam Houston St.,AA,50.09,7,4,49.71,154,0,0,0,0
 145,North Texas,A,49.97,3,8,61.65,104,0,1,0,2
 146,Duke,A,49.68,0,11,75.68,18,0,1,0,4
 147,NW Louisiana,AA,49.01,6,5,48.16,164,0,0,0,0
 148,Bucknell,AA,48.95,6,5,44.12,184,0,0,0,0
 149,Western Carolina,AA,48.81,4,7,57.69,122,0,0,0,0
 150,Holy Cross,AA,48.57,7,4,45.4,179,0,0,0,0
 151,Nevada,A,48.56,2,10,68.37,74,0,1,0,3
 152,Florida A&M,AA,48.43,9,3,35.37,201,0,0,0,0
 153,New Hampshire,AA,48.1,6,5,48.25,163,0,0,0,0
 154,Navy,A,47.69,1,10,69.82,66,0,0,0,4
 155,Colgate,AA,47.62,7,4,45.36,180,0,0,0,0
 156,Villanova,AA,47.54,5,6,50.38,148,0,0,0,0
 157,Saint Mary's-Cal.,AA,47.53,6,5,53.55,136,0,0,0,0
 158,Stephen F. Austin,AA,47,6,5,50.59,144,0,0,0,0
 159,Grambling,AA,46.93,10,2,35.73,198,0,0,0,0
 160,Towson,AA,46.85,7,4,39.14,191,0,0,0,0
 161,Central Michigan,A,46.76,2,9,65.88,82,0,0,0,3
 162,Eastern Kentucky,AA,46.74,6,5,45.59,178,0,0,0,0
 163,Wyoming,A,46.59,1,10,68.7,72,0,0,0,3
 164,Murray St.,AA,46.37,6,5,43.31,188,0,0,0,0
 165,Maine,AA,46.34,5,6,47.85,166,0,0,0,0
 166,SW Missouri St.,AA,45.26,5,6,46.55,173,0,0,0,0
 167,Rhode Island,AA,45.19,3,8,53.61,135,0,0,0,0
 168,Connecticut,A,44.76,3,8,56.8,128,0,0,0,0
 169,Cal Poly,AA,44.61,3,8,57.39,126,0,0,0,0
 170,Cornell,AA,44.01,5,5,48.6,160,0,0,0,0
 171,Bethune-Cookman,AA,43.94,9,2,28.93,218,0,0,0,0
 172,No. Carolina A&T,AA,43.7,8,3,33.38,209,0,0,0,0
 173,Jacksonville St.,AA,42.49,4,6,47.27,170,0,0,0,0
 174,Kent St.,A,42.15,1,10,63.44,98,0,0,0,1
 175,Robert Morris,AA,42,10,0,14.28,231,0,0,0,0
 176,Princeton,AA,41.89,3,7,47.58,169,0,0,0,0
 177,Gardner-Webb,AA,41.62,7,4,38.68,194,0,0,0,0
 178,Duquesne,AA,41.48,10,1,16.12,229,0,0,0,0
 179,Buffalo,A,41.18,2,9,60.47,109,0,0,0,0
 180,Northeastern,AA,40.22,4,7,48.68,159,0,0,0,0
 181,Southern U.,AA,39.64,6,5,34.5,203,0,0,0,0
 182,Davidson,AA,39.6,10,0,17.63,225,0,0,0,0
 183,Southern Illinois,AA,39.55,3,8,49.99,152,0,0,0,0
 184,Citadel,AA,39.51,2,9,57.59,123,0,0,0,1
 185,Columbia,AA,38.85,3,7,44.76,183,0,0,0,0
 186,Hampton,AA,38.78,7,4,34.27,204,0,0,0,0
 187,Dayton,AA,38.54,8,3,29.94,215,0,0,0,0
 188,Louisiana-Lafayette,A,37.85,1,10,57.5,124,0,0,0,1
 189,Alabama A&M,AA,37.79,7,5,33.91,205,0,0,0,0
 190,Jackson St.,AA,37.47,7,4,31.65,213,0,0,0,0
 191,New Haven,II,36.81,5,5,50.85,142,0,0,0,0
 192,Drake,AA,36.75,7,4,29.67,216,0,0,0,0
 193,Lafayette,AA,36.59,2,9,47.78,167,0,0,0,0
 194,Alabama St.,AA,36.29,6,5,35.35,202,0,0,0,0
 195,Ark.-Pine Bluff,AA,35.75,6,5,30.61,214,0,0,0,0
 196,SE Missouri St.,AA,35.4,3,8,48.95,157,0,0,0,0
 197,Tennessee St.,AA,35.23,3,8,44.07,185,0,0,0,0
 198,VMI,AA,35.23,2,9,52.18,140,0,0,0,0
 199,Montana St.,AA,35.18,0,11,59.16,115,0,0,0,0
 200,Fordham,AA,34.42,3,8,45.14,181,0,0,0,0
 201,Dartmouth,AA,34.12,2,8,47.67,168,0,0,0,0
 202,Delaware St.,AA,34.09,7,4,33.26,210,0,0,0,0
 203,Fairfield,AA,33.32,8,2,11.45,238,0,0,0,0
 204,Liberty,AA,33.24,3,8,49.32,156,0,0,0,0
 205,Texas Southern,AA,32.98,8,3,28.91,219,0,0,0,0
 206,Morehead St.,AA,32.5,6,3,33.81,206,0,0,0,0
 207,Samford,AA,32.19,4,7,40.93,190,0,0,0,0
 208,Charleston Southern,AA,30.69,5,6,36.52,195,0,0,0,0
 209,Louisiana-Monroe,A,30.47,1,10,58.61,118,0,0,0,1
 210,Indiana St.,AA,30.31,1,10,54.94,132,0,0,0,0
 211,Nicholls St.,AA,29.13,1,10,48.87,158,0,0,0,0
 212,Morris Brown,II,29.09,4,6,32.38,211,0,0,0,0
 213,Sacred Heart,AA,28.42,10,1,10.58,239,0,0,0,0
 214,Valparaiso,AA,28.2,7,4,23.13,221,0,0,0,0
 215,Albany (NY),AA,24.65,5,6,21.5,224,0,0,0,0
 216,Howard,AA,23.23,3,8,35.77,197,0,0,0,0
 217,Georgetown,AA,22.49,5,6,25.96,220,0,0,0,0
 218,So. Carolina St.,AA,22.17,3,8,32.15,212,0,0,0,0
 219,Wagner,AA,20.88,6,5,14.14,232,0,0,0,0
 220,Norfolk St.,AA,20.28,3,8,35.5,200,0,0,0,0
 221,Monmouth-NJ,AA,19.81,5,6,16.78,226,0,0,0,0
 222,Miss. Valley St.,AA,18.68,2,9,36.47,196,0,0,0,0
 223,Marist,AA,17.6,6,4,12.24,235,0,0,0,0
 224,San Diego,AA,16.97,4,6,29.59,217,0,0,0,0
 225,Alcorn St.,AA,15.85,0,11,35.67,199,0,0,0,0
 226,Morgan St.,AA,15.78,1,10,38.87,192,0,0,0,0
 227,Butler,AA,15.35,2,8,23.1,222,0,0,0,0
 228,Jacksonville,AA,13.17,3,8,22.71,223,0,0,0,0
 229,Savannah St.,II,11.52,2,8,33.6,208,0,0,0,0
 230,Tenn.-Martin,AA,11.51,2,9,48.14,165,0,0,0,0
 231,Prairie View A&M,AA,9.86,1,10,38.7,193,0,0,0,0
 232,St. John's,AA,7.66,5,6,11.7,236,0,0,0,0
 233,Austin Peay,AA,7.43,2,9,33.78,207,0,0,0,0
 234,La Salle,AA,5.8,7,4,6.59,241,0,0,0,0
 235,Central Conn. St.,AA,2.51,4,6,16.27,227,0,0,0,0
 236,Iona,AA,0.46,4,7,12.93,233,0,0,0,0
 237,Stony Brook,AA,-0.18,2,8,16.15,228,0,0,0,0
 238,St. Peter's,AA,-1.89,4,7,7.63,240,0,0,0,0
 239,Siena,AA,-6.15,1,9,11.68,237,0,0,0,0
 240,St. Francis-Pa.,AA,-18.18,0,11,15.4,230,0,0,0,0
 241,Canisius,AA,-19.44,0,10,12.32,234,0,0,0,0
