"Year","Conference","Team"
1892,"Independent","Colorado"
1893,"Colorado Football Association","Colorado"
1894,"Colorado Football Association","Colorado"
1895,"Colorado Football Association","Colorado"
1896,"Colorado Football Association","Colorado"
1897,"Colorado Football Association","Colorado"
1898,"Colorado Football Association","Colorado"
1899,"Colorado Football Association","Colorado"
1900,"Colorado Football Association","Colorado"
1901,"Colorado Football Association","Colorado"
1902,"Colorado Football Association","Colorado"
1903,"Colorado Football Association","Colorado"
1904,"Colorado Football Association","Colorado"
1905,"Colorado Football Association","Colorado"
1906,"Colorado Football Association","Colorado"
1907,"Colorado Football Association","Colorado"
1908,"Colorado Football Association","Colorado"
1909,"Rocky Mountain Athletic Conference","Colorado"
1910,"Rocky Mountain Athletic Conference","Colorado"
1911,"Rocky Mountain Athletic Conference","Colorado"
1912,"Rocky Mountain Athletic Conference","Colorado"
1913,"Rocky Mountain Athletic Conference","Colorado"
1914,"Rocky Mountain Athletic Conference","Colorado"
1915,"Rocky Mountain Athletic Conference","Colorado"
1916,"Rocky Mountain Athletic Conference","Colorado"
1917,"Rocky Mountain Athletic Conference","Colorado"
1918,"Rocky Mountain Athletic Conference","Colorado"
1919,"Rocky Mountain Athletic Conference","Colorado"
1920,"Rocky Mountain Athletic Conference","Colorado"
1921,"Rocky Mountain Athletic Conference","Colorado"
1922,"Rocky Mountain Athletic Conference","Colorado"
1923,"Rocky Mountain Athletic Conference","Colorado"
1924,"Rocky Mountain Athletic Conference","Colorado"
1925,"Rocky Mountain Athletic Conference","Colorado"
1926,"Rocky Mountain Athletic Conference","Colorado"
1927,"Rocky Mountain Athletic Conference","Colorado"
1928,"Rocky Mountain Athletic Conference","Colorado"
1929,"Rocky Mountain Athletic Conference","Colorado"
1930,"Rocky Mountain Athletic Conference","Colorado"
1931,"Rocky Mountain Athletic Conference","Colorado"
1932,"Rocky Mountain Athletic Conference","Colorado"
1933,"Rocky Mountain Athletic Conference","Colorado"
1934,"Rocky Mountain Athletic Conference","Colorado"
1935,"Rocky Mountain Athletic Conference","Colorado"
1936,"Rocky Mountain Athletic Conference","Colorado"
1937,"Rocky Mountain Athletic Conference","Colorado"
1938,"Mountain States Athletic Conference","Colorado"
1939,"Mountain States Athletic Conference","Colorado"
1940,"Mountain States Athletic Conference","Colorado"
1941,"Mountain States Athletic Conference","Colorado"
1942,"Mountain States Athletic Conference","Colorado"
1943,"Mountain States Athletic Conference","Colorado"
1944,"Mountain States Athletic Conference","Colorado"
1945,"Mountain States Athletic Conference","Colorado"
1946,"Mountain States Athletic Conference","Colorado"
1947,"Mountain States Athletic Conference","Colorado"
1948,"Big Eight Conference","Colorado"
1949,"Big Eight Conference","Colorado"
1950,"Big Eight Conference","Colorado"
1951,"Big Eight Conference","Colorado"
1952,"Big Eight Conference","Colorado"
1953,"Big Eight Conference","Colorado"
1954,"Big Eight Conference","Colorado"
1955,"Big Eight Conference","Colorado"
1956,"Big Eight Conference","Colorado"
1957,"Big Eight Conference","Colorado"
1958,"Big Eight Conference","Colorado"
1959,"Big Eight Conference","Colorado"
1960,"Big Eight Conference","Colorado"
1961,"Big Eight Conference","Colorado"
1962,"Big Eight Conference","Colorado"
1963,"Big Eight Conference","Colorado"
1964,"Big Eight Conference","Colorado"
1965,"Big Eight Conference","Colorado"
1966,"Big Eight Conference","Colorado"
1967,"Big Eight Conference","Colorado"
1968,"Big Eight Conference","Colorado"
1969,"Big Eight Conference","Colorado"
1970,"Big Eight Conference","Colorado"
1971,"Big Eight Conference","Colorado"
1972,"Big Eight Conference","Colorado"
1973,"Big Eight Conference","Colorado"
1974,"Big Eight Conference","Colorado"
1975,"Big Eight Conference","Colorado"
1976,"Big Eight Conference","Colorado"
1977,"Big Eight Conference","Colorado"
1978,"Big Eight Conference","Colorado"
1979,"Big Eight Conference","Colorado"
1980,"Big Eight Conference","Colorado"
1981,"Big Eight Conference","Colorado"
1982,"Big Eight Conference","Colorado"
1983,"Big Eight Conference","Colorado"
1984,"Big Eight Conference","Colorado"
1985,"Big Eight Conference","Colorado"
1986,"Big Eight Conference","Colorado"
1987,"Big Eight Conference","Colorado"
1988,"Big Eight Conference","Colorado"
1989,"Big Eight Conference","Colorado"
1990,"Big Eight Conference","Colorado"
1991,"Big Eight Conference","Colorado"
1992,"Big Eight Conference","Colorado"
1993,"Big Eight Conference","Colorado"
1994,"Big Eight Conference","Colorado"
1995,"Big Eight Conference","Colorado"
1996,"Big 12 Conference","Colorado"
1997,"Big 12 Conference","Colorado"
1998,"Big 12 Conference","Colorado"
1999,"Big 12 Conference","Colorado"
2000,"Big 12 Conference","Colorado"
2001,"Big 12 Conference","Colorado"
2002,"Big 12 Conference","Colorado"
2003,"Big 12 Conference","Colorado"
2004,"Big 12 Conference","Colorado"
2005,"Big 12 Conference","Colorado"
2006,"Big 12 Conference","Colorado"
2007,"Big 12 Conference","Colorado"
2008,"Big 12 Conference","Colorado"
2009,"Big 12 Conference","Colorado"
2010,"Big 12 Conference","Colorado"
2011,"Pacific-12 Conference","Colorado"
2012,"Pacific-12 Conference","Colorado"
2013,"Pacific-12 Conference","Colorado"
1892,"Independent","Colorado St."
1893,"Colorado Football Association","Colorado St."
1894,"Colorado Football Association","Colorado St."
1895,"Colorado Football Association","Colorado St."
1896,"Colorado Football Association","Colorado St."
1897,"Colorado Football Association","Colorado St."
1898,"Colorado Football Association","Colorado St."
1899,"Colorado Football Association","Colorado St."
1900,"Colorado Football Association","Colorado St."
1901,"Colorado Football Association","Colorado St."
1902,"Colorado Football Association","Colorado St."
1903,"Colorado Football Association","Colorado St."
1904,"Colorado Football Association","Colorado St."
1905,"Colorado Football Association","Colorado St."
1906,"Colorado Football Association","Colorado St."
1907,"Colorado Football Association","Colorado St."
1908,"Colorado Football Association","Colorado St."
1909,"Rocky Mountain Athletic Conference","Colorado St."
1910,"Rocky Mountain Athletic Conference","Colorado St."
1911,"Rocky Mountain Athletic Conference","Colorado St."
1912,"Rocky Mountain Athletic Conference","Colorado St."
1913,"Rocky Mountain Athletic Conference","Colorado St."
1914,"Rocky Mountain Athletic Conference","Colorado St."
1915,"Rocky Mountain Athletic Conference","Colorado St."
1916,"Rocky Mountain Athletic Conference","Colorado St."
1917,"Rocky Mountain Athletic Conference","Colorado St."
1918,"Rocky Mountain Athletic Conference","Colorado St."
1919,"Rocky Mountain Athletic Conference","Colorado St."
1920,"Rocky Mountain Athletic Conference","Colorado St."
1921,"Rocky Mountain Athletic Conference","Colorado St."
1922,"Rocky Mountain Athletic Conference","Colorado St."
1923,"Rocky Mountain Athletic Conference","Colorado St."
1924,"Rocky Mountain Athletic Conference","Colorado St."
1925,"Rocky Mountain Athletic Conference","Colorado St."
1926,"Rocky Mountain Athletic Conference","Colorado St."
1927,"Rocky Mountain Athletic Conference","Colorado St."
1928,"Rocky Mountain Athletic Conference","Colorado St."
1929,"Rocky Mountain Athletic Conference","Colorado St."
1930,"Rocky Mountain Athletic Conference","Colorado St."
1931,"Rocky Mountain Athletic Conference","Colorado St."
1932,"Rocky Mountain Athletic Conference","Colorado St."
1933,"Rocky Mountain Athletic Conference","Colorado St."
1934,"Rocky Mountain Athletic Conference","Colorado St."
1935,"Rocky Mountain Athletic Conference","Colorado St."
1936,"Rocky Mountain Athletic Conference","Colorado St."
1937,"Rocky Mountain Athletic Conference","Colorado St."
1938,"Mountain States Athletic Conference","Colorado St."
1939,"Mountain States Athletic Conference","Colorado St."
1940,"Mountain States Athletic Conference","Colorado St."
1941,"Mountain States Athletic Conference","Colorado St."
1942,"Mountain States Athletic Conference","Colorado St."
1943,"Mountain States Athletic Conference","Colorado St."
1944,"Mountain States Athletic Conference","Colorado St."
1945,"Mountain States Athletic Conference","Colorado St."
1946,"Mountain States Athletic Conference","Colorado St."
1947,"Mountain States Athletic Conference","Colorado St."
1948,"Mountain States Athletic Conference","Colorado St."
1949,"Mountain States Athletic Conference","Colorado St."
1950,"Mountain States Athletic Conference","Colorado St."
1951,"Mountain States Athletic Conference","Colorado St."
1952,"Mountain States Athletic Conference","Colorado St."
1953,"Mountain States Athletic Conference","Colorado St."
1954,"Mountain States Athletic Conference","Colorado St."
1955,"Mountain States Athletic Conference","Colorado St."
1956,"Mountain States Athletic Conference","Colorado St."
1957,"Mountain States Athletic Conference","Colorado St."
1958,"Mountain States Athletic Conference","Colorado St."
1959,"Mountain States Athletic Conference","Colorado St."
1960,"Mountain States Athletic Conference","Colorado St."
1961,"Mountain States Athletic Conference","Colorado St."
1962,"Independent","Colorado St."
1963,"Independent","Colorado St."
1964,"Independent","Colorado St."
1965,"Independent","Colorado St."
1966,"Independent","Colorado St."
1967,"Independent","Colorado St."
1968,"Western Athletic Conference","Colorado St."
1969,"Western Athletic Conference","Colorado St."
1970,"Western Athletic Conference","Colorado St."
1971,"Western Athletic Conference","Colorado St."
1972,"Western Athletic Conference","Colorado St."
1973,"Western Athletic Conference","Colorado St."
1974,"Western Athletic Conference","Colorado St."
1975,"Western Athletic Conference","Colorado St."
1976,"Western Athletic Conference","Colorado St."
1977,"Western Athletic Conference","Colorado St."
1978,"Western Athletic Conference","Colorado St."
1979,"Western Athletic Conference","Colorado St."
1980,"Western Athletic Conference","Colorado St."
1981,"Western Athletic Conference","Colorado St."
1982,"Western Athletic Conference","Colorado St."
1983,"Western Athletic Conference","Colorado St."
1984,"Western Athletic Conference","Colorado St."
1985,"Western Athletic Conference","Colorado St."
1986,"Western Athletic Conference","Colorado St."
1987,"Western Athletic Conference","Colorado St."
1988,"Western Athletic Conference","Colorado St."
1989,"Western Athletic Conference","Colorado St."
1990,"Western Athletic Conference","Colorado St."
1991,"Western Athletic Conference","Colorado St."
1992,"Western Athletic Conference","Colorado St."
1993,"Western Athletic Conference","Colorado St."
1994,"Western Athletic Conference","Colorado St."
1995,"Western Athletic Conference","Colorado St."
1996,"Western Athletic Conference","Colorado St."
1997,"Western Athletic Conference","Colorado St."
1998,"Western Athletic Conference","Colorado St."
1999,"Mountain West Conference","Colorado St."
2000,"Mountain West Conference","Colorado St."
2001,"Mountain West Conference","Colorado St."
2002,"Mountain West Conference","Colorado St."
2003,"Mountain West Conference","Colorado St."
2004,"Mountain West Conference","Colorado St."
2005,"Mountain West Conference","Colorado St."
2006,"Mountain West Conference","Colorado St."
2007,"Mountain West Conference","Colorado St."
2008,"Mountain West Conference","Colorado St."
2009,"Mountain West Conference","Colorado St."
2010,"Mountain West Conference","Colorado St."
2011,"Mountain West Conference","Colorado St."
2012,"Mountain West Conference","Colorado St."
2013,"Mountain West Conference","Colorado St."
1896,"Independent","Connecticut"
1897,"Independent","Connecticut"
1898,"Independent","Connecticut"
1899,"Independent","Connecticut"
1900,"Independent","Connecticut"
1901,"Independent","Connecticut"
1902,"Independent","Connecticut"
1903,"Independent","Connecticut"
1904,"Independent","Connecticut"
1905,"Independent","Connecticut"
1906,"Independent","Connecticut"
1907,"Independent","Connecticut"
1908,"Independent","Connecticut"
1909,"Independent","Connecticut"
1910,"Independent","Connecticut"
1911,"Independent","Connecticut"
1912,"Independent","Connecticut"
1913,"Independent","Connecticut"
1914,"Independent","Connecticut"
1915,"Independent","Connecticut"
1916,"Independent","Connecticut"
1917,"Independent","Connecticut"
1918,"Independent","Connecticut"
1919,"Independent","Connecticut"
1920,"Independent","Connecticut"
1921,"Independent","Connecticut"
1922,"Independent","Connecticut"
1923,"Independent","Connecticut"
1924,"Independent","Connecticut"
1925,"Independent","Connecticut"
1926,"Independent","Connecticut"
1927,"Independent","Connecticut"
1928,"Independent","Connecticut"
1929,"Independent","Connecticut"
1930,"Independent","Connecticut"
1931,"Independent","Connecticut"
1932,"Independent","Connecticut"
1933,"Independent","Connecticut"
1934,"Independent","Connecticut"
1935,"Independent","Connecticut"
1936,"Independent","Connecticut"
1937,"Independent","Connecticut"
1938,"Independent","Connecticut"
1939,"Independent","Connecticut"
1940,"Independent","Connecticut"
1941,"Independent","Connecticut"
1942,"Independent","Connecticut"
1943,"Independent","Connecticut"
1944,"Independent","Connecticut"
1945,"Independent","Connecticut"
1946,"Independent","Connecticut"
1947,"Yankee Conference","Connecticut"
1948,"Yankee Conference","Connecticut"
1949,"Yankee Conference","Connecticut"
1950,"Yankee Conference","Connecticut"
1951,"Yankee Conference","Connecticut"
1952,"Yankee Conference","Connecticut"
1953,"Yankee Conference","Connecticut"
1954,"Yankee Conference","Connecticut"
1955,"Yankee Conference","Connecticut"
1956,"Yankee Conference","Connecticut"
1957,"Yankee Conference","Connecticut"
1958,"Yankee Conference","Connecticut"
1959,"Yankee Conference","Connecticut"
1960,"Yankee Conference","Connecticut"
1961,"Yankee Conference","Connecticut"
1962,"Yankee Conference","Connecticut"
1963,"Yankee Conference","Connecticut"
1964,"Yankee Conference","Connecticut"
1965,"Yankee Conference","Connecticut"
1966,"Yankee Conference","Connecticut"
1967,"Yankee Conference","Connecticut"
1968,"Yankee Conference","Connecticut"
1969,"Yankee Conference","Connecticut"
1970,"Yankee Conference","Connecticut"
1971,"Yankee Conference","Connecticut"
1972,"Yankee Conference","Connecticut"
1973,"Yankee Conference","Connecticut"
1974,"Yankee Conference","Connecticut"
1975,"Yankee Conference","Connecticut"
1976,"Yankee Conference","Connecticut"
1977,"Yankee Conference","Connecticut"
1978,"Yankee Conference","Connecticut"
1979,"Yankee Conference","Connecticut"
1980,"Yankee Conference","Connecticut"
1981,"Yankee Conference","Connecticut"
1982,"Yankee Conference","Connecticut"
1983,"Yankee Conference","Connecticut"
1984,"Yankee Conference","Connecticut"
1985,"Yankee Conference","Connecticut"
1986,"Yankee Conference","Connecticut"
1987,"Yankee Conference","Connecticut"
1988,"Yankee Conference","Connecticut"
1989,"Yankee Conference","Connecticut"
1990,"Yankee Conference","Connecticut"
1991,"Yankee Conference","Connecticut"
1992,"Yankee Conference","Connecticut"
1993,"Yankee Conference","Connecticut"
1994,"Yankee Conference","Connecticut"
1995,"Yankee Conference","Connecticut"
1996,"Yankee Conference","Connecticut"
1997,"Atlantic 10 Conference","Connecticut"
1998,"Atlantic 10 Conference","Connecticut"
1999,"Atlantic 10 Conference","Connecticut"
2000,"Division I-A Independent","Connecticut"
2001,"Division I-A Independent","Connecticut"
2002,"Division I-A Independent","Connecticut"
2003,"Division I-A Independent","Connecticut"
2004,"Big East Conference","Connecticut"
2005,"Big East Conference","Connecticut"
2006,"Big East Conference","Connecticut"
2007,"Big East Conference","Connecticut"
2008,"Big East Conference","Connecticut"
2009,"Big East Conference","Connecticut"
2010,"Big East Conference","Connecticut"
2011,"Big East Conference","Connecticut"
2012,"Big East Conference","Connecticut"
2013,"American Athletic Conference","Connecticut"
1888,"Independent","Duke (NC)"
1889,"Independent","Duke (NC)"
1890,"Independent","Duke (NC)"
1891,"Independent","Duke (NC)"
1892,"Independent","Duke (NC)"
1893,"Independent","Duke (NC)"
1894,"Independent","Duke (NC)"
1895,"Independent","Duke (NC)"
1896,"Independent","Duke (NC)"
1897,"Independent","Duke (NC)"
1898,"Independent","Duke (NC)"
1899,"Independent","Duke (NC)"
1900,"Independent","Duke (NC)"
1901,"Independent","Duke (NC)"
1902,"Independent","Duke (NC)"
1903,"Independent","Duke (NC)"
1904,"Independent","Duke (NC)"
1905,"Independent","Duke (NC)"
1906,"Independent","Duke (NC)"
1907,"Independent","Duke (NC)"
1908,"Independent","Duke (NC)"
1909,"Independent","Duke (NC)"
1910,"Independent","Duke (NC)"
1911,"Independent","Duke (NC)"
1912,"Independent","Duke (NC)"
1913,"Independent","Duke (NC)"
1914,"Independent","Duke (NC)"
1915,"Independent","Duke (NC)"
1916,"Independent","Duke (NC)"
1917,"Independent","Duke (NC)"
1918,"Independent","Duke (NC)"
1919,"Independent","Duke (NC)"
1920,"Independent","Duke (NC)"
1921,"Independent","Duke (NC)"
1922,"Independent","Duke (NC)"
1923,"Independent","Duke (NC)"
1924,"Independent","Duke (NC)"
1925,"Independent","Duke (NC)"
1926,"Independent","Duke (NC)"
1927,"Independent","Duke (NC)"
1928,"Southern Conference","Duke (NC)"
1929,"Southern Conference","Duke (NC)"
1930,"Southern Conference","Duke (NC)"
1931,"Southern Conference","Duke (NC)"
1932,"Southern Conference","Duke (NC)"
1933,"Southern Conference","Duke (NC)"
1934,"Southern Conference","Duke (NC)"
1935,"Southern Conference","Duke (NC)"
1936,"Southern Conference","Duke (NC)"
1937,"Southern Conference","Duke (NC)"
1938,"Southern Conference","Duke (NC)"
1939,"Southern Conference","Duke (NC)"
1940,"Southern Conference","Duke (NC)"
1941,"Southern Conference","Duke (NC)"
1942,"Southern Conference","Duke (NC)"
1943,"Southern Conference","Duke (NC)"
1944,"Southern Conference","Duke (NC)"
1945,"Southern Conference","Duke (NC)"
1946,"Southern Conference","Duke (NC)"
1947,"Southern Conference","Duke (NC)"
1948,"Southern Conference","Duke (NC)"
1949,"Southern Conference","Duke (NC)"
1950,"Southern Conference","Duke (NC)"
1951,"Southern Conference","Duke (NC)"
1952,"Southern Conference","Duke (NC)"
1932,"Big Five Conference","Duke (NC)"
1933,"Big Five Conference","Duke (NC)"
1934,"Big Five Conference","Duke (NC)"
1935,"Big Five Conference","Duke (NC)"
1936,"Big Five Conference","Duke (NC)"
1953,"Atlantic Coast Conference","Duke (NC)"
1954,"Atlantic Coast Conference","Duke (NC)"
1955,"Atlantic Coast Conference","Duke (NC)"
1956,"Atlantic Coast Conference","Duke (NC)"
1957,"Atlantic Coast Conference","Duke (NC)"
1958,"Atlantic Coast Conference","Duke (NC)"
1959,"Atlantic Coast Conference","Duke (NC)"
1960,"Atlantic Coast Conference","Duke (NC)"
1961,"Atlantic Coast Conference","Duke (NC)"
1962,"Atlantic Coast Conference","Duke (NC)"
1963,"Atlantic Coast Conference","Duke (NC)"
1964,"Atlantic Coast Conference","Duke (NC)"
1965,"Atlantic Coast Conference","Duke (NC)"
1966,"Atlantic Coast Conference","Duke (NC)"
1967,"Atlantic Coast Conference","Duke (NC)"
1968,"Atlantic Coast Conference","Duke (NC)"
1969,"Atlantic Coast Conference","Duke (NC)"
1970,"Atlantic Coast Conference","Duke (NC)"
1971,"Atlantic Coast Conference","Duke (NC)"
1972,"Atlantic Coast Conference","Duke (NC)"
1973,"Atlantic Coast Conference","Duke (NC)"
1974,"Atlantic Coast Conference","Duke (NC)"
1975,"Atlantic Coast Conference","Duke (NC)"
1976,"Atlantic Coast Conference","Duke (NC)"
1977,"Atlantic Coast Conference","Duke (NC)"
1978,"Atlantic Coast Conference","Duke (NC)"
1979,"Atlantic Coast Conference","Duke (NC)"
1980,"Atlantic Coast Conference","Duke (NC)"
1981,"Atlantic Coast Conference","Duke (NC)"
1982,"Atlantic Coast Conference","Duke (NC)"
1983,"Atlantic Coast Conference","Duke (NC)"
1984,"Atlantic Coast Conference","Duke (NC)"
1985,"Atlantic Coast Conference","Duke (NC)"
1986,"Atlantic Coast Conference","Duke (NC)"
1987,"Atlantic Coast Conference","Duke (NC)"
1988,"Atlantic Coast Conference","Duke (NC)"
1989,"Atlantic Coast Conference","Duke (NC)"
1990,"Atlantic Coast Conference","Duke (NC)"
1991,"Atlantic Coast Conference","Duke (NC)"
1992,"Atlantic Coast Conference","Duke (NC)"
1993,"Atlantic Coast Conference","Duke (NC)"
1994,"Atlantic Coast Conference","Duke (NC)"
1995,"Atlantic Coast Conference","Duke (NC)"
1996,"Atlantic Coast Conference","Duke (NC)"
1997,"Atlantic Coast Conference","Duke (NC)"
1998,"Atlantic Coast Conference","Duke (NC)"
1999,"Atlantic Coast Conference","Duke (NC)"
2000,"Atlantic Coast Conference","Duke (NC)"
2001,"Atlantic Coast Conference","Duke (NC)"
2002,"Atlantic Coast Conference","Duke (NC)"
2003,"Atlantic Coast Conference","Duke (NC)"
2004,"Atlantic Coast Conference","Duke (NC)"
2005,"Atlantic Coast Conference","Duke (NC)"
2006,"Atlantic Coast Conference","Duke (NC)"
2007,"Atlantic Coast Conference","Duke (NC)"
2008,"Atlantic Coast Conference","Duke (NC)"
2009,"Atlantic Coast Conference","Duke (NC)"
2010,"Atlantic Coast Conference","Duke (NC)"
2011,"Atlantic Coast Conference","Duke (NC)"
2012,"Atlantic Coast Conference","Duke (NC)"
2013,"Atlantic Coast Conference","Duke (NC)"
1932,"Independent","East Carolina (NC)"
1933,"Independent","East Carolina (NC)"
1934,"Independent","East Carolina (NC)"
1935,"Independent","East Carolina (NC)"
1936,"Independent","East Carolina (NC)"
1937,"Independent","East Carolina (NC)"
1938,"Independent","East Carolina (NC)"
1939,"Independent","East Carolina (NC)"
1940,"Independent","East Carolina (NC)"
1941,"Independent","East Carolina (NC)"
1942,"Independent","East Carolina (NC)"
1943,"Independent","East Carolina (NC)"
1944,"Independent","East Carolina (NC)"
1945,"Independent","East Carolina (NC)"
1946,"Independent","East Carolina (NC)"
1947,"North State Conference","East Carolina (NC)"
1948,"North State Conference","East Carolina (NC)"
1949,"North State Conference","East Carolina (NC)"
1950,"North State Conference","East Carolina (NC)"
1951,"North State Conference","East Carolina (NC)"
1952,"North State Conference","East Carolina (NC)"
1953,"North State Conference","East Carolina (NC)"
1954,"North State Conference","East Carolina (NC)"
1955,"North State Conference","East Carolina (NC)"
1956,"North State Conference","East Carolina (NC)"
1957,"North State Conference","East Carolina (NC)"
1958,"North State Conference","East Carolina (NC)"
1959,"North State Conference","East Carolina (NC)"
1960,"North State Conference","East Carolina (NC)"
1961,"Carolinas Conference","East Carolina (NC)"
1962,"Independent","East Carolina (NC)"
1963,"Independent","East Carolina (NC)"
1964,"Independent","East Carolina (NC)"
1965,"Southern Conference","East Carolina (NC)"
1966,"Southern Conference","East Carolina (NC)"
1967,"Southern Conference","East Carolina (NC)"
1968,"Southern Conference","East Carolina (NC)"
1969,"Southern Conference","East Carolina (NC)"
1970,"Southern Conference","East Carolina (NC)"
1971,"Southern Conference","East Carolina (NC)"
1972,"Southern Conference","East Carolina (NC)"
1973,"Southern Conference","East Carolina (NC)"
1974,"Southern Conference","East Carolina (NC)"
1975,"Southern Conference","East Carolina (NC)"
1976,"Southern Conference","East Carolina (NC)"
1977,"Division I Independent","East Carolina (NC)"
1978,"Division I-A Independent","East Carolina (NC)"
1979,"Division I-A Independent","East Carolina (NC)"
1980,"Division I-A Independent","East Carolina (NC)"
1981,"Division I-A Independent","East Carolina (NC)"
1982,"Division I-A Independent","East Carolina (NC)"
1983,"Division I-A Independent","East Carolina (NC)"
1984,"Division I-A Independent","East Carolina (NC)"
1985,"Division I-A Independent","East Carolina (NC)"
1986,"Division I-A Independent","East Carolina (NC)"
1987,"Division I-A Independent","East Carolina (NC)"
1988,"Division I-A Independent","East Carolina (NC)"
1989,"Division I-A Independent","East Carolina (NC)"
1990,"Division I-A Independent","East Carolina (NC)"
1991,"Division I-A Independent","East Carolina (NC)"
1992,"Division I-A Independent","East Carolina (NC)"
1993,"Division I-A Independent","East Carolina (NC)"
1994,"Division I-A Independent","East Carolina (NC)"
1995,"Division I-A Independent","East Carolina (NC)"
1996,"Division I-A Independent","East Carolina (NC)"
1997,"Conference USA","East Carolina (NC)"
1998,"Conference USA","East Carolina (NC)"
1999,"Conference USA","East Carolina (NC)"
2000,"Conference USA","East Carolina (NC)"
2001,"Conference USA","East Carolina (NC)"
2002,"Conference USA","East Carolina (NC)"
2003,"Conference USA","East Carolina (NC)"
2004,"Conference USA","East Carolina (NC)"
2005,"Conference USA","East Carolina (NC)"
2006,"Conference USA","East Carolina (NC)"
2007,"Conference USA","East Carolina (NC)"
2008,"Conference USA","East Carolina (NC)"
2009,"Conference USA","East Carolina (NC)"
2010,"Conference USA","East Carolina (NC)"
2011,"Conference USA","East Carolina (NC)"
2012,"Conference USA","East Carolina (NC)"
2013,"Conference USA","East Carolina (NC)"
1891,"Independent","Eastern Michigan"
1892,"Independent","Eastern Michigan"
1893,"Independent","Eastern Michigan"
1894,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1895,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1896,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1897,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1898,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1899,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1900,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1901,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1902,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1903,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1904,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1905,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1906,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1907,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1908,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1909,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1910,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1911,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1912,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1913,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1914,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1915,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1916,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1917,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1918,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1919,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1920,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1921,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1922,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1923,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1924,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1925,"Michigan Intercollegiate Athletic Association","Eastern Michigan"
1926,"Independent","Eastern Michigan"
1927,"Michigan Collegiate Conference","Eastern Michigan"
1928,"Michigan Collegiate Conference","Eastern Michigan"
1929,"Michigan Collegiate Conference","Eastern Michigan"
1930,"Michigan Collegiate Conference","Eastern Michigan"
1931,"Independent","Eastern Michigan"
1932,"Independent","Eastern Michigan"
1933,"Independent","Eastern Michigan"
1934,"Independent","Eastern Michigan"
1935,"Independent","Eastern Michigan"
1936,"Independent","Eastern Michigan"
1937,"Independent","Eastern Michigan"
1938,"Independent","Eastern Michigan"
1939,"Independent","Eastern Michigan"
1940,"Independent","Eastern Michigan"
1941,"Independent","Eastern Michigan"
1942,"Independent","Eastern Michigan"
1943,"Independent","Eastern Michigan"
1944,"Independent","Eastern Michigan"
1945,"Independent","Eastern Michigan"
1946,"Independent","Eastern Michigan"
1947,"Independent","Eastern Michigan"
1948,"Independent","Eastern Michigan"
1949,"Independent","Eastern Michigan"
1950,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1951,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1952,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1953,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1954,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1955,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1956,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1957,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1958,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1959,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1960,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1961,"Interstate Intercollegiate Athletic Conference","Eastern Michigan"
1962,"Independent","Eastern Michigan"
1963,"Independent","Eastern Michigan"
1964,"Presidents' Athletic Conference","Eastern Michigan"
1965,"Presidents' Athletic Conference","Eastern Michigan"
1966,"Independent","Eastern Michigan"
1967,"Independent","Eastern Michigan"
