"No","Year","Record","APRank","CoachRank","Team","offName"
"44","1999","10-3-0","8","8","Alabama","The University of Alabama"
"45","2002","10-3-0","11","","Alabama","The University of Alabama"
"46","2005","0-2-0","8","8","Alabama","The University of Alabama"
"47","2008","12-2-0","6","6","Alabama","The University of Alabama"
"48","2009","14-0-0","1","1","Alabama","The University of Alabama"
"49","2010","10-3-0","10","11","Alabama","The University of Alabama"
"50","2011","12-1-0","1","1","Alabama","The University of Alabama"
"51","2012","13-1-0","1","1","Alabama","The University of Alabama"
"52","2013","11-2-0","7","8","Alabama","The University of Alabama"
"1","1961","8-1-1","17","","Arizona","University of Arizona"
"2","1975","9-2-0","18","13","Arizona","University of Arizona"
"3","1986","9-3-0","11","10","Arizona","University of Arizona"
"4","1989","8-4-0","25","","Arizona","University of Arizona"
"5","1993","10-2-0","10","9","Arizona","University of Arizona"
"6","1994","8-4-0","20","20","Arizona","University of Arizona"
"7","1998","12-1-0","4","4","Arizona","University of Arizona"
"1","1957","10-0-0","12","12","Arizona St.","Arizona State University"
"2","1962","7-2-1","","18","Arizona St.","Arizona State University"
"3","1963","8-1-0","","13","Arizona St.","Arizona State University"
"4","1967","8-2-0","","20","Arizona St.","Arizona State University"
"5","1970","11-0-0","6","8","Arizona St.","Arizona State University"
"6","1971","11-1-0","8","6","Arizona St.","Arizona State University"
"7","1972","10-2-0","13","13","Arizona St.","Arizona State University"
"8","1973","11-1-0","9","10","Arizona St.","Arizona State University"
"9","1975","12-0-0","2","2","Arizona St.","Arizona State University"
"10","1977","9-3-0","18","18","Arizona St.","Arizona State University"
"11","1978","9-3-0","","19","Arizona St.","Arizona State University"
"12","1981","9-2-0","16","","Arizona St.","Arizona State University"
"13","1982","10-2-0","6","6","Arizona St.","Arizona State University"
"14","1986","10-1-1","4","5","Arizona St.","Arizona State University"
"15","1987","7-4-1","20","","Arizona St.","Arizona State University"
"16","1996","11-1-0","4","4","Arizona St.","Arizona State University"
"17","1997","9-3-0","14","14","Arizona St.","Arizona State University"
"18","2004","9-3-0","19","20","Arizona St.","Arizona State University"
