"No","Year","Record","APRank","CoachRank","Team","offName"
"28","1987","10-2-0","6","6","Nebraska","University of Nebraska - Lincoln"
"29","1988","11-2-0","10","10","Nebraska","University of Nebraska - Lincoln"
"30","1989","10-2-0","11","12","Nebraska","University of Nebraska - Lincoln"
"31","1990","9-3-0","24","17","Nebraska","University of Nebraska - Lincoln"
"32","1991","9-2-1","15","16","Nebraska","University of Nebraska - Lincoln"
"33","1992","9-3-0","14","14","Nebraska","University of Nebraska - Lincoln"
"34","1993","11-1-0","3","3","Nebraska","University of Nebraska - Lincoln"
"35","1994","13-0-0","1","1","Nebraska","University of Nebraska - Lincoln"
"36","1995","12-0-0","1","1","Nebraska","University of Nebraska - Lincoln"
"37","1996","11-2-0","6","6","Nebraska","University of Nebraska - Lincoln"
"38","1997","13-0-0","2","1","Nebraska","University of Nebraska - Lincoln"
"39","1998","9-4-0","19","20","Nebraska","University of Nebraska - Lincoln"
"40","1999","12-1-0","3","2","Nebraska","University of Nebraska - Lincoln"
"41","2000","10-2-0","8","7","Nebraska","University of Nebraska - Lincoln"
"42","2001","11-2-0","8","7","Nebraska","University of Nebraska - Lincoln"
"43","2003","10-3-0","19","18","Nebraska","University of Nebraska - Lincoln"
"44","2005","8-4-0","24","24","Nebraska","University of Nebraska - Lincoln"
"45","2009","10-4-0","14","14","Nebraska","University of Nebraska - Lincoln"
"46","2010","10-4-0","20","19","Nebraska","University of Nebraska - Lincoln"
"47","2011","9-4-0","24","24","Nebraska","University of Nebraska - Lincoln"
"48","2012","10-4-0","25","23","Nebraska","University of Nebraska - Lincoln"
"49","2013","9-4-0","","25","Nebraska","University of Nebraska - Lincoln"
"1","2010","13-1-0","11","13","Nevada","University of Nevada: Reno"
"1","1964","9-2-0","","16","New Mexico","University of New Mexico"
"1","1960","11-0-0","17","19","New Mexico St.","New Mexico State University"
"1","1937","7-1-1","19","","North Carolina","University of North Carolina at Chapel Hill"
"2","1946","8-2-1","9","","North Carolina","University of North Carolina at Chapel Hill"
"3","1947","8-2-0","9","","North Carolina","University of North Carolina at Chapel Hill"
"4","1948","9-1-1","3","","North Carolina","University of North Carolina at Chapel Hill"
"5","1949","7-4-0","16","","North Carolina","University of North Carolina at Chapel Hill"
"6","1963","9-2-0","","19","North Carolina","University of North Carolina at Chapel Hill"
"7","1971","9-3-0","","18","North Carolina","University of North Carolina at Chapel Hill"
"8","1972","11-1-0","12","14","North Carolina","University of North Carolina at Chapel Hill"
"9","1977","8-3-1","17","14","North Carolina","University of North Carolina at Chapel Hill"
"10","1979","8-3-1","15","14","North Carolina","University of North Carolina at Chapel Hill"
"11","1980","11-1-0","10","9","North Carolina","University of North Carolina at Chapel Hill"
"12","1981","10-2-0","9","8","North Carolina","University of North Carolina at Chapel Hill"
"13","1982","8-4-0","18","13","North Carolina","University of North Carolina at Chapel Hill"
"14","1992","9-3-0","19","18","North Carolina","University of North Carolina at Chapel Hill"
"15","1993","10-3-0","19","21","North Carolina","University of North Carolina at Chapel Hill"
"16","1994","8-4-0","","21","North Carolina","University of North Carolina at Chapel Hill"
"17","1996","10-2-0","10","10","North Carolina","University of North Carolina at Chapel Hill"
"18","1997","11-1-0","6","4","North Carolina","University of North Carolina at Chapel Hill"
"1","1946","8-3-0","18","","North Carolina St.","North Carolina State University"
"2","1947","5-3-1","17","","North Carolina St.","North Carolina State University"
"3","1957","7-1-2","15","20","North Carolina St.","North Carolina State University"
"4","1967","9-2-0","","17","North Carolina St.","North Carolina State University"
"5","1972","8-3-1","17","","North Carolina St.","North Carolina State University"
"6","1973","9-3-0","16","","North Carolina St.","North Carolina State University"
"7","1974","9-2-1","11","9","North Carolina St.","North Carolina State University"
"8","1977","8-4-0","","19","North Carolina St.","North Carolina State University"
"9","1978","9-3-0","18","19","North Carolina St.","North Carolina State University"
"10","1988","8-3-1","","17","North Carolina St.","North Carolina State University"
"11","1991","9-3-0","24","25","North Carolina St.","North Carolina State University"
"12","1992","9-3-1","17","15","North Carolina St.","North Carolina State University"
"13","1994","9-3-0","17","17","North Carolina St.","North Carolina State University"
"14","2002","11-3-0","12","11","North Carolina St.","North Carolina State University"
"15","2010","9-4-0","25","25","North Carolina St.","North Carolina State University"
"1","1977","10-1-0","","16","North Texas","University of North Texas"
"1","2012","12-2-0","22","24","Northern Illinois","Northern Illinois University"
"1","1936","7-1-0","7","","Northwestern (IL)","Northwestern University"
"2","1938","4-2-2","17","","Northwestern (IL)","Northwestern University"
"3","1940","6-2-0","8","","Northwestern (IL)","Northwestern University"
"4","1941","5-3-0","11","","Northwestern (IL)","Northwestern University"
"5","1943","6-2-0","9","","Northwestern (IL)","Northwestern University"
"6","1948","8-2-0","7","","Northwestern (IL)","Northwestern University"
"7","1958","5-4-0","","17","Northwestern (IL)","Northwestern University"
"8","1962","7-2-0","","16","Northwestern (IL)","Northwestern University"
"9","1995","10-2-0","8","7","Northwestern (IL)","Northwestern University"
"10","1996","9-3-0","15","16","Northwestern (IL)","Northwestern University"
"11","2012","10-3-0","17","16","Northwestern (IL)","Northwestern University"
"1","1936","6-2-1","8","","Notre Dame (IN)","University of Notre Dame"
"2","1937","6-2-1","9","","Notre Dame (IN)","University of Notre Dame"
"3","1938","8-1-0","5","","Notre Dame (IN)","University of Notre Dame"
"4","1939","7-2-0","13","","Notre Dame (IN)","University of Notre Dame"
"5","1941","8-0-1","3","","Notre Dame (IN)","University of Notre Dame"
"6","1942","7-2-2","6","","Notre Dame (IN)","University of Notre Dame"
"7","1943","9-1-0","1","","Notre Dame (IN)","University of Notre Dame"
"8","1944","8-2-0","9","","Notre Dame (IN)","University of Notre Dame"
"9","1945","7-2-1","9","","Notre Dame (IN)","University of Notre Dame"
"10","1946","8-0-1","1","","Notre Dame (IN)","University of Notre Dame"
"11","1947","9-0-0","1","","Notre Dame (IN)","University of Notre Dame"
"12","1948","9-0-1","2","","Notre Dame (IN)","University of Notre Dame"
"13","1949","10-0-0","1","","Notre Dame (IN)","University of Notre Dame"
"14","1951","7-2-1","","13","Notre Dame (IN)","University of Notre Dame"
"15","1952","7-2-1","3","3","Notre Dame (IN)","University of Notre Dame"
"16","1953","9-0-1","2","2","Notre Dame (IN)","University of Notre Dame"
"17","1954","9-1-0","4","4","Notre Dame (IN)","University of Notre Dame"
"18","1955","8-2-0","9","10","Notre Dame (IN)","University of Notre Dame"
"19","1957","7-3-0","10","9","Notre Dame (IN)","University of Notre Dame"
"20","1958","6-4-0","17","14","Notre Dame (IN)","University of Notre Dame"
"21","1959","5-5-0","17","18","Notre Dame (IN)","University of Notre Dame"
"22","1964","9-1-0","3","3","Notre Dame (IN)","University of Notre Dame"
"23","1965","7-2-1","9","8","Notre Dame (IN)","University of Notre Dame"
"24","1966","9-0-1","1","1","Notre Dame (IN)","University of Notre Dame"
"25","1967","8-2-0","5","4","Notre Dame (IN)","University of Notre Dame"
"26","1968","7-2-1","5","8","Notre Dame (IN)","University of Notre Dame"
"27","1969","8-2-1","5","9","Notre Dame (IN)","University of Notre Dame"
"28","1970","10-1-0","2","5","Notre Dame (IN)","University of Notre Dame"
"29","1971","8-2-0","13","15","Notre Dame (IN)","University of Notre Dame"
"30","1972","8-3-0","14","12","Notre Dame (IN)","University of Notre Dame"
"31","1973","11-0-0","1","4","Notre Dame (IN)","University of Notre Dame"
"32","1974","10-2-0","6","4","Notre Dame (IN)","University of Notre Dame"
"33","1975","8-3-0","","17","Notre Dame (IN)","University of Notre Dame"
"34","1976","9-3-0","12","12","Notre Dame (IN)","University of Notre Dame"
"35","1977","11-1-0","1","1","Notre Dame (IN)","University of Notre Dame"
"36","1978","9-3-0","7","6","Notre Dame (IN)","University of Notre Dame"
"37","1980","9-2-1","9","10","Notre Dame (IN)","University of Notre Dame"
"38","1987","8-4-0","17","","Notre Dame (IN)","University of Notre Dame"
"39","1988","12-0-0","1","1","Notre Dame (IN)","University of Notre Dame"
"40","1989","12-1-0","2","3","Notre Dame (IN)","University of Notre Dame"
"41","1990","9-3-0","6","6","Notre Dame (IN)","University of Notre Dame"
"42","1991","10-3-0","13","12","Notre Dame (IN)","University of Notre Dame"
"43","1992","10-1-1","4","4","Notre Dame (IN)","University of Notre Dame"
"44","1993","11-1-0","2","2","Notre Dame (IN)","University of Notre Dame"
"45","1995","9-3-0","11","13","Notre Dame (IN)","University of Notre Dame"
"46","1996","8-3-0","19","21","Notre Dame (IN)","University of Notre Dame"
"47","1998","9-3-0","22","22","Notre Dame (IN)","University of Notre Dame"
"48","2000","9-3-0","15","16","Notre Dame (IN)","University of Notre Dame"
"49","2002","10-3-0","17","17","Notre Dame (IN)","University of Notre Dame"
"50","2005","9-3-0","9","11","Notre Dame (IN)","University of Notre Dame"
"51","2006","10-3-0","17","19","Notre Dame (IN)","University of Notre Dame"
"52","2012","12-1-0","4","3","Notre Dame (IN)","University of Notre Dame"
"53","2013","9-4-0","20","24","Notre Dame (IN)","University of Notre Dame"
"1","1968","10-1-0","20","18","Ohio","Ohio University"
"1","1937","6-2-0","13","","Ohio St.","Ohio State University: Columbus Campus"
"2","1939","6-2-0","15","","Ohio St.","Ohio State University: Columbus Campus"
"3","1941","6-1-1","13","","Ohio St.","Ohio State University: Columbus Campus"
"4","1942","9-1-0","1","","Ohio St.","Ohio State University: Columbus Campus"
"5","1944","9-0-0","2","","Ohio St.","Ohio State University: Columbus Campus"
"6","1945","7-2-0","12","","Ohio St.","Ohio State University: Columbus Campus"
"7","1949","7-1-2","6","","Ohio St.","Ohio State University: Columbus Campus"
"8","1950","6-3-0","14","10","Ohio St.","Ohio State University: Columbus Campus"
"9","1952","6-3-0","17","15","Ohio St.","Ohio State University: Columbus Campus"
"10","1953","6-3-0","","20","Ohio St.","Ohio State University: Columbus Campus"
"11","1954","10-0-0","1","2","Ohio St.","Ohio State University: Columbus Campus"
"12","1955","7-2-0","5","5","Ohio St.","Ohio State University: Columbus Campus"
"13","1956","6-3-0","15","","Ohio St.","Ohio State University: Columbus Campus"
"14","1957","9-1-0","2","1","Ohio St.","Ohio State University: Columbus Campus"
"15","1958","6-1-2","8","7","Ohio St.","Ohio State University: Columbus Campus"
"16","1960","7-2-0","8","8","Ohio St.","Ohio State University: Columbus Campus"
"17","1961","8-0-1","2","2","Ohio St.","Ohio State University: Columbus Campus"
"18","1962","6-3-0","","13","Ohio St.","Ohio State University: Columbus Campus"
"19","1964","7-2-0","9","9","Ohio St.","Ohio State University: Columbus Campus"
"20","1965","7-2-0","","11","Ohio St.","Ohio State University: Columbus Campus"
"21","1968","10-0-0","1","1","Ohio St.","Ohio State University: Columbus Campus"
"22","1969","8-1-0","4","5","Ohio St.","Ohio State University: Columbus Campus"
"23","1970","9-1-0","5","2","Ohio St.","Ohio State University: Columbus Campus"
"24","1972","9-2-0","9","3","Ohio St.","Ohio State University: Columbus Campus"
"25","1973","10-0-1","2","3","Ohio St.","Ohio State University: Columbus Campus"
"26","1974","10-2-0","4","3","Ohio St.","Ohio State University: Columbus Campus"
"27","1975","11-1-0","4","4","Ohio St.","Ohio State University: Columbus Campus"
"28","1976","9-2-1","6","5","Ohio St.","Ohio State University: Columbus Campus"
"29","1977","9-3-0","11","12","Ohio St.","Ohio State University: Columbus Campus"
"30","1979","11-1-0","4","4","Ohio St.","Ohio State University: Columbus Campus"
"31","1980","9-3-0","15","15","Ohio St.","Ohio State University: Columbus Campus"
"32","1981","9-3-0","15","12","Ohio St.","Ohio State University: Columbus Campus"
"33","1982","9-3-0","12","12","Ohio St.","Ohio State University: Columbus Campus"
"34","1983","9-3-0","9","8","Ohio St.","Ohio State University: Columbus Campus"
"35","1984","9-3-0","13","12","Ohio St.","Ohio State University: Columbus Campus"
"36","1985","9-3-0","14","11","Ohio St.","Ohio State University: Columbus Campus"
"37","1986","10-3-0","7","6","Ohio St.","Ohio State University: Columbus Campus"
"38","1989","8-4-0","24","","Ohio St.","Ohio State University: Columbus Campus"
"39","1992","8-3-1","18","19","Ohio St.","Ohio State University: Columbus Campus"
"40","1993","10-1-1","11","10","Ohio St.","Ohio State University: Columbus Campus"
"41","1994","9-4-0","14","9","Ohio St.","Ohio State University: Columbus Campus"
"42","1995","11-2-0","6","8","Ohio St.","Ohio State University: Columbus Campus"
"43","1996","11-1-0","2","2","Ohio St.","Ohio State University: Columbus Campus"
"44","1997","10-3-0","12","12","Ohio St.","Ohio State University: Columbus Campus"
"45","1998","11-1-0","2","2","Ohio St.","Ohio State University: Columbus Campus"
"46","2002","14-0-0","1","1","Ohio St.","Ohio State University: Columbus Campus"
"47","2003","11-2-0","4","4","Ohio St.","Ohio State University: Columbus Campus"
"48","2004","8-4-0","20","19","Ohio St.","Ohio State University: Columbus Campus"
"49","2005","10-2-0","4","4","Ohio St.","Ohio State University: Columbus Campus"
"50","2006","12-1-0","2","2","Ohio St.","Ohio State University: Columbus Campus"
"51","2007","11-2-0","5","4","Ohio St.","Ohio State University: Columbus Campus"
"52","2008","10-3-0","9","11","Ohio St.","Ohio State University: Columbus Campus"
"53","2009","11-2-0","5","5","Ohio St.","Ohio State University: Columbus Campus"
"54","2010","0-1-0","5","5","Ohio St.","Ohio State University: Columbus Campus"
"55","2012","12-0-0","3","","Ohio St.","Ohio State University: Columbus Campus"
"56","2013","12-2-0","12","10","Ohio St.","Ohio State University: Columbus Campus"
"1","1938","10-1-0","4","","Oklahoma","University of Oklahoma"
"2","1939","6-2-1","19","","Oklahoma","University of Oklahoma"
"3","1946","8-3-0","14","","Oklahoma","University of Oklahoma"
"4","1947","7-2-1","16","","Oklahoma","University of Oklahoma"
"5","1948","10-1-0","5","","Oklahoma","University of Oklahoma"
"6","1949","11-0-0","2","","Oklahoma","University of Oklahoma"
"7","1950","10-1-0","1","1","Oklahoma","University of Oklahoma"
"8","1951","8-2-0","10","11","Oklahoma","University of Oklahoma"
"9","1952","8-1-1","4","4","Oklahoma","University of Oklahoma"
"10","1953","9-1-1","4","5","Oklahoma","University of Oklahoma"
"11","1954","10-0-0","3","3","Oklahoma","University of Oklahoma"
"12","1955","11-0-0","1","1","Oklahoma","University of Oklahoma"
"13","1956","10-0-0","1","1","Oklahoma","University of Oklahoma"
"14","1957","10-1-0","4","4","Oklahoma","University of Oklahoma"
"15","1958","10-1-0","5","5","Oklahoma","University of Oklahoma"
"16","1959","7-3-0","15","17","Oklahoma","University of Oklahoma"
"17","1962","8-3-0","8","7","Oklahoma","University of Oklahoma"
"18","1963","8-2-0","9","8","Oklahoma","University of Oklahoma"
"19","1967","10-1-0","3","3","Oklahoma","University of Oklahoma"
"20","1968","7-4-0","11","10","Oklahoma","University of Oklahoma"
"21","1970","7-4-1","20","15","Oklahoma","University of Oklahoma"
"22","1971","11-1-0","2","3","Oklahoma","University of Oklahoma"
"23","1972","8-4-0","2","2","Oklahoma","University of Oklahoma"
"24","1973","10-0-1","3","2","Oklahoma","University of Oklahoma"
"25","1974","11-0-0","1","","Oklahoma","University of Oklahoma"
"26","1975","11-1-0","1","1","Oklahoma","University of Oklahoma"
"27","1976","9-2-1","5","6","Oklahoma","University of Oklahoma"
"28","1977","10-2-0","7","6","Oklahoma","University of Oklahoma"
"29","1978","11-1-0","3","3","Oklahoma","University of Oklahoma"
"30","1979","11-1-0","3","3","Oklahoma","University of Oklahoma"
"31","1980","10-2-0","3","3","Oklahoma","University of Oklahoma"
"32","1981","7-4-1","20","14","Oklahoma","University of Oklahoma"
"33","1982","8-4-0","16","16","Oklahoma","University of Oklahoma"
"34","1984","9-2-1","6","6","Oklahoma","University of Oklahoma"
"35","1985","11-1-0","1","1","Oklahoma","University of Oklahoma"
"36","1986","11-1-0","3","3","Oklahoma","University of Oklahoma"
"37","1987","11-1-0","3","3","Oklahoma","University of Oklahoma"
"38","1988","9-3-0","14","14","Oklahoma","University of Oklahoma"
"39","1990","8-3-0","17","","Oklahoma","University of Oklahoma"
"40","1991","9-3-0","16","14","Oklahoma","University of Oklahoma"
"41","1993","9-3-0","17","14","Oklahoma","University of Oklahoma"
"42","2000","13-0-0","1","1","Oklahoma","University of Oklahoma"
"43","2001","11-2-0","6","6","Oklahoma","University of Oklahoma"
"44","2002","12-2-0","5","5","Oklahoma","University of Oklahoma"
"45","2003","12-2-0","3","3","Oklahoma","University of Oklahoma"
"46","2004","12-1-0","3","3","Oklahoma","University of Oklahoma"
"47","2005","8-4-0","22","22","Oklahoma","University of Oklahoma"
"48","2006","11-3-0","11","11","Oklahoma","University of Oklahoma"
"49","2007","11-3-0","8","8","Oklahoma","University of Oklahoma"
"50","2008","12-2-0","5","5","Oklahoma","University of Oklahoma"
"51","2010","12-2-0","6","6","Oklahoma","University of Oklahoma"
"52","2011","10-3-0","16","15","Oklahoma","University of Oklahoma"
"53","2012","10-3-0","15","15","Oklahoma","University of Oklahoma"
"54","2013","11-2-0","6","6","Oklahoma","University of Oklahoma"
"1","1945","9-0-0","5","","Oklahoma St.","Oklahoma State University"
"2","1958","8-3-0","19","","Oklahoma St.","Oklahoma State University"
"3","1976","9-3-0","14","14","Oklahoma St.","Oklahoma State University"
"4","1983","8-4-0","","18","Oklahoma St.","Oklahoma State University"
"5","1984","10-2-0","7","5","Oklahoma St.","Oklahoma State University"
"6","1987","10-2-0","11","12","Oklahoma St.","Oklahoma State University"
"7","1988","10-2-0","11","11","Oklahoma St.","Oklahoma State University"
"8","1997","8-4-0","24","24","Oklahoma St.","Oklahoma State University"
"9","2008","9-4-0","16","18","Oklahoma St.","Oklahoma State University"
"10","2009","9-4-0","","25","Oklahoma St.","Oklahoma State University"
"11","2010","11-2-0","13","10","Oklahoma St.","Oklahoma State University"
"12","2011","12-1-0","3","3","Oklahoma St.","Oklahoma State University"
"13","2013","10-3-0","17","17","Oklahoma St.","Oklahoma State University"
"1","1948","9-2-0","9","","Oregon","University of Oregon"
"2","1957","7-4-0","","17","Oregon","University of Oregon"
"3","1994","9-4-0","11","11","Oregon","University of Oregon"
"4","1995","9-3-0","18","18","Oregon","University of Oregon"
"5","1999","9-3-0","19","18","Oregon","University of Oregon"
"6","2000","10-2-0","7","9","Oregon","University of Oregon"
"7","2001","11-1-0","2","2","Oregon","University of Oregon"
"8","2005","10-2-0","13","12","Oregon","University of Oregon"
"9","2007","9-4-0","23","24","Oregon","University of Oregon"
"10","2008","10-3-0","10","9","Oregon","University of Oregon"
"11","2009","10-3-0","11","11","Oregon","University of Oregon"
"12","2010","12-1-0","3","3","Oregon","University of Oregon"
"13","2011","12-2-0","4","4","Oregon","University of Oregon"
"14","2012","12-1-0","2","2","Oregon","University of Oregon"
"15","2013","11-2-0","9","9","Oregon","University of Oregon"
"1","1941","8-2-0","12","","Oregon St.","Oregon State University"
"2","1956","7-3-1","10","13","Oregon St.","Oregon State University"
"3","1962","9-2-0","","16","Oregon St.","Oregon State University"
"4","1964","8-3-0","8","8","Oregon St.","Oregon State University"
"5","1966","7-3-0","","19","Oregon St.","Oregon State University"
"6","1967","7-2-1","7","8","Oregon St.","Oregon State University"
"7","1968","7-3-0","15","13","Oregon St.","Oregon State University"
"8","2000","11-1-0","4","5","Oregon St.","Oregon State University"
"9","2006","10-4-0","21","22","Oregon St.","Oregon State University"
"10","2007","9-4-0","25","","Oregon St.","Oregon State University"
"11","2008","9-4-0","18","19","Oregon St.","Oregon State University"
"12","2012","9-4-0","20","19","Oregon St.","Oregon State University"
"1","1942","6-1-1","19","","Penn St.","The Pennsylvania State University"
"2","1947","9-0-1","4","","Penn St.","The Pennsylvania State University"
"3","1948","7-1-1","18","","Penn St.","The Pennsylvania State University"
"4","1954","7-2-0","20","16","Penn St.","The Pennsylvania State University"
"5","1959","9-2-0","12","10","Penn St.","The Pennsylvania State University"
"6","1960","7-3-0","16","","Penn St.","The Pennsylvania State University"
"7","1961","8-3-0","17","19","Penn St.","The Pennsylvania State University"
"8","1962","9-2-0","9","9","Penn St.","The Pennsylvania State University"
"9","1963","7-3-0","","16","Penn St.","The Pennsylvania State University"
"10","1964","6-4-0","","14","Penn St.","The Pennsylvania State University"
"11","1967","8-2-1","10","11","Penn St.","The Pennsylvania State University"
"12","1968","11-0-0","2","3","Penn St.","The Pennsylvania State University"
"13","1969","11-0-0","2","2","Penn St.","The Pennsylvania State University"
"14","1970","7-3-0","18","19","Penn St.","The Pennsylvania State University"
"15","1971","11-1-0","5","11","Penn St.","The Pennsylvania State University"
"16","1972","10-2-0","10","8","Penn St.","The Pennsylvania State University"
"17","1973","12-0-0","5","5","Penn St.","The Pennsylvania State University"
"18","1974","10-2-0","7","7","Penn St.","The Pennsylvania State University"
"19","1975","9-3-0","10","10","Penn St.","The Pennsylvania State University"
"20","1977","11-1-0","5","4","Penn St.","The Pennsylvania State University"
"21","1978","11-1-0","4","4","Penn St.","The Pennsylvania State University"
"22","1979","8-4-0","20","18","Penn St.","The Pennsylvania State University"
"23","1980","10-2-0","8","8","Penn St.","The Pennsylvania State University"
"24","1981","10-2-0","3","3","Penn St.","The Pennsylvania State University"
"25","1982","11-1-0","1","1","Penn St.","The Pennsylvania State University"
"26","1983","8-4-1","","17","Penn St.","The Pennsylvania State University"
"27","1985","11-1-0","3","3","Penn St.","The Pennsylvania State University"
"28","1986","12-0-0","1","1","Penn St.","The Pennsylvania State University"
"29","1989","8-3-1","15","14","Penn St.","The Pennsylvania State University"
"30","1990","9-3-0","11","10","Penn St.","The Pennsylvania State University"
"31","1991","11-2-0","3","3","Penn St.","The Pennsylvania State University"
"32","1992","7-5-0","","24","Penn St.","The Pennsylvania State University"
"33","1993","10-2-0","8","7","Penn St.","The Pennsylvania State University"
"34","1994","12-0-0","2","2","Penn St.","The Pennsylvania State University"
"35","1995","9-3-0","13","12","Penn St.","The Pennsylvania State University"
"36","1996","11-2-0","7","7","Penn St.","The Pennsylvania State University"
"37","1997","9-3-0","16","17","Penn St.","The Pennsylvania State University"
"38","1998","0-3-0","17","15","Penn St.","The Pennsylvania State University"
"39","1999","0-3-0","11","11","Penn St.","The Pennsylvania State University"
"40","2002","0-4-0","16","15","Penn St.","The Pennsylvania State University"
"41","2005","0-1-0","3","3","Penn St.","The Pennsylvania State University"
"42","2006","0-4-0","24","25","Penn St.","The Pennsylvania State University"
"43","2007","0-4-0","","25","Penn St.","The Pennsylvania State University"
"44","2008","0-2-0","8","8","Penn St.","The Pennsylvania State University"
"45","2009","0-2-0","9","8","Penn St.","The Pennsylvania State University"
"1","1936","8-1-1","3","","Pittsburgh (PA)","University of Pittsburgh"
"2","1937","9-0-1","1","","Pittsburgh (PA)","University of Pittsburgh"
"3","1938","8-2-0","8","","Pittsburgh (PA)","University of Pittsburgh"
"4","1952","6-3-0","","15","Pittsburgh (PA)","University of Pittsburgh"
"5","1955","7-4-0","11","11","Pittsburgh (PA)","University of Pittsburgh"
"6","1956","7-3-1","13","12","Pittsburgh (PA)","University of Pittsburgh"
"7","1959","6-4-0","20","19","Pittsburgh (PA)","University of Pittsburgh"
"8","1963","9-1-0","4","3","Pittsburgh (PA)","University of Pittsburgh"
"9","1975","8-4-0","15","13","Pittsburgh (PA)","University of Pittsburgh"
"10","1976","12-0-0","1","1","Pittsburgh (PA)","University of Pittsburgh"
"11","1977","9-2-1","8","7","Pittsburgh (PA)","University of Pittsburgh"
"12","1979","11-1-0","7","6","Pittsburgh (PA)","University of Pittsburgh"
"13","1980","11-1-0","2","2","Pittsburgh (PA)","University of Pittsburgh"
"14","1981","11-1-0","4","2","Pittsburgh (PA)","University of Pittsburgh"
"15","1982","9-3-0","10","9","Pittsburgh (PA)","University of Pittsburgh"
"16","1983","8-3-1","18","19","Pittsburgh (PA)","University of Pittsburgh"
"17","1989","8-3-1","17","19","Pittsburgh (PA)","University of Pittsburgh"
"18","2002","9-4-0","19","18","Pittsburgh (PA)","University of Pittsburgh"
"19","2004","8-4-0","25","","Pittsburgh (PA)","University of Pittsburgh"
"20","2009","10-3-0","15","15","Pittsburgh (PA)","University of Pittsburgh"
"1","1943","9-0-0","5","","Purdue (IN)","Purdue University"
"2","1951","5-4-0","","14","Purdue (IN)","Purdue University"
"3","1952","4-3-2","18","12","Purdue (IN)","Purdue University"
"4","1958","6-1-2","13","11","Purdue (IN)","Purdue University"
"5","1960","4-4-1","19","15","Purdue (IN)","Purdue University"
"6","1961","6-3-0","12","11","Purdue (IN)","Purdue University"
"7","1965","7-2-1","","13","Purdue (IN)","Purdue University"
"8","1966","9-2-0","7","6","Purdue (IN)","Purdue University"
"9","1967","8-2-0","9","9","Purdue (IN)","Purdue University"
"10","1968","8-2-0","10","11","Purdue (IN)","Purdue University"
"11","1969","8-2-0","18","18","Purdue (IN)","Purdue University"
"12","1978","9-2-1","13","13","Purdue (IN)","Purdue University"
"13","1979","10-2-0","10","10","Purdue (IN)","Purdue University"
"14","1980","9-3-0","17","16","Purdue (IN)","Purdue University"
"15","1997","9-3-0","15","15","Purdue (IN)","Purdue University"
"16","1998","9-4-0","24","23","Purdue (IN)","Purdue University"
"17","1999","7-5-0","25","","Purdue (IN)","Purdue University"
"18","2000","8-4-0","13","13","Purdue (IN)","Purdue University"
"19","2003","9-4-0","18","19","Purdue (IN)","Purdue University"
"1","1937","6-3-2","18","","Rice (TX)","Rice University"
"2","1946","9-2-0","10","","Rice (TX)","Rice University"
"3","1947","6-3-1","18","","Rice (TX)","Rice University"
"4","1949","10-1-0","5","","Rice (TX)","Rice University"
"5","1953","9-2-0","6","6","Rice (TX)","Rice University"
"6","1954","7-3-0","19","19","Rice (TX)","Rice University"
"7","1957","7-4-0","8","7","Rice (TX)","Rice University"
"8","1961","7-4-0","17","","Rice (TX)","Rice University"
"1","1958","8-1-0","20","","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"2","1961","9-0-0","15","","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"3","1976","11-0-0","17","17","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"4","2006","11-2-0","12","12","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1","1969","11-0-0","","18","San Diego St. (CA)","San Diego State University"
"2","1972","10-1-0","","20","San Diego St. (CA)","San Diego State University"
"3","1973","9-1-1","","19","San Diego St. (CA)","San Diego State University"
"4","1977","10-1-0","16","19","San Diego St. (CA)","San Diego State University"
"1","1990","9-2-1","","20","San Jose St. (CA)","San Jose State University"
"2","2012","11-2-0","21","21","San Jose St. (CA)","San Jose State University"
"1","1958","7-3-0","15","","South Carolina","University of South Carolina-Columbia"
"2","1984","10-2-0","11","13","South Carolina","University of South Carolina-Columbia"
"3","1987","8-4-0","15","15","South Carolina","University of South Carolina-Columbia"
"4","2000","8-4-0","19","21","South Carolina","University of South Carolina-Columbia"
"5","2001","9-3-0","13","13","South Carolina","University of South Carolina-Columbia"
"6","2010","9-5-0","22","22","South Carolina","University of South Carolina-Columbia"
"7","2011","11-2-0","9","8","South Carolina","University of South Carolina-Columbia"
"8","2012","11-2-0","8","7","South Carolina","University of South Carolina-Columbia"
"9","2013","11-2-0","4","4","South Carolina","University of South Carolina-Columbia"
"1","1938","9-2-0","7","","Southern California","University of Southern California"
"2","1939","8-0-2","3","","Southern California","University of Southern California"
"3","1944","8-0-2","7","","Southern California","University of Southern California"
"4","1945","7-4-0","11","","Southern California","University of Southern California"
"5","1947","7-2-1","8","","Southern California","University of Southern California"
"6","1952","10-1-0","5","4","Southern California","University of Southern California"
"7","1954","8-4-0","17","11","Southern California","University of Southern California"
"8","1955","6-4-0","13","12","Southern California","University of Southern California"
"9","1956","8-2-0","18","15","Southern California","University of Southern California"
"10","1959","8-2-0","14","13","Southern California","University of Southern California"
"11","1962","11-0-0","1","1","Southern California","University of Southern California"
"12","1963","7-3-0","","16","Southern California","University of Southern California"
"13","1964","7-3-0","10","10","Southern California","University of Southern California"
"14","1965","7-2-1","10","9","Southern California","University of Southern California"
