name,position,team,year,poy,team1,team2,team3
Jack Jackson,WR, Florida,1994,,1,,
Bobby Engram,WR, Penn State,1994,,1,,
Pete Mitchell,TE, Boston College,1994,,1,,
Zach Wiegert,L, Nebraska,1994,,1,,
Tony Boselli,L, Southern California,1994,,1,,
Korey Stringer,L, Ohio State,1994,,1,,
Brenden Stai,L, Nebraska,1994,,1,,
Jeff Hartings,L, Penn State,1994,,1,,
Corey Raymer,C, Wisconsin,1994,,1,,
Kerry Collins,QB, Penn State,1994,,1,,
Rashaan Salaam,B, Colorado,1994,,1,,
Jana Carter,B/K, Penn State,1994,,1,,
Steve McLaughlin,PK, Arizona,1994,,1,,
Leeland McElroy,KR, Texas A&M,1994,,1,,
Warren Sapp,L, Miami FL,1994,,1,,
Tedy Bruschi,L, Arizona,1994,,1,,
Kevin Carter,L, Florida,1994,,1,,
Derrick Alexander,L, Florida State,1994,,1,,
Luther Elliss,L, Utah,1994,,1,,
Dana Howard,LB, Illinois,1994,,1,,
Derrick Brooks,LB, Florida State,1994,,1,,
Ed Stewart,LB, Nebraska,1994,,1,,
Bobby Taylor,B, Notre Dame,1994,,1,,
Tony Bouie,B, Arizona,1994,,1,,
Brian Robinson,B, Auburn,1994,,1,,
Chris Hudson,B, Colorado,1994,,1,,
Clifton Abraham,B, Florida State,1994,,1,,
Ty Law,B, Michigan,1994,,1,,
Todd Sauerbrun,P, West Virginia,1994,,1,,
David Palmer,WR,Alabama,1993,,1,,
Johnnie Morton,WR,Southern California,1993,,1,,
J. J. Stokes,WR,UCLA,1993,,1,,
Carlester Crumpler,TE,East Carolina,1993,,1,,
Korey Stringer,L,Ohio State,1993,,1,,
Aaron Taylor,L,Notre Dame,1993,,1,,
Wayne Gandy,L,Auburn,1993,,1,,
Rich Braham,L,West Virginia,1993,,1,,
Mark Dixon,L,Virginia,1993,,1,,
Stacy Seegars,L,Clemson,1993,,1,,
Jim Pyne,C,Virginia Tech,1993,,1,,
Charlie Ward,QB,Florida State,1993,,1,,
Marshall Faulk,RB,San Diego State,1993,,1,,
LeShon Johnson,RB,Northern Illinois,1993,,1,,
Bjorn Merten,PK,UCLA,1993,,1,,
Sam Adams,L,Texas A&M,1993,,1,,
Lou Benfatti,L,Penn State,1993,,1,,
Rob Waldrop,L,Arizona,1993,,1,,
Dan Wilkinson,L,Ohio State,1993,,1,,
Kevin Patrick,L,Miami FL,1993,,1,,
Trev Albert,LB,Nebraska,1993,,1,,
Derrick Brooks,LB,Florida State,1993,,1,,
Jamir Miller,LB,UCLA,1993,,1,,
Dana Howard,LB,Illinois,1993,,1,,
Jeff Burris,B,Notre Dame,1993,,1,,
Aaron Glenn,B,Texas A&M,1993,,1,,
Antonio Langham,B,Alabama,1993,,1,,
Corey Sawyer,B,Florida State,1993,,1,,
Terry Daniel,P,Auburn,1993,,1,,
Sean Dawkins,WR,California,1992,,1,,
O. J. McDuffie,WR,Penn State,1992,,1,,
Chris Gedney,TE,Syracuse,1992,,1,,
Lincoln Kennedy,L,Washington,1992,,1,,
Tony Boselli,L,Southern California,1992,,1,,
Will Shields,L,Nebraska,1992,,1,,
Willie Roaf,L,Louisiana Tech,1992,,1,,
Aaron Taylor,L,Notre Dame,1992,,1,,
Everett Lindsay,L,Mississippi,1992,,1,,
Mike Compton,C,West Virginia,1992,,1,,
Gino Torretta,QB,Miami,1992,,1,,
Marshall Faulk,RB,San Diego State,1992,,1,,
Garrison Hearst,RB,Georgia,1992,,1,,
Scott Sisson,PK,Georgia Tech,1992,,1,,
Joe Allison,PK,Memphis State,1992,,1,,
John Copeland,L,Alabama,1992,,1,,
Rob Waldrop,L,Arizona,1992,,1,,
Coleman Rudolph,L,Georgia Tech,1992,,1,,
Eric Curry,L,Alabama,1992,,1,,
Chris Slade,L,Virginia,1992,,1,,
Marvin Jones,LB,Florida State,1992,,1,,
Michael Barrow,LB,Miami,1992,,1,,
Marcus Buckley,LB,Texas A&M,1992,,1,,
Deon Figures,B,Colorado,1992,,1,,
Carlton Gray,B,UCLA,1992,,1,,
Carlton McDonald,B,Air Force,1992,,1,,
Ryan McNeil,B,Miami,1992,,1,,
Ed Bunn,P,Texas-El Paso,1992,,1,,
Sean Snyder,P,Kansas State,1992,,1,,
Desmond Howard,WR,Michigan,1991,,1,,
Mario Bailey,WR,Washington,1991,,1,,
Derek Brown,TE,Notre Dame,1991,,1,,
Kelly Blackwell,TE,Texas Christian,1991,,1,,
Greg Skrepenak,L,Michigan,1991,,1,,
Bob Whitfield,L,Stanford,1991,,1,,
Jeb Flesch,L,Clemson,1991,,1,,
Jerry Ostroski,L,Tulsa,1991,,1,,
Mirko Jurkovic,L,Notre Dame,1991,,1,,
Jay Leeuwenburg,C,Colorado,1991,,1,,
Casey Weldon,QB,Florida State,1991,,1,,
Ty Detmer,QB,Brigham Young,1991,,1,,
Vaughn Dunbar,RB,Indiana,1991,,1,,
Amp Lee,RB,Florida State,1991,,1,,
Trevor Cobb,RB,Rice,1991,,1,,
Russell White,RB,California,1991,,1,,
Carlos Huerta,PK,Miami FL,1991,,1,,
Steve Emtman,L,Washington,1991,,1,,
Santana Dotson,L,Baylor,1991,,1,,
Brad Culpepper,L,Florida,1991,,1,,
Joel Steed,L,Colorado,1991,,1,,
Leroy Smith,L,Iowa,1991,,1,,
Shane Dronett,L,Texas,1991,,1,,
Levon Kirkland,LB,Clemson,1991,,1,,
Marvin Jones,LB,Florida State,1991,,1,,
Robert Jones,LB,East Carolina,1991,,1,,
Terrell Buckley,DB,Florida State,1991,,1,,
Darryl Williams,DB,Miami,1991,,1,,
Dale Carter,DB,Tennessee,1991,,1,,
Kevin Smith,DB,Texas A&M,1991,,1,,
Mark Bounds,P,Texas Tech,1991,,1,,
Raghib Ismail,WR,Notre Dame,1990,,1,,
Herman Moore,WR,Virginia,1990,,1,,
Chris Smith,TE,Brigham Young,1990,,1,,
Antone Davis,L,Tennessee,1990,,1,,
Stacy Long,L,Clemson,1990,,1,,
Greg Skrepenak,L,Michigan,1990,,1,,
Joe Garten,L,Colorado,1990,,1,,
Ed King,L,Auburn,1990,,1,,
John Flannery,C,Syracuse,1990,,1,,
Ty Detmer,QB,Brigham Young,1990,,1,,
Eric Bieniemy,RB,Colorado,1990,,1,,
Darren Lewis,RB,Texas A&M,1990,,1,,
Greg Lewis,RB,Washington,1990,,1,,
Philip Doyle,PK,Alabama,1990,,1,,
Moe Gardner,L,Illinois,1990,,1,,
Russell Maryland,L,Miami FL,1990,,1,,
David Rocker,L,Auburn,1990,,1,,
Chris Zorich,L,Notre Dame,1990,,1,,
Maurice Crum,LB,Miami FL,1990,,1,,
Michael Stonebreaker,LB,Notre Dame,1990,,1,,
Alfred Williams,LB,Colorado,1990,,1,,
Darryl Lewis,DB,Arizona,1990,,1,,
Todd Lyght,DB,Notre Dame,1990,,1,,
Ken Swilling,DB,Georgia Tech,1990,,1,,
Tripp Welborne,DB,Michigan,1990,,1,,
Brian Greenfield,P,Pittsburgh,1990,,1,,
Moe Gardner,L,Illinois,1989,,1,,
Greg Mark,L,Miami FL,1989,,1,,
Odell Haggins,L,Florida State,1989,,1,,
Tim Ryan,L,Southern California,1989,,1,,
Chris Zorich,L,Notre Dame,1989,,1,,
Keith McCants,LB,Alabama,1989,,1,,
Alfred Williams,LB,Colorado,1989,,1,,
Kanavis McGhee,LB,Colorado,1989,,1,,
Percy Snow,LB,Michigan State,1989,,1,,
LeRoy Butler,DB,Florida State,1989,,1,,
Mark Carrier,DB,Southern California,1989,,1,,
Todd Lyght,DB,Notre Dame,1989,,1,,
Tripp Welborne,DB,Michigan,1989,,1,,
Tom Rouen,P,Colorado,1989,,1,,
Clarkston Hines,WR,Duke,1989,,1,,
Terance Mathis,WR,New Mexico,1989,,1,,
Mike Busch,TE,Iowa State,1989,,1,,
Doug Glaser,L,Nebraska,1989,,1,,
Bob Kula,L,Michigan State,1989,,1,,
Mohammed Elowinibi,L,Brigham Young,1989,,1,,
Jim Mabry,L,Arkansas,1989,,1,,
Joe Garten,L,Colorado,1989,,1,,
Ed King,L,Auburn,1989,,1,,
Eric Still,L,Tennessee,1989,,1,,
Jake Young,C,Nebraska,1989,,1,,
Andre Ware,QB,Houston,1989,,1,,
Emmitt Smith,RB,Florida,1989,,1,,
Blair Thomas,RB,Penn State,1989,,1,,
Anthony Thompson,RB,Indiana,1989,,1,,
Jason Hanson,PK,Washington State,1989,,1,,
Hart Lee Dykes,WR,Oklahoma State,1988,,1,,
Jason Phillips,WR,Houston,1988,,1,,
Troy Sadowski,TE,Georgia,1988,,1,,
Marv Cook,TE,Iowa,1988,,1,,
Tony Mandarich,L,Michigan State,1988,,1,,
Pat Tomberlin,L,Florida State,1988,,1,,
Anthony Phillips,L,Oklahoma,1988,,1,,
Mark Stepnoski,L,Pittsburgh,1988,,1,,
Jake Young,C,Nebraska,1988,,1,,
John Vitale,C,Michigan,1988,,1,,
Troy Aikman,QB,UCLA,1988,,1,,
Steve Walsh,QB,Miami FL,1988,,1,,
Barry Sanders,RB,Oklahoma State,1988,,1,,
Anthony Thompson,RB,Indiana,1988,,1,,
Tim Worley,RB,Georgia,1988,,1,,
Kendall Trainor,PK,Arkansas,1988,,1,,
Dave Haight,L,Iowa,1988,,1,,
Bill Hawkins,L,Miami FL,1988,,1,,
Wayne Martin,L,Arkansas,1988,,1,,
Mark Messner,L,Michigan,1988,,1,,
Frank Stams,L,Notre Dame,1988,,1,,
Tracy Rocker,L,Auburn,1988,,1,,
Mike Stonebreaker,LB,Notre Dame,1988,,1,,
Broderick Thomas,LB,Nebraska,1988,,1,,
Derrick Thomas,LB,Alabama,1988,,1,,
Darryl Henley,B,UCLA,1988,,1,,
Louis Oliver,B,Florida,1988,,1,,
Deion Sanders,B,Florida State,1988,,1,,
Donnell Woolford,B,Clemson,1988,,1,,
Keith English,P,Colorado,1988,,1,,
Tim Brown,WR,Notre Dame,1987,,1,,
