"Period","Rank","TotalPoints","WinPctPoints","SchedulePoints","NatChampPoints","Big4BowlPoints","Team","offName"
"last15","67","637.97","363.83","254.14","0.00","20.00","Cincinnati (OH)","University of Cincinnati"
"last20","78","663.42","397.34","246.08","0.00","20.00","Cincinnati (OH)","University of Cincinnati"
"last25","93","672.57","391.30","261.27","0.00","20.00","Cincinnati (OH)","University of Cincinnati"
"last35","83","716.01","358.50","337.52","0.00","20.00","Cincinnati (OH)","University of Cincinnati"
"last50","90","803.73","439.68","344.05","0.00","20.00","Cincinnati (OH)","University of Cincinnati"
"last75","81","908.58","521.38","367.20","0.00","20.00","Cincinnati (OH)","University of Cincinnati"
"last100","87","889.08","502.96","366.12","0.00","20.00","Cincinnati (OH)","University of Cincinnati"
"All-Time","34","1423.23","596.86","686.37","50.00","90.00","Clemson (SC)","Clemson University"
"1869-1900","236","229.56","170.00","59.56","0.00","0.00","Clemson (SC)","Clemson University"
"1901-1925","62","714.09","390.08","324.02","0.00","0.00","Clemson (SC)","Clemson University"
"1926-1950","60","763.10","442.47","290.63","0.00","30.00","Clemson (SC)","Clemson University"
"1951-1975","48","850.49","391.05","439.44","0.00","20.00","Clemson (SC)","Clemson University"
"1976-2000","18","1072.59","511.13","496.46","50.00","15.00","Clemson (SC)","Clemson University"
"1891-1900","229","235.96","170.00","65.96","0.00","0.00","Clemson (SC)","Clemson University"
"1901-1910","98","446.21","300.00","146.21","0.00","0.00","Clemson (SC)","Clemson University"
"1911-1920","124","436.30","264.37","171.93","0.00","0.00","Clemson (SC)","Clemson University"
"1921-1930","256","367.12","255.43","111.68","0.00","0.00","Clemson (SC)","Clemson University"
"1931-1940","76","525.99","281.91","229.08","0.00","15.00","Clemson (SC)","Clemson University"
"1941-1950","50","611.34","297.37","298.97","0.00","15.00","Clemson (SC)","Clemson University"
"1951-1960","46","672.83","311.88","340.95","0.00","20.00","Clemson (SC)","Clemson University"
"1961-1970","52","643.96","237.62","406.33","0.00","0.00","Clemson (SC)","Clemson University"
"1971-1980","48","671.00","267.70","403.30","0.00","0.00","Clemson (SC)","Clemson University"
"1981-1990","12","879.26","397.44","416.82","50.00","15.00","Clemson (SC)","Clemson University"
"1991-2000","41","703.05","292.74","410.31","0.00","0.00","Clemson (SC)","Clemson University"
"2001-2010","25","741.34","299.21","442.13","0.00","0.00","Clemson (SC)","Clemson University"
"1869-1900","236","229.56","170.00","59.56","0.00","0.00","Clemson (SC)","Clemson University"
"1869-1910","174","386.05","295.00","91.05","0.00","0.00","Clemson (SC)","Clemson University"
"1869-1920","149","446.76","315.00","131.76","0.00","0.00","Clemson (SC)","Clemson University"
"1869-1930","82","677.12","419.12","258.01","0.00","0.00","Clemson (SC)","Clemson University"
"1869-1940","64","755.40","420.08","320.32","0.00","15.00","Clemson (SC)","Clemson University"
"1869-1950","59","818.55","425.43","363.12","0.00","30.00","Clemson (SC)","Clemson University"
"1869-1960","54","926.29","461.92","414.37","0.00","50.00","Clemson (SC)","Clemson University"
"1869-1970","56","1018.85","505.66","463.20","0.00","50.00","Clemson (SC)","Clemson University"
"1869-1980","54","1058.92","502.19","506.73","0.00","50.00","Clemson (SC)","Clemson University"
"1869-1990","41","1277.06","589.03","573.03","50.00","65.00","Clemson (SC)","Clemson University"
"1869-2000","40","1319.72","588.61","616.11","50.00","65.00","Clemson (SC)","Clemson University"
"1869-2010","36","1370.35","589.71","665.64","50.00","65.00","Clemson (SC)","Clemson University"
"last5","14","776.48","350.75","400.73","0.00","25.00","Clemson (SC)","Clemson University"
"last10","21","777.25","329.46","422.80","0.00","25.00","Clemson (SC)","Clemson University"
"last15","15","884.64","386.39","473.25","0.00","25.00","Clemson (SC)","Clemson University"
"last20","24","933.13","430.12","478.01","0.00","25.00","Clemson (SC)","Clemson University"
"last25","25","996.91","478.49","493.42","0.00","25.00","Clemson (SC)","Clemson University"
"last35","20","1127.30","501.47","535.82","50.00","40.00","Clemson (SC)","Clemson University"
"last50","25","1210.68","556.15","564.52","50.00","40.00","Clemson (SC)","Clemson University"
"last75","28","1395.69","618.07","637.62","50.00","90.00","Clemson (SC)","Clemson University"
"last100","35","1403.05","596.70","666.35","50.00","90.00","Clemson (SC)","Clemson University"
"All-Time","38","1381.08","588.38","637.69","50.00","105.00","Colorado","University of Colorado at Boulder"
"1869-1900","38","627.67","490.00","137.67","0.00","0.00","Colorado","University of Colorado at Boulder"
"1901-1925","89","637.90","524.60","113.30","0.00","0.00","Colorado","University of Colorado at Boulder"
"1926-1950","94","623.22","444.98","168.24","0.00","10.00","Colorado","University of Colorado at Boulder"
"1951-1975","24","987.78","454.85","507.93","0.00","25.00","Colorado","University of Colorado at Boulder"
"1976-2000","17","1073.53","431.90","531.64","50.00","60.00","Colorado","University of Colorado at Boulder"
"1881-1890","230","62.75","12.50","50.25","0.00","0.00","Colorado","University of Colorado at Boulder"
"1891-1900","63","487.35","342.86","144.50","0.00","0.00","Colorado","University of Colorado at Boulder"
"1901-1910","76","497.92","378.21","119.71","0.00","0.00","Colorado","University of Colorado at Boulder"
"1911-1920","226","358.25","297.79","60.45","0.00","0.00","Colorado","University of Colorado at Boulder"
"1921-1930","91","475.92","348.77","127.16","0.00","0.00","Colorado","University of Colorado at Boulder"
"1931-1940","109","456.81","317.07","129.73","0.00","10.00","Colorado","University of Colorado at Boulder"
"1941-1950","130","424.53","269.89","154.64","0.00","0.00","Colorado","University of Colorado at Boulder"
"1951-1960","42","687.88","329.21","343.68","0.00","15.00","Colorado","University of Colorado at Boulder"
"1961-1970","25","764.57","269.23","485.34","0.00","10.00","Colorado","University of Colorado at Boulder"
"1971-1980","21","795.30","274.12","511.18","0.00","10.00","Colorado","University of Colorado at Boulder"
"1981-1990","22","803.85","262.93","465.92","50.00","25.00","Colorado","University of Colorado at Boulder"
"1991-2000","14","830.30","341.10","464.20","0.00","25.00","Colorado","University of Colorado at Boulder"
"2001-2010","39","690.59","238.10","442.49","0.00","10.00","Colorado","University of Colorado at Boulder"
"1869-1890","228","60.25","10.00","50.25","0.00","0.00","Colorado","University of Colorado at Boulder"
"1869-1900","38","627.67","490.00","137.67","0.00","0.00","Colorado","University of Colorado at Boulder"
"1869-1910","58","642.77","529.41","113.36","0.00","0.00","Colorado","University of Colorado at Boulder"
"1869-1920","109","542.32","445.50","96.82","0.00","0.00","Colorado","University of Colorado at Boulder"
"1869-1930","115","601.44","509.11","92.34","0.00","0.00","Colorado","University of Colorado at Boulder"
"1869-1940","115","617.75","501.95","105.79","0.00","10.00","Colorado","University of Colorado at Boulder"
"1869-1950","111","634.29","483.85","140.45","0.00","10.00","Colorado","University of Colorado at Boulder"
"1869-1960","83","749.19","517.98","206.21","0.00","25.00","Colorado","University of Colorado at Boulder"
"1869-1970","69","891.39","567.65","288.73","0.00","35.00","Colorado","University of Colorado at Boulder"
"1869-1980","61","982.21","556.95","380.25","0.00","45.00","Colorado","University of Colorado at Boulder"
"1869-1990","54","1184.85","606.95","457.90","50.00","70.00","Colorado","University of Colorado at Boulder"
"1869-2000","42","1304.11","615.61","543.50","50.00","95.00","Colorado","University of Colorado at Boulder"
"1869-2010","37","1361.41","600.35","606.06","50.00","105.00","Colorado","University of Colorado at Boulder"
"last5","58","568.44","131.15","437.29","0.00","0.00","Colorado","University of Colorado at Boulder"
"last10","51","637.82","177.42","460.40","0.00","0.00","Colorado","University of Colorado at Boulder"
"last15","45","737.25","251.61","475.64","0.00","10.00","Colorado","University of Colorado at Boulder"
"last20","29","902.78","348.57","529.21","0.00","25.00","Colorado","University of Colorado at Boulder"
"last25","18","1083.41","419.12","554.29","50.00","60.00","Colorado","University of Colorado at Boulder"
"last35","21","1087.26","382.16","595.10","50.00","60.00","Colorado","University of Colorado at Boulder"
"last50","20","1297.49","485.45","692.04","50.00","70.00","Colorado","University of Colorado at Boulder"
"last75","26","1411.30","551.16","715.14","50.00","95.00","Colorado","University of Colorado at Boulder"
"last100","34","1414.48","566.14","693.34","50.00","105.00","Colorado","University of Colorado at Boulder"
"All-Time","124","809.91","471.71","338.20","0.00","0.00","Colorado St.","Colorado State University"
"1869-1900","266","199.84","55.00","144.84","0.00","0.00","Colorado St.","Colorado State University"
"1901-1925","230","508.65","402.32","106.33","0.00","0.00","Colorado St.","Colorado State University"
"1926-1950","178","520.21","405.00","115.21","0.00","0.00","Colorado St.","Colorado State University"
"1951-1975","277","479.49","290.04","189.45","0.00","0.00","Colorado St.","Colorado State University"
"1976-2000","101","651.85","375.00","276.85","0.00","0.00","Colorado St.","Colorado State University"
"1881-1890","311","50.10","0.00","50.10","0.00","0.00","Colorado St.","Colorado State University"
"1891-1900","278","187.11","55.00","132.11","0.00","0.00","Colorado St.","Colorado State University"
"1901-1910","297","278.45","160.00","118.45","0.00","0.00","Colorado St.","Colorado State University"
"1911-1920","233","354.07","296.15","57.92","0.00","0.00","Colorado St.","Colorado State University"
"1921-1930","116","450.14","336.42","113.72","0.00","0.00","Colorado St.","Colorado State University"
"1931-1940","343","329.88","229.17","100.71","0.00","0.00","Colorado St.","Colorado State University"
"1941-1950","276","354.55","292.25","62.30","0.00","0.00","Colorado St.","Colorado State University"
"1951-1960","215","370.33","232.32","138.01","0.00","0.00","Colorado St.","Colorado State University"
"1961-1970","264","347.63","164.22","183.42","0.00","0.00","Colorado St.","Colorado State University"
"1971-1980","95","473.38","227.68","245.70","0.00","0.00","Colorado St.","Colorado State University"
"1981-1990","129","435.77","170.26","265.51","0.00","0.00","Colorado St.","Colorado State University"
"1991-2000","66","564.79","315.13","249.66","0.00","0.00","Colorado St.","Colorado State University"
"2001-2010","128","449.17","219.51","229.66","0.00","0.00","Colorado St.","Colorado State University"
"1869-1890","323","50.10","0.00","50.10","0.00","0.00","Colorado St.","Colorado State University"
"1869-1900","266","199.84","55.00","144.84","0.00","0.00","Colorado St.","Colorado State University"
"1869-1910","315","237.43","107.50","129.93","0.00","0.00","Colorado St.","Colorado State University"
"1869-1920","290","273.24","180.00","93.24","0.00","0.00","Colorado St.","Colorado State University"
"1869-1930","238","433.22","343.50","89.72","0.00","0.00","Colorado St.","Colorado State University"
"1869-1940","264","484.60","385.07","99.54","0.00","0.00","Colorado St.","Colorado State University"
"1869-1950","273","501.06","395.33","105.73","0.00","0.00","Colorado St.","Colorado State University"
"1869-1960","225","537.58","411.11","126.46","0.00","0.00","Colorado St.","Colorado State University"
"1869-1970","276","581.61","432.63","148.98","0.00","0.00","Colorado St.","Colorado State University"
"1869-1980","262","599.59","428.89","170.70","0.00","0.00","Colorado St.","Colorado State University"
"1869-1990","246","672.25","456.77","215.48","0.00","0.00","Colorado St.","Colorado State University"
"1869-2000","149","757.31","479.28","278.03","0.00","0.00","Colorado St.","Colorado State University"
"1869-2010","141","788.58","474.52","314.06","0.00","0.00","Colorado St.","Colorado State University"
"last5","319","343.92","169.35","174.56","0.00","0.00","Colorado St.","Colorado State University"
"last10","235","386.40","184.43","201.98","0.00","0.00","Colorado St.","Colorado State University"
"last15","161","488.24","282.16","206.07","0.00","0.00","Colorado St.","Colorado State University"
"last20","112","598.88","372.76","226.12","0.00","0.00","Colorado St.","Colorado State University"
"last25","97","662.73","391.04","271.70","0.00","0.00","Colorado St.","Colorado State University"
"last35","104","663.08","348.15","314.93","0.00","0.00","Colorado St.","Colorado State University"
"last50","102","775.72","411.21","364.51","0.00","0.00","Colorado St.","Colorado State University"
"last75","108","819.10","453.01","366.09","0.00","0.00","Colorado St.","Colorado State University"
"last100","92","874.27","483.38","390.89","0.00","0.00","Colorado St.","Colorado State University"
"All-Time","187","735.50","485.02","240.48","0.00","10.00","Connecticut","University of Connecticut"
"1869-1900","193","268.62","205.00","63.62","0.00","0.00","Connecticut","University of Connecticut"
"1901-1925","372","406.02","322.06","83.96","0.00","0.00","Connecticut","University of Connecticut"
"1926-1950","272","456.76","375.00","81.76","0.00","0.00","Connecticut","University of Connecticut"
"1951-1975","363","443.18","358.62","84.56","0.00","0.00","Connecticut","University of Connecticut"
"1976-2000","359","443.18","354.40","88.78","0.00","0.00","Connecticut","University of Connecticut"
"1891-1900","181","285.59","205.00","80.59","0.00","0.00","Connecticut","University of Connecticut"
"1901-1910","159","383.61","239.86","143.74","0.00","0.00","Connecticut","University of Connecticut"
"1911-1920","148","409.72","152.78","256.94","0.00","0.00","Connecticut","University of Connecticut"
"1921-1930","340","334.00","268.29","65.71","0.00","0.00","Connecticut","University of Connecticut"
"1931-1940","463","285.05","225.00","60.05","0.00","0.00","Connecticut","University of Connecticut"
"1941-1950","259","360.96","280.82","80.14","0.00","0.00","Connecticut","University of Connecticut"
"1951-1960","284","341.53","269.89","71.65","0.00","0.00","Connecticut","University of Connecticut"
"1961-1970","502","256.98","197.80","59.18","0.00","0.00","Connecticut","University of Connecticut"
"1971-1980","336","322.72","211.54","111.19","0.00","0.00","Connecticut","University of Connecticut"
"1981-1990","322","334.56","263.89","70.68","0.00","0.00","Connecticut","University of Connecticut"
"1991-2000","377","312.87","243.24","69.62","0.00","0.00","Connecticut","University of Connecticut"
"2001-2010","67","561.41","274.59","276.82","0.00","10.00","Connecticut","University of Connecticut"
"1869-1900","193","268.62","205.00","63.62","0.00","0.00","Connecticut","University of Connecticut"
"1869-1910","188","371.33","280.00","91.33","0.00","0.00","Connecticut","University of Connecticut"
"1869-1920","203","364.73","217.50","147.23","0.00","0.00","Connecticut","University of Connecticut"
"1869-1930","166","519.91","349.50","170.41","0.00","0.00","Connecticut","University of Connecticut"
"1869-1940","225","514.19","353.01","161.18","0.00","0.00","Connecticut","University of Connecticut"
"1869-1950","249","512.72","365.55","147.17","0.00","0.00","Connecticut","University of Connecticut"
"1869-1960","201","556.89","397.53","159.36","0.00","0.00","Connecticut","University of Connecticut"
"1869-1970","237","602.97","432.81","170.16","0.00","0.00","Connecticut","University of Connecticut"
"1869-1980","222","619.60","424.85","194.75","0.00","0.00","Connecticut","University of Connecticut"
"1869-1990","235","677.21","479.70","197.51","0.00","0.00","Connecticut","University of Connecticut"
"1869-2000","265","671.97","480.53","191.43","0.00","0.00","Connecticut","University of Connecticut"
"1869-2010","184","731.98","488.74","233.25","0.00","10.00","Connecticut","University of Connecticut"
"last5","74","522.58","233.87","278.71","0.00","10.00","Connecticut","University of Connecticut"
"last10","70","552.28","256.10","286.18","0.00","10.00","Connecticut","University of Connecticut"
"last15","94","558.35","290.00","258.35","0.00","10.00","Connecticut","University of Connecticut"
"last20","134","570.57","355.93","204.64","0.00","10.00","Connecticut","University of Connecticut"
"last25","159","576.46","381.44","185.01","0.00","10.00","Connecticut","University of Connecticut"
"last35","163","571.67","380.65","181.02","0.00","10.00","Connecticut","University of Connecticut"
"last50","219","619.85","435.16","174.68","0.00","10.00","Connecticut","University of Connecticut"
"last75","226","685.68","491.99","183.69","0.00","10.00","Connecticut","University of Connecticut"
"last100","211","706.97","481.20","215.76","0.00","10.00","Connecticut","University of Connecticut"
"All-Time","58","1223.69","489.51","659.18","0.00","75.00","Duke (NC)","Duke University"
"1869-1900","181","286.05","100.00","186.05","0.00","0.00","Duke (NC)","Duke University"
"1926-1950","26","929.59","514.64","379.95","0.00","35.00","Duke (NC)","Duke University"
"1951-1975","36","927.35","418.44","468.91","0.00","40.00","Duke (NC)","Duke University"
"1976-2000","63","767.45","265.34","502.11","0.00","0.00","Duke (NC)","Duke University"
"1881-1890","166","108.59","37.50","71.09","0.00","0.00","Duke (NC)","Duke University"
"1891-1900","211","248.83","70.00","178.83","0.00","0.00","Duke (NC)","Duke University"
"1921-1930","204","389.86","276.32","113.55","0.00","0.00","Duke (NC)","Duke University"
"1931-1940","37","685.70","399.48","276.22","0.00","10.00","Duke (NC)","Duke University"
"1941-1950","25","751.72","330.65","396.08","0.00","25.00","Duke (NC)","Duke University"
"1951-1960","27","787.19","322.82","424.38","0.00","40.00","Duke (NC)","Duke University"
"1961-1970","47","661.27","264.85","396.41","0.00","0.00","Duke (NC)","Duke University"
"1971-1980","61","604.21","197.73","406.48","0.00","0.00","Duke (NC)","Duke University"
"1981-1990","53","645.00","222.97","422.03","0.00","0.00","Duke (NC)","Duke University"
"1991-2000","69","554.00","132.88","421.12","0.00","0.00","Duke (NC)","Duke University"
"2001-2010","76","526.44","94.02","432.42","0.00","0.00","Duke (NC)","Duke University"
"1869-1890","176","93.38","30.00","63.38","0.00","0.00","Duke (NC)","Duke University"
"1869-1900","181","286.05","100.00","186.05","0.00","0.00","Duke (NC)","Duke University"
"1869-1930","270","403.66","198.00","205.66","0.00","0.00","Duke (NC)","Duke University"
"1869-1940","73","724.03","430.50","283.53","0.00","10.00","Duke (NC)","Duke University"
"1869-1950","44","895.09","499.19","360.91","0.00","35.00","Duke (NC)","Duke University"
"1869-1960","37","1037.08","528.47","433.61","0.00","75.00","Duke (NC)","Duke University"
"1869-1970","43","1115.96","571.29","469.67","0.00","75.00","Duke (NC)","Duke University"
"1869-1980","47","1116.52","533.20","508.32","0.00","75.00","Duke (NC)","Duke University"
"1869-1990","50","1204.50","570.26","559.24","0.00","75.00","Duke (NC)","Duke University"
"1869-2000","56","1202.86","530.21","597.64","0.00","75.00","Duke (NC)","Duke University"
"1869-2010","58","1205.71","488.55","642.15","0.00","75.00","Duke (NC)","Duke University"
"last5","61","560.89","214.29","346.61","0.00","0.00","Duke (NC)","Duke University"
"last10","73","542.02","144.63","397.39","0.00","0.00","Duke (NC)","Duke University"
"last15","73","601.22","148.31","452.91","0.00","0.00","Duke (NC)","Duke University"
"last20","87","641.12","182.48","458.64","0.00","0.00","Duke (NC)","Duke University"
"last25","85","692.36","213.36","479.00","0.00","0.00","Duke (NC)","Duke University"
"last35","72","757.00","233.44","523.57","0.00","0.00","Duke (NC)","Duke University"
"last50","72","873.33","316.37","556.96","0.00","0.00","Duke (NC)","Duke University"
"last75","55","1170.55","448.32","657.24","0.00","65.00","Duke (NC)","Duke University"
"last100","55","1237.67","488.29","674.38","0.00","75.00","Duke (NC)","Duke University"
"All-Time","123","811.92","523.49","288.44","0.00","0.00","East Carolina (NC)","East Carolina University"
"1926-1950","571","226.86","165.00","61.86","0.00","0.00","East Carolina (NC)","East Carolina University"
"1951-1975","167","539.21","434.52","104.69","0.00","0.00","East Carolina (NC)","East Carolina University"
"1976-2000","65","762.69","409.70","352.99","0.00","0.00","East Carolina (NC)","East Carolina University"
"1941-1950","412","302.70","250.00","52.70","0.00","0.00","East Carolina (NC)","East Carolina University"
"1951-1960","312","332.36","252.53","79.84","0.00","0.00","East Carolina (NC)","East Carolina University"
"1961-1970","192","378.08","297.98","80.10","0.00","0.00","East Carolina (NC)","East Carolina University"
"1971-1980","89","487.40","338.64","148.76","0.00","0.00","East Carolina (NC)","East Carolina University"
"1981-1990","71","554.66","209.09","345.57","0.00","0.00","East Carolina (NC)","East Carolina University"
"1991-2000","54","631.58","304.35","327.23","0.00","0.00","East Carolina (NC)","East Carolina University"
"2001-2010","115","461.06","228.00","233.06","0.00","0.00","East Carolina (NC)","East Carolina University"
"1869-1960","582","252.56","190.00","62.56","0.00","0.00","East Carolina (NC)","East Carolina University"
"1869-1970","521","425.18","346.50","78.68","0.00","0.00","East Carolina (NC)","East Carolina University"
"1869-1980","264","599.03","488.48","110.55","0.00","0.00","East Carolina (NC)","East Carolina University"
"1869-1990","219","685.92","516.95","168.98","0.00","0.00","East Carolina (NC)","East Carolina University"
"1869-2000","145","762.68","533.28","229.40","0.00","0.00","East Carolina (NC)","East Carolina University"
"1869-2010","127","802.13","520.75","281.37","0.00","0.00","East Carolina (NC)","East Carolina University"
"last5","101","482.17","292.31","189.86","0.00","0.00","East Carolina (NC)","East Carolina University"
"last10","95","480.57","271.65","208.91","0.00","0.00","East Carolina (NC)","East Carolina University"
"last15","97","554.09","311.23","242.86","0.00","0.00","East Carolina (NC)","East Carolina University"
"last20","86","642.13","378.69","263.44","0.00","0.00","East Carolina (NC)","East Carolina University"
"last25","86","691.32","402.50","288.82","0.00","0.00","East Carolina (NC)","East Carolina University"
"last35","73","742.37","379.57","362.80","0.00","0.00","East Carolina (NC)","East Carolina University"
"last50","81","828.24","491.20","337.04","0.00","0.00","East Carolina (NC)","East Carolina University"
"last75","91","852.95","537.21","315.75","0.00","0.00","East Carolina (NC)","East Carolina University"
"last100","113","827.50","523.49","304.01","0.00","0.00","East Carolina (NC)","East Carolina University"
"All-Time","407","603.16","444.82","158.34","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1900","152","334.03","255.00","79.03","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1901-1925","317","447.38","381.78","65.61","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1926-1950","266","459.36","386.25","73.11","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1951-1975","270","481.30","400.00","81.30","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1976-2000","491","362.72","259.62","103.10","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1891-1900","150","332.56","250.00","82.56","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1901-1910","286","288.45","227.61","60.83","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1911-1920","268","333.60","274.19","59.40","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1921-1930","151","420.13","353.33","66.79","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1931-1940","178","396.05","320.95","75.11","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1941-1950","532","240.03","181.45","58.58","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1951-1960","271","345.45","269.89","75.57","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1961-1970","316","331.59","255.81","75.78","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1971-1980","434","290.44","216.35","74.10","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1981-1990","495","255.74","188.64","67.10","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1991-2000","357","320.93","165.91","155.02","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"2001-2010","525","243.62","111.11","132.51","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1900","152","334.03","255.00","79.03","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1910","195","358.13","280.00","78.13","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1920","219","347.38","270.00","77.38","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1930","176","504.21","420.59","83.62","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1940","213","521.96","434.27","87.69","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1950","280","498.92","408.57","90.35","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1960","242","529.80","435.07","94.73","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1970","275","582.04","485.04","96.99","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1980","315","577.63","470.18","107.45","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-1990","347","618.00","501.93","116.08","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-2000","377","611.47","480.88","130.59","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"1869-2010","404","603.11","450.80","152.31","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last5","523","231.49","100.00","131.49","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last10","502","258.54","118.64","139.89","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last15","527","288.35","147.43","140.92","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last20","513","337.76","194.78","142.98","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last25","499","362.37","215.79","146.58","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last35","518","366.89","223.67","143.22","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last50","473","481.61","331.45","150.16","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last75","467","544.11","382.39","161.72","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"last100","405","594.30","439.71","154.59","0.00","0.00","Eastern Michigan","Eastern Michigan University"
"All-Time","12","1815.10","629.13","845.97","150.00","190.00","Florida","University of Florida"
"1901-1925","69","686.68","502.50","184.18","0.00","0.00","Florida","University of Florida"
"1926-1950","64","746.81","352.75","394.05","0.00","0.00","Florida","University of Florida"
"1951-1975","18","1063.00","462.74","565.26","0.00","35.00","Florida","University of Florida"
"1976-2000","12","1234.45","522.50","576.95","50.00","85.00","Florida","University of Florida"
"1901-1910","241","326.85","275.00","51.85","0.00","0.00","Florida","University of Florida"
"1911-1920","139","419.10","289.06","130.04","0.00","0.00","Florida","University of Florida"
"1921-1930","70","534.46","349.49","184.97","0.00","0.00","Florida","University of Florida"
"1931-1940","70","538.77","217.82","320.95","0.00","0.00","Florida","University of Florida"
"1941-1950","54","599.67","200.58","399.09","0.00","0.00","Florida","University of Florida"
"1951-1960","26","792.29","294.12","498.17","0.00","0.00","Florida","University of Florida"
"1961-1970","16","853.53","333.33","495.20","0.00","25.00","Florida","University of Florida"
"1971-1980","25","776.66","263.04","503.61","0.00","10.00","Florida","University of Florida"
"1981-1990","20","816.69","338.36","478.33","0.00","0.00","Florida","University of Florida"
"1991-2000","3","1021.11","407.48","478.63","50.00","85.00","Florida","University of Florida"
"2001-2010","2","1038.71","376.92","501.79","100.00","60.00","Florida","University of Florida"
"1869-1910","384","189.35","137.50","51.85","0.00","0.00","Florida","University of Florida"
"1869-1920","292","272.85","193.50","79.35","0.00","0.00","Florida","University of Florida"
"1869-1930","116","600.19","399.00","201.19","0.00","0.00","Florida","University of Florida"
"1869-1940","67","744.08","442.50","301.58","0.00","0.00","Florida","University of Florida"
"1869-1950","68","778.63","410.95","367.69","0.00","0.00","Florida","University of Florida"
"1869-1960","56","896.74","445.08","451.65","0.00","0.00","Florida","University of Florida"
"1869-1970","50","1061.56","518.30","518.27","0.00","25.00","Florida","University of Florida"
"1869-1980","46","1125.75","511.02","579.74","0.00","35.00","Florida","University of Florida"
"1869-1990","39","1289.31","583.13","671.17","0.00","35.00","Florida","University of Florida"
"1869-2000","20","1540.66","614.09","756.57","50.00","120.00","Florida","University of Florida"
"1869-2010","12","1786.06","630.90","825.17","150.00","180.00","Florida","University of Florida"
"last5","10","803.94","330.77","448.17","0.00","25.00","Florida","University of Florida"
"last10","3","1010.76","361.54","494.22","100.00","55.00","Florida","University of Florida"
"last15","2","1141.49","429.90","531.59","100.00","80.00","Florida","University of Florida"
"last20","1","1364.43","527.04","557.38","150.00","130.00","Florida","University of Florida"
"last25","2","1447.57","564.86","577.72","150.00","155.00","Florida","University of Florida"
"last35","5","1476.50","536.58","634.92","150.00","155.00","Florida","University of Florida"
"last50","8","1666.37","621.75","704.62","150.00","190.00","Florida","University of Florida"
"last75","11","1802.62","639.88","822.74","150.00","190.00","Florida","University of Florida"
"last100","11","1827.72","623.47","864.26","150.00","190.00","Florida","University of Florida"
"2001-2010","252","380.40","237.50","142.90","0.00","0.00","Florida Atlantic","Florida Atlantic University"
"last5","355","323.29","158.33","164.95","0.00","0.00","Florida Atlantic","Florida Atlantic University"
"last10","240","383.57","206.61","176.96","0.00","0.00","Florida Atlantic","Florida Atlantic University"
"last15","292","417.22","257.69","159.53","0.00","0.00","Florida Atlantic","Florida Atlantic University"
"last20","421","392.96","234.50","158.46","0.00","0.00","Florida Atlantic","Florida Atlantic University"
"last25","510","356.76","201.00","155.76","0.00","0.00","Florida Atlantic","Florida Atlantic University"
"2001-2010","433","294.03","147.62","146.41","0.00","0.00","Florida International","Florida International University"
"last5","364","321.61","177.42","144.19","0.00","0.00","Florida International","Florida International University"
"last10","430","300.03","151.26","148.77","0.00","0.00","Florida International","Florida International University"
"last15","483","316.66","172.00","144.66","0.00","0.00","Florida International","Florida International University"
